File............:   - APR,20.2017

System..........:  
Temperature.....:  unknown
Time............:  19:48:06-19:50:12
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   122
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.000     -1.748e-02
2             1.1       0.005     -1.719e-02
3             2.1       0.015     -1.722e-02
4             3.1       0.025     -1.704e-02
5             4.1       0.035     -1.686e-02
6             5.1       0.045     -1.669e-02
7             6.1       0.055     -1.651e-02
8             7.1       0.065     -1.633e-02
9             8.1       0.075     -1.616e-02
10            9.1       0.085     -1.598e-02
11           10.1       0.095     -1.580e-02
12           11.1       0.105     -1.563e-02
13           12.1       0.115     -1.546e-02
14           13.1       0.125     -1.528e-02
15           14.1       0.135     -1.510e-02
16           15.1       0.145     -1.493e-02
17           16.1       0.155     -1.475e-02
18           17.1       0.165     -1.457e-02
19           18.1       0.175     -1.439e-02
20           19.1       0.185     -1.421e-02
21           20.1       0.195     -1.404e-02
22           21.1       0.205     -1.386e-02
23           22.1       0.215     -1.368e-02
24           23.1       0.225     -1.351e-02
25           24.1       0.235     -1.333e-02
26           25.1       0.245     -1.315e-02
27           26.1       0.255     -1.298e-02
28           27.1       0.265     -1.280e-02
29           28.1       0.275     -1.263e-02
30           29.1       0.285     -1.245e-02
31           30.1       0.295     -1.228e-02
32           31.1       0.305     -1.211e-02
33           32.1       0.315     -1.193e-02
34           33.1       0.325     -1.176e-02
35           34.1       0.335     -1.159e-02
36           35.1       0.345     -1.142e-02
37           36.1       0.355     -1.125e-02
38           37.1       0.365     -1.108e-02
39           38.1       0.375     -1.091e-02
40           39.1       0.385     -1.074e-02
41           40.1       0.395     -1.057e-02
42           41.1       0.405     -1.040e-02
43           42.1       0.415     -1.023e-02
44           43.1       0.425     -1.006e-02
45           44.1       0.435     -9.891e-03
46           45.1       0.445     -9.722e-03
47           46.1       0.455     -9.555e-03
48           47.1       0.465     -9.390e-03
49           48.1       0.475     -9.226e-03
50           49.1       0.485     -9.061e-03
51           50.1       0.495     -8.897e-03
52           51.1       0.500     -8.815e-03
53           52.3       0.505     -8.687e-03
54           53.3       0.515     -8.574e-03
55           54.3       0.525     -8.411e-03
56           55.3       0.535     -8.247e-03
57           56.4       0.545     -8.082e-03
58           57.4       0.555     -7.920e-03
59           58.4       0.565     -7.757e-03
60           59.4       0.575     -7.594e-03
61           60.4       0.585     -7.428e-03
62           61.9       0.593     -7.283e-03
63           63.1       0.590     -7.298e-03
64           64.1       0.580     -7.504e-03
65           65.1       0.570     -7.667e-03
66           66.1       0.560     -7.829e-03
67           67.1       0.550     -7.994e-03
68           68.1       0.540     -8.161e-03
69           69.1       0.530     -8.326e-03
70           70.1       0.520     -8.496e-03
71           71.1       0.510     -8.665e-03
72           72.1       0.500     -8.832e-03
73           73.1       0.490     -8.999e-03
74           74.1       0.480     -9.169e-03
75           75.1       0.470     -9.341e-03
76           76.1       0.460     -9.515e-03
77           77.1       0.450     -9.688e-03
78           78.1       0.440     -9.860e-03
79           79.1       0.430     -1.003e-02
80           80.1       0.420     -1.021e-02
81           81.1       0.410     -1.038e-02
82           82.1       0.400     -1.055e-02
83           83.1       0.390     -1.073e-02
84           84.1       0.380     -1.090e-02
85           85.1       0.370     -1.107e-02
86           86.1       0.360     -1.125e-02
87           87.1       0.350     -1.142e-02
88           88.1       0.340     -1.160e-02
89           89.1       0.330     -1.178e-02
90           90.1       0.320     -1.195e-02
91           91.1       0.310     -1.213e-02
92           92.1       0.300     -1.230e-02
93           93.1       0.290     -1.248e-02
94           94.1       0.280     -1.265e-02
95           95.1       0.270     -1.283e-02
96           96.1       0.260     -1.301e-02
97           97.1       0.250     -1.318e-02
98           98.1       0.240     -1.335e-02
99           99.1       0.230     -1.353e-02
100         100.1       0.220     -1.370e-02
101         101.1       0.210     -1.387e-02
102         102.1       0.200     -1.405e-02
103         103.1       0.190     -1.422e-02
104         104.1       0.180     -1.440e-02
105         105.1       0.170     -1.457e-02
106         106.1       0.160     -1.474e-02
107         107.1       0.150     -1.491e-02
108         108.1       0.140     -1.509e-02
109         109.1       0.130     -1.525e-02
110         110.1       0.120     -1.543e-02
111         111.1       0.110     -1.560e-02
112         112.1       0.100     -1.577e-02
113         113.1       0.090     -1.594e-02
114         114.1       0.080     -1.611e-02
115         115.1       0.070     -1.628e-02
116         116.1       0.060     -1.645e-02
117         117.1       0.050     -1.662e-02
118         118.1       0.040     -1.679e-02
119         119.1       0.030     -1.696e-02
120         120.1       0.020     -1.713e-02
121         121.1       0.010     -1.730e-02
122         122.7       0.003     -1.745e-02

