File............:   - APR,20.2017

System..........:  
Temperature.....:  unknown
Time............:  18:35:57-18:38:11
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   122
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.000     -2.947e-02
2             1.1       0.005     -2.894e-02
3             2.1       0.015     -2.899e-02
4             3.1       0.025     -2.869e-02
5             4.1       0.035     -2.839e-02
6             5.1       0.045     -2.810e-02
7             6.1       0.055     -2.780e-02
8             7.1       0.065     -2.751e-02
9             8.1       0.075     -2.721e-02
10            9.1       0.085     -2.692e-02
11           10.1       0.095     -2.661e-02
12           11.1       0.105     -2.631e-02
13           12.1       0.115     -2.602e-02
14           13.1       0.125     -2.573e-02
15           14.1       0.135     -2.543e-02
16           15.1       0.145     -2.514e-02
17           16.1       0.155     -2.485e-02
18           17.1       0.165     -2.455e-02
19           18.1       0.175     -2.426e-02
20           19.1       0.185     -2.397e-02
21           20.1       0.195     -2.369e-02
22           21.1       0.205     -2.340e-02
23           22.1       0.215     -2.311e-02
24           23.1       0.225     -2.282e-02
25           24.1       0.235     -2.254e-02
26           25.1       0.245     -2.225e-02
27           26.1       0.255     -2.196e-02
28           27.1       0.265     -2.168e-02
29           28.1       0.275     -2.139e-02
30           29.2       0.285     -2.111e-02
31           30.1       0.295     -2.078e-02
32           31.1       0.305     -2.052e-02
33           32.1       0.315     -2.023e-02
34           33.1       0.325     -1.995e-02
35           34.1       0.335     -1.966e-02
36           35.1       0.345     -1.937e-02
37           36.1       0.355     -1.909e-02
38           37.1       0.365     -1.880e-02
39           38.1       0.375     -1.851e-02
40           39.1       0.385     -1.822e-02
41           40.1       0.395     -1.793e-02
42           41.1       0.405     -1.765e-02
43           42.1       0.415     -1.736e-02
44           43.1       0.425     -1.707e-02
45           44.1       0.435     -1.679e-02
46           45.1       0.445     -1.651e-02
47           46.1       0.455     -1.623e-02
48           47.1       0.465     -1.595e-02
49           48.1       0.475     -1.567e-02
50           49.1       0.485     -1.539e-02
51           50.1       0.495     -1.511e-02
52           51.1       0.500     -1.496e-02
53           52.4       0.505     -1.474e-02
54           53.4       0.515     -1.455e-02
55           54.4       0.525     -1.427e-02
56           55.4       0.535     -1.399e-02
57           56.4       0.545     -1.372e-02
58           57.4       0.555     -1.344e-02
59           58.4       0.565     -1.316e-02
60           59.4       0.575     -1.289e-02
61           60.4       0.585     -1.262e-02
62           62.3       0.594     -1.234e-02
63           63.6       0.593     -1.229e-02
64           64.6       0.583     -1.262e-02
65           65.6       0.573     -1.289e-02
66           66.6       0.563     -1.315e-02
67           67.6       0.553     -1.342e-02
68           68.6       0.543     -1.369e-02
69           69.6       0.533     -1.396e-02
70           70.6       0.523     -1.423e-02
71           71.6       0.513     -1.450e-02
72           72.6       0.503     -1.478e-02
73           73.6       0.493     -1.505e-02
74           74.6       0.483     -1.533e-02
75           75.6       0.473     -1.561e-02
76           76.6       0.463     -1.589e-02
77           77.6       0.453     -1.616e-02
78           78.6       0.443     -1.644e-02
79           79.6       0.433     -1.671e-02
80           80.6       0.423     -1.699e-02
81           81.6       0.413     -1.727e-02
82           82.6       0.403     -1.755e-02
83           83.6       0.393     -1.783e-02
84           84.6       0.383     -1.812e-02
85           85.6       0.373     -1.840e-02
86           86.6       0.363     -1.868e-02
87           87.6       0.353     -1.897e-02
88           88.6       0.343     -1.925e-02
89           89.6       0.333     -1.954e-02
90           90.6       0.323     -1.981e-02
91           91.6       0.313     -2.010e-02
92           92.6       0.303     -2.039e-02
93           93.6       0.293     -2.068e-02
94           94.6       0.283     -2.097e-02
95           95.6       0.273     -2.126e-02
96           96.6       0.263     -2.154e-02
97           97.6       0.253     -2.182e-02
98           98.6       0.243     -2.210e-02
99           99.6       0.233     -2.238e-02
100         100.6       0.223     -2.266e-02
101         101.6       0.213     -2.294e-02
102         102.6       0.203     -2.321e-02
103         103.6       0.193     -2.349e-02
104         104.6       0.183     -2.375e-02
105         105.6       0.173     -2.403e-02
106         106.6       0.163     -2.430e-02
107         107.6       0.153     -2.457e-02
108         108.6       0.143     -2.485e-02
109         109.6       0.133     -2.513e-02
110         110.6       0.123     -2.541e-02
111         111.6       0.113     -2.569e-02
112         112.6       0.103     -2.597e-02
113         113.6       0.093     -2.625e-02
114         114.6       0.083     -2.653e-02
115         115.6       0.073     -2.680e-02
116         116.6       0.063     -2.709e-02
117         117.6       0.053     -2.737e-02
118         118.6       0.043     -2.764e-02
119         119.6       0.033     -2.792e-02
120         120.6       0.023     -2.820e-02
121         121.6       0.013     -2.849e-02
122         123.4       0.004     -2.876e-02

