File.......:   - APR,20.2017

System.....:  
Potential..:  -0.002V
Current....:  -10.486mA
Temperature:  unknown
Time.......:  20:27:06 - 20:28:50
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.6654e+01        3.2590e-01        0.999           0.0
   2      7.9499e+05       4.5635e+01        6.3299e-01        1.000           1.3
   3      6.3201e+05       4.4767e+01        5.9841e-01        0.999           1.8
   4      5.0244e+05       4.4138e+01       -1.3250e-01        1.000           2.2
   5      3.9943e+05       4.3897e+01       -9.7158e-01        0.999           2.9
   6      3.1754e+05       4.3803e+01       -1.8809e+00        0.999           3.7
   7      2.5244e+05       4.3842e+01       -2.8405e+00        0.998           4.2
   8      2.0069e+05       4.4772e+01       -3.6408e+00        0.998           4.7
   9      1.5955e+05       4.5408e+01       -4.5907e+00        0.999           5.1
  10      1.2684e+05       4.6609e+01       -5.1005e+00        0.995           5.6
  11      1.0083e+05       4.7258e+01       -5.7770e+00        0.999           6.1
  12      8.0162e+04       4.8422e+01       -6.3069e+00        1.000           6.7
  13      6.3727e+04       4.9362e+01       -6.8061e+00        1.000           7.2
  14      5.0663e+04       5.0707e+01       -7.2223e+00        0.999           7.7
  15      4.0276e+04       5.1973e+01       -7.5375e+00        1.000           8.2
  16      3.2019e+04       5.3334e+01       -7.7330e+00        1.000           8.7
  17      2.5455e+04       5.4507e+01       -7.9654e+00        1.000           9.3
  18      2.0236e+04       5.5786e+01       -7.9179e+00        1.000           9.7
  19      1.6088e+04       5.7084e+01       -7.8982e+00        1.000          10.2
  20      1.2789e+04       5.8362e+01       -7.9709e+00        0.999          10.7
  21      1.0167e+04       5.9555e+01       -7.8819e+00        1.000          11.2
  22      8.0830e+03       6.0654e+01       -7.7742e+00        1.000          11.7
  23      6.4259e+03       6.1748e+01       -7.5052e+00        1.000          12.2
  24      5.1085e+03       6.2762e+01       -7.4913e+00        1.000          12.7
  25      4.0612e+03       6.3797e+01       -7.4126e+00        1.000          13.2
  26      3.2286e+03       6.4718e+01       -7.6593e+00        1.000          13.7
  27      2.5667e+03       6.5725e+01       -7.7291e+00        1.000          14.2
  28      2.0405e+03       6.6737e+01       -7.8665e+00        1.000          14.7
  29      1.6222e+03       6.7703e+01       -8.2144e+00        1.000          15.2
  30      1.2896e+03       6.8838e+01       -8.4532e+00        1.000          15.7
  31      1.0252e+03       7.0069e+01       -8.7066e+00        1.000          16.2
  32      8.1504e+02       7.1422e+01       -9.0555e+00        1.000          16.9
  33      6.4794e+02       7.2858e+01       -9.2531e+00        1.000          17.7
  34      5.1511e+02       7.4368e+01       -9.4134e+00        1.000          18.2
  35      4.0950e+02       7.5991e+01       -9.2976e+00        1.000          18.7
  36      3.2555e+02       7.7575e+01       -9.2165e+00        1.000          19.2
  37      2.5881e+02       7.9154e+01       -9.0266e+00        1.000          19.7
  38      2.0575e+02       8.0645e+01       -8.8419e+00        1.000          20.1
  39      1.6357e+02       8.2194e+01       -8.3912e+00        0.999          20.6
  40      1.3004e+02       8.3429e+01       -7.7982e+00        1.000          21.1
  41      1.0338e+02       8.4579e+01       -7.2291e+00        1.000          21.6
  42      8.2183e+01       8.5628e+01       -6.4896e+00        1.000          22.2
  43      6.5630e+01       8.6485e+01       -6.1624e+00        1.000          22.9
  44      5.1793e+01       8.8052e+01       -5.4753e+00        1.000          24.3
  45      4.0333e+01       8.8627e+01       -4.7323e+00        1.000          26.1
  46      3.0941e+01       8.9459e+01       -4.3910e+00        1.000          27.6
  47      2.3336e+01       9.0214e+01       -4.0158e+00        1.000          29.2
  48      1.7264e+01       9.0790e+01       -3.4133e+00        0.999          30.9
  49      1.2492e+01       9.1355e+01       -3.0320e+00        1.000          33.0
  50      8.8124e+00       9.1914e+01       -2.7069e+00        1.000          35.4
  51      6.0391e+00       9.2462e+01       -2.3329e+00        1.000          38.4
  52      4.0045e+00       9.3127e+01       -2.1913e+00        1.000          42.2
  53      2.5599e+00       9.3523e+01       -1.5532e+00        1.000          47.1
  54      1.5737e+00       9.3755e+01       -1.1039e+00        1.000          54.7
  55      9.3109e-01       9.4325e+01       -9.4176e-01        0.999          64.5
  56      5.3348e-01       9.4511e+01       -8.2026e-01        0.999          77.8
  57      3.0000e-01       9.3731e+01       -1.4317e+00        0.998          96.6

