File.......:   - APR,20.2017

System.....:  
Potential..:  -0.002V
Current....:  -10.504mA
Temperature:  unknown
Time.......:  20:24:21 - 20:26:05
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.6693e+01        2.7341e-01        0.999           0.0
   2      7.9499e+05       4.5839e+01        7.4640e-01        0.999           1.1
   3      6.3201e+05       4.4877e+01        5.3018e-01        0.999           1.5
   4      5.0244e+05       4.4327e+01       -1.0770e-01        0.999           2.0
   5      3.9943e+05       4.4019e+01       -9.1186e-01        0.999           2.7
   6      3.1754e+05       4.4131e+01       -2.0277e+00        0.999           3.4
   7      2.5244e+05       4.3645e+01       -3.3157e+00        0.999           3.9
   8      2.0069e+05       4.4786e+01       -3.6970e+00        0.999           4.4
   9      1.5955e+05       4.5746e+01       -4.5245e+00        1.000           4.9
  10      1.2684e+05       4.6916e+01       -5.2049e+00        0.998           5.4
  11      1.0083e+05       4.7377e+01       -5.8223e+00        0.999           5.9
  12      8.0162e+04       4.8501e+01       -6.2967e+00        1.000           6.4
  13      6.3727e+04       4.9504e+01       -6.8135e+00        0.999           7.0
  14      5.0663e+04       5.0778e+01       -7.2442e+00        1.000           7.5
  15      4.0276e+04       5.2049e+01       -7.5230e+00        1.000           8.0
  16      3.2019e+04       5.3367e+01       -7.7119e+00        1.000           8.5
  17      2.5455e+04       5.4640e+01       -7.9403e+00        0.999           9.0
  18      2.0236e+04       5.5873e+01       -7.9311e+00        0.999           9.5
  19      1.6088e+04       5.7201e+01       -7.9320e+00        1.000          10.0
  20      1.2789e+04       5.8479e+01       -7.9694e+00        1.000          10.5
  21      1.0167e+04       5.9637e+01       -7.8854e+00        1.000          11.0
  22      8.0830e+03       6.0758e+01       -7.7328e+00        1.000          11.5
  23      6.4259e+03       6.1882e+01       -7.5636e+00        1.000          12.0
  24      5.1085e+03       6.2788e+01       -7.4788e+00        1.000          12.5
  25      4.0612e+03       6.3757e+01       -7.4413e+00        1.000          13.0
  26      3.2286e+03       6.4684e+01       -7.6715e+00        1.000          13.5
  27      2.5667e+03       6.5649e+01       -7.7783e+00        1.000          14.0
  28      2.0405e+03       6.6665e+01       -7.8731e+00        1.000          14.5
  29      1.6222e+03       6.7663e+01       -8.2607e+00        1.000          15.0
  30      1.2896e+03       6.8802e+01       -8.4591e+00        1.000          15.4
  31      1.0252e+03       7.0041e+01       -8.7133e+00        1.000          16.0
  32      8.1504e+02       7.1378e+01       -9.0762e+00        1.000          16.7
  33      6.4794e+02       7.2839e+01       -9.2824e+00        1.000          17.5
  34      5.1511e+02       7.4313e+01       -9.4194e+00        1.000          18.0
  35      4.0950e+02       7.5953e+01       -9.3305e+00        1.000          18.5
  36      3.2555e+02       7.7566e+01       -9.2540e+00        1.000          18.9
  37      2.5881e+02       7.9206e+01       -9.0722e+00        1.000          19.4
  38      2.0575e+02       8.0689e+01       -8.7848e+00        1.000          19.9
  39      1.6357e+02       8.2035e+01       -8.2989e+00        1.000          20.4
  40      1.3004e+02       8.3347e+01       -7.7277e+00        1.000          20.9
  41      1.0338e+02       8.4474e+01       -7.1193e+00        1.000          21.4
  42      8.2183e+01       8.5482e+01       -6.4648e+00        1.000          22.0
  43      6.5630e+01       8.6338e+01       -5.8612e+00        1.000          22.6
  44      5.1793e+01       8.7909e+01       -5.2937e+00        1.000          24.1
  45      4.0333e+01       8.8633e+01       -4.7644e+00        1.000          25.9
  46      3.0941e+01       8.9252e+01       -4.2375e+00        1.000          27.3
  47      2.3336e+01       8.9962e+01       -3.9152e+00        1.000          28.9
  48      1.7264e+01       9.0598e+01       -3.4189e+00        0.999          30.7
  49      1.2492e+01       9.0927e+01       -3.0449e+00        1.000          32.8
  50      8.8124e+00       9.1639e+01       -2.5059e+00        1.000          35.2
  51      6.0391e+00       9.2067e+01       -2.0509e+00        0.999          38.2
  52      4.0045e+00       9.2584e+01       -1.7209e+00        1.000          42.0
  53      2.5599e+00       9.3132e+01       -1.4113e+00        1.000          46.8
  54      1.5737e+00       9.3054e+01       -1.0232e+00        0.999          54.5
  55      9.3109e-01       9.3480e+01       -8.1319e-01        1.000          64.2
  56      5.3348e-01       9.3940e+01       -5.1641e-01        1.000          77.6
  57      3.0000e-01       9.3894e+01        2.0011e-02        1.000          96.4

