File............:   - APR,24.2017

System..........:  
Temperature.....:  unknown
Time............:  21:10:30-21:12:36
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   118
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.179      5.701e-04
2             1.1       1.174      5.315e-04
3             2.1       1.164      4.774e-04
4             3.1       1.154      4.212e-04
5             4.1       1.144      3.652e-04
6             5.1       1.134      3.095e-04
7             6.1       1.124      2.536e-04
8             7.1       1.114      1.946e-04
9             8.1       1.104      1.396e-04
10            9.1       1.094      8.405e-05
11           11.1       1.079     -9.131e-07
12           13.1       1.067     -7.016e-05
13           14.1       1.057     -1.281e-04
14           15.1       1.047     -1.857e-04
15           16.1       1.037     -2.438e-04
16           17.1       1.027     -3.021e-04
17           18.1       1.017     -3.607e-04
18           19.5       1.003     -4.388e-04
19           20.5       0.993     -5.006e-04
20           21.5       0.983     -5.597e-04
21           22.5       0.973     -6.192e-04
22           23.5       0.963     -6.800e-04
23           24.5       0.953     -7.395e-04
24           25.5       0.943     -7.998e-04
25           26.5       0.933     -8.609e-04
26           27.5       0.923     -9.264e-04
27           28.5       0.913     -9.829e-04
28           29.5       0.903     -1.044e-03
29           30.5       0.893     -1.106e-03
30           31.5       0.883     -1.168e-03
31           32.5       0.873     -1.231e-03
32           33.5       0.863     -1.293e-03
33           34.5       0.853     -1.355e-03
34           35.5       0.843     -1.419e-03
35           36.5       0.833     -1.482e-03
36           37.5       0.823     -1.546e-03
37           38.5       0.813     -1.609e-03
38           39.5       0.803     -1.674e-03
39           40.5       0.793     -1.739e-03
40           41.5       0.783     -1.803e-03
41           42.5       0.773     -1.868e-03
42           43.5       0.763     -1.933e-03
43           44.5       0.753     -1.998e-03
44           45.5       0.743     -2.064e-03
45           46.5       0.733     -2.130e-03
46           47.5       0.723     -2.196e-03
47           48.5       0.713     -2.263e-03
48           49.5       0.703     -2.330e-03
49           50.5       0.693     -2.397e-03
50           51.5       0.683     -2.464e-03
51           52.5       0.673     -2.532e-03
52           53.5       0.663     -2.600e-03
53           54.5       0.653     -2.668e-03
54           55.5       0.643     -2.737e-03
55           56.5       0.633     -2.806e-03
56           57.5       0.623     -2.875e-03
57           58.5       0.613     -2.944e-03
58           59.5       0.603     -3.015e-03
59           60.5       0.593     -3.086e-03
60           61.5       0.583     -3.157e-03
61           62.5       0.573     -3.228e-03
62           63.5       0.563     -3.300e-03
63           64.5       0.553     -3.371e-03
64           65.5       0.543     -3.443e-03
65           66.5       0.533     -3.516e-03
66           67.5       0.523     -3.588e-03
67           68.5       0.513     -3.661e-03
68           69.5       0.503     -3.733e-03
69           70.5       0.493     -3.807e-03
70           71.5       0.483     -3.880e-03
71           72.5       0.473     -3.953e-03
72           73.5       0.463     -4.027e-03
73           74.5       0.453     -4.037e-03
74           75.5       0.443     -4.160e-03
75           76.5       0.433     -4.233e-03
76           77.5       0.423     -4.306e-03
77           78.5       0.413     -4.379e-03
78           79.5       0.403     -4.454e-03
79           80.5       0.393     -4.526e-03
80           81.5       0.383     -4.600e-03
81           82.5       0.373     -4.674e-03
82           83.5       0.363     -4.748e-03
83           84.5       0.353     -4.823e-03
84           85.5       0.343     -4.897e-03
85           86.5       0.333     -4.971e-03
86           87.5       0.323     -5.047e-03
87           88.5       0.313     -5.120e-03
88           89.5       0.303     -5.193e-03
89           90.5       0.293     -5.263e-03
90           91.5       0.283     -5.338e-03
91           92.5       0.273     -5.410e-03
92           93.5       0.263     -5.481e-03
93           94.5       0.253     -5.549e-03
94           95.5       0.243     -5.625e-03
95           96.5       0.233     -5.694e-03
96           97.5       0.223     -5.763e-03
97           98.5       0.213     -5.829e-03
98           99.5       0.203     -5.901e-03
99          100.5       0.193     -5.966e-03
100         101.5       0.183     -6.035e-03
101         102.5       0.173     -6.102e-03
102         103.5       0.163     -6.170e-03
103         104.5       0.153     -6.235e-03
104         105.5       0.143     -6.304e-03
105         106.5       0.133     -6.369e-03
106         107.5       0.123     -6.435e-03
107         108.5       0.113     -6.503e-03
108         109.5       0.103     -6.569e-03
109         110.5       0.093     -6.633e-03
110         111.5       0.083     -6.701e-03
111         112.5       0.073     -6.768e-03
112         113.5       0.063     -6.834e-03
113         114.5       0.053     -6.903e-03
114         115.5       0.043     -6.969e-03
115         116.5       0.033     -7.037e-03
116         117.5       0.023     -7.104e-03
117         118.5       0.013     -7.172e-03
118         120.3       0.004     -7.238e-03

