diagramm	current/voltage
	
	
1.80762E-5	1.072
0.0288	1.082
0.06032	1.092
0.09184	1.102
0.14578	1.119
0.17851	1.129
0.2106	1.139
0.24283	1.149
0.27517	1.159
0.30762	1.169
0.34032	1.179
0.37302	1.189
0.40603	1.199
0.43873	1.209
0.47238	1.219
0.50571	1.229
0.53905	1.239
0.5727	1.249
0.60635	1.259
0.64	1.269
0.67397	1.279
0.70794	1.289
0.74222	1.299
0.77651	1.309
0.81111	1.319
0.8454	1.329
0.88032	1.339
0.91492	1.349
0.95016	1.359
0.98508	1.369
1.02032	1.379
1.05587	1.389
1.09143	1.399
1.12698	1.409
1.16286	1.419
1.19873	1.429
1.23492	1.439
1.27111	1.449
1.29587	1.459
1.34032	1.469
1.37651	1.479
1.41302	1.489
1.44921	1.499
1.48667	1.509
1.52349	1.519
1.5619	1.529
1.59841	1.539
1.63651	1.549
1.67365	1.559
1.71238	1.569
1.75016	1.579
1.78857	1.589
1.82635	1.599
1.86571	1.609
1.90381	1.619
1.94254	1.629
1.98159	1.639
2.01968	1.649
2.05905	1.659
2.09873	1.669
2.13841	1.679
2.17683	1.689
2.21714	1.699
2.25619	1.709
2.29556	1.719
2.33492	1.729
2.37556	1.739
2.41492	1.749
2.45524	1.759
2.49524	1.769
2.53587	1.779
2.57492	1.789
2.61492	1.799
2.65429	1.809
2.69397	1.819
2.73302	1.829
2.77206	1.839
2.81175	1.849
2.85111	1.859
2.89048	1.869
2.92984	1.879
2.96857	1.889
3.00667	1.899
3.04476	1.909
3.08222	1.919
3.12032	1.929
3.1581	1.939
3.19683	1.949
3.23175	1.959
3.26984	1.969
3.30476	1.979
3.34286	1.989
3.38095	1.999
3.41587	2.009
3.45079	2.019
3.48889	2.029
3.52381	2.039
3.55873	2.049
3.59365	2.059
3.62857	2.069
3.66349	2.079
3.69841	2.089
3.73333	2.099
3.76508	2.109
3.8	2.119
3.83175	2.129
3.86667	2.139
3.88254	2.144
