File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  19:40:02-19:43:51
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   220
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.963      2.573e+00
2             1.1       1.958      2.539e+00
3             1.1       1.958      2.539e+00
4             2.4       1.953      2.553e+00
5             3.4       1.943      2.567e+00
6             4.4       1.933      2.568e+00
7             5.4       1.923      2.567e+00
8             6.4       1.913      2.563e+00
9             7.4       1.903      2.564e+00
10            8.4       1.893      2.564e+00
11            9.4       1.883      2.564e+00
12           10.4       1.873      2.564e+00
13           11.4       1.863      2.562e+00
14           12.4       1.853      2.562e+00
15           13.4       1.843      2.562e+00
16           14.4       1.833      2.559e+00
17           15.4       1.823      2.559e+00
18           16.4       1.813      2.559e+00
19           17.4       1.803      2.558e+00
20           18.4       1.793      2.557e+00
21           19.4       1.783      2.558e+00
22           20.4       1.773      2.557e+00
23           21.4       1.763      2.555e+00
24           22.4       1.753      2.555e+00
25           23.4       1.743      2.556e+00
26           24.4       1.733      2.553e+00
27           25.4       1.723      2.554e+00
28           26.4       1.713      2.553e+00
29           27.4       1.703      2.551e+00
30           28.4       1.693      2.552e+00
31           29.4       1.683      2.551e+00
32           30.4       1.673      2.551e+00
33           31.4       1.663      2.548e+00
34           32.4       1.653      2.548e+00
35           33.4       1.643      2.549e+00
36           34.4       1.633      2.547e+00
37           35.4       1.623      2.546e+00
38           36.4       1.613      2.546e+00
39           37.4       1.603      2.546e+00
40           38.4       1.593      2.545e+00
41           39.4       1.583      2.545e+00
42           40.4       1.573      2.543e+00
43           41.4       1.563      2.542e+00
44           42.4       1.553      2.542e+00
45           43.4       1.543      2.544e+00
46           44.4       1.533      2.542e+00
47           45.4       1.523      2.541e+00
48           46.4       1.513      2.541e+00
49           47.4       1.503      2.539e+00
50           48.4       1.493      2.539e+00
51           49.4       1.483      2.540e+00
52           50.4       1.473      2.540e+00
53           51.4       1.463      2.538e+00
54           52.4       1.453      2.537e+00
55           53.4       1.443      2.536e+00
56           54.4       1.433      2.538e+00
57           55.4       1.423      2.536e+00
58           56.4       1.413      2.537e+00
59           57.4       1.403      2.535e+00
60           58.4       1.393      2.535e+00
61           59.4       1.383      2.534e+00
62           60.4       1.373      2.534e+00
63           61.4       1.363      2.535e+00
64           62.4       1.353      2.532e+00
65           63.4       1.343      2.533e+00
66           64.4       1.333      2.534e+00
67           65.4       1.323      2.533e+00
68           66.4       1.313      2.532e+00
69           67.4       1.303      2.531e+00
70           68.4       1.293      2.529e+00
71           69.4       1.283      2.530e+00
72           70.4       1.273      2.530e+00
73           71.4       1.263      2.530e+00
74           72.4       1.253      2.528e+00
75           73.4       1.243      2.529e+00
76           74.4       1.233      2.529e+00
77           75.4       1.223      2.527e+00
78           76.4       1.213      2.527e+00
79           77.4       1.203      2.527e+00
80           78.4       1.193      2.526e+00
81           79.4       1.183      2.526e+00
82           80.4       1.173      2.525e+00
83           81.4       1.163      2.526e+00
84           82.4       1.153      2.525e+00
85           83.4       1.143      2.524e+00
86           84.4       1.133      2.524e+00
87           85.4       1.123      2.524e+00
88           86.4       1.113      2.523e+00
89           87.4       1.103      2.516e+00
90           88.4       1.093      2.473e+00
91           89.4       1.083      2.333e+00
92           90.4       1.073      2.160e+00
93           91.4       1.063      2.041e+00
94           92.4       1.053      1.998e+00
95           93.4       1.043      1.763e+00
96           94.4       1.033      1.592e+00
97           95.4       1.023      1.429e+00
98           96.4       1.013      1.132e+00
99           97.4       1.003      9.964e-01
100          98.4       0.993      9.484e-01
101          99.4       0.983      8.877e-01
102         100.4       0.973      7.716e-01
103         101.4       0.963      6.186e-01
104         102.4       0.953      5.210e-01
105         103.4       0.943      4.781e-01
106         104.4       0.933      3.552e-01
107         105.4       0.923      2.959e-01
108         106.4       0.913      2.536e-01
109         107.4       0.903      2.473e-01
110         108.4       0.893      2.299e-01
111         109.4       0.883      2.173e-01
112         110.4       0.873      1.949e-01
113         111.4       0.863      1.933e-01
114         112.4       0.853      1.819e-01
115         113.4       0.843      1.064e-01
116         114.4       0.833      1.924e-03
117         115.4       0.823     -1.586e-02
118         116.4       0.813     -2.576e-02
119         117.5       0.802     -3.933e-02
120         118.5       0.792     -4.112e-02
121         119.5       0.782     -5.074e-02
122         120.5       0.772     -6.652e-02
123         121.5       0.762     -8.022e-02
124         122.5       0.752     -9.154e-02
125         123.5       0.742     -9.824e-02
126         124.5       0.732     -1.094e-01
127         125.5       0.722     -1.227e-01
128         126.5       0.712     -1.313e-01
129         127.5       0.702     -1.439e-01
130         128.5       0.692     -1.564e-01
131         129.5       0.682     -1.689e-01
