File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  19:48:27-19:52:18
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   222
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.986      2.551e+00
2             1.1       1.981      2.533e+00
3             1.1       1.981      2.533e+00
4             2.4       1.976      2.532e+00
5             3.4       1.966      2.545e+00
6             4.4       1.956      2.545e+00
7             5.4       1.946      2.544e+00
8             6.4       1.936      2.545e+00
9             7.4       1.926      2.544e+00
10            8.4       1.916      2.542e+00
11            9.4       1.906      2.543e+00
12           10.4       1.896      2.541e+00
13           11.4       1.886      2.542e+00
14           12.4       1.876      2.539e+00
15           13.4       1.866      2.538e+00
16           14.4       1.856      2.540e+00
17           15.4       1.846      2.538e+00
18           16.4       1.836      2.537e+00
19           17.4       1.826      2.539e+00
20           18.4       1.816      2.539e+00
21           19.4       1.806      2.536e+00
22           20.4       1.796      2.534e+00
23           21.4       1.786      2.537e+00
24           22.4       1.776      2.534e+00
25           23.4       1.766      2.535e+00
26           24.4       1.756      2.533e+00
27           25.4       1.746      2.533e+00
28           26.4       1.736      2.531e+00
29           27.4       1.726      2.531e+00
30           28.4       1.716      2.531e+00
31           29.4       1.706      2.530e+00
32           30.4       1.696      2.532e+00
33           31.4       1.686      2.530e+00
34           32.4       1.676      2.529e+00
35           33.4       1.666      2.530e+00
36           34.4       1.656      2.529e+00
37           35.4       1.646      2.527e+00
38           36.4       1.636      2.528e+00
39           37.4       1.626      2.526e+00
40           38.4       1.616      2.527e+00
41           39.4       1.606      2.526e+00
42           40.4       1.596      2.526e+00
43           41.4       1.586      2.524e+00
44           42.4       1.576      2.525e+00
45           43.4       1.566      2.526e+00
46           44.4       1.556      2.524e+00
47           45.4       1.546      2.525e+00
48           46.4       1.536      2.522e+00
49           47.4       1.526      2.522e+00
50           48.4       1.516      2.524e+00
51           49.4       1.506      2.521e+00
52           50.4       1.496      2.522e+00
53           51.4       1.486      2.521e+00
54           52.4       1.476      2.521e+00
55           53.4       1.466      2.520e+00
56           54.4       1.456      2.521e+00
57           55.4       1.446      2.519e+00
58           56.4       1.436      2.520e+00
59           57.4       1.426      2.519e+00
60           58.4       1.416      2.519e+00
61           59.4       1.406      2.518e+00
62           60.4       1.396      2.517e+00
63           61.4       1.386      2.516e+00
64           62.4       1.376      2.515e+00
65           63.4       1.366      2.516e+00
66           64.4       1.356      2.514e+00
67           65.4       1.346      2.516e+00
68           66.4       1.336      2.515e+00
69           67.4       1.326      2.515e+00
70           68.4       1.316      2.516e+00
71           69.4       1.306      2.513e+00
72           70.4       1.296      2.513e+00
73           71.4       1.286      2.512e+00
74           72.4       1.276      2.513e+00
75           73.4       1.266      2.514e+00
76           74.4       1.256      2.513e+00
77           75.4       1.246      2.512e+00
78           76.4       1.236      2.512e+00
79           77.4       1.226      2.511e+00
80           78.4       1.216      2.509e+00
81           79.4       1.206      2.510e+00
82           80.4       1.196      2.511e+00
83           81.4       1.186      2.510e+00
84           82.4       1.176      2.509e+00
85           83.4       1.166      2.510e+00
86           84.4       1.156      2.510e+00
87           85.4       1.146      2.509e+00
88           86.4       1.136      2.509e+00
89           87.4       1.126      2.499e+00
90           88.4       1.116      2.449e+00
91           89.4       1.106      2.270e+00
92           90.4       1.096      2.178e+00
93           91.4       1.086      1.993e+00
94           92.4       1.076      1.887e+00
95           93.4       1.066      1.747e+00
96           94.4       1.056      1.505e+00
97           95.4       1.046      1.294e+00
98           96.4       1.036      1.110e+00
99           97.4       1.026      9.947e-01
100          98.4       1.016      8.647e-01
101          99.4       1.006      7.655e-01
102         100.4       0.996      6.581e-01
103         101.4       0.986      5.065e-01
104         102.4       0.976      4.370e-01
105         103.4       0.966      3.988e-01
106         104.4       0.956      2.832e-01
107         105.4       0.946      2.387e-01
108         106.4       0.936      2.314e-01
109         107.4       0.926      1.488e-01
110         108.4       0.916      1.241e-01
111         109.4       0.906      1.232e-01
112         110.4       0.896      1.037e-01
113         111.4       0.886      8.591e-02
114         112.4       0.876      9.892e-02
115         113.4       0.866      7.999e-02
116         114.4       0.856      5.759e-02
117         115.4       0.846      3.883e-02
118         116.4       0.836      2.680e-02
119         117.4       0.826      1.329e-02
120         118.4       0.816     -2.894e-04
121         119.6       0.804     -3.799e-03
122         120.6       0.794     -1.798e-02
123         122.4       0.776     -4.169e-02
124         123.4       0.766     -5.068e-02
125         124.4       0.756     -6.162e-02
