File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  19:44:03-19:47:55
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   222
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.985      2.553e+00
2             1.1       1.980      2.532e+00
3             1.2       1.980      2.532e+00
4             2.5       1.975      2.535e+00
5             3.5       1.965      2.550e+00
6             4.5       1.955      2.549e+00
7             5.5       1.945      2.549e+00
8             6.5       1.935      2.546e+00
9             7.5       1.925      2.547e+00
10            8.5       1.915      2.546e+00
11            9.5       1.905      2.546e+00
12           10.5       1.895      2.545e+00
13           11.5       1.885      2.544e+00
14           12.5       1.875      2.543e+00
15           13.5       1.865      2.541e+00
16           14.5       1.855      2.543e+00
17           15.5       1.845      2.541e+00
18           16.5       1.835      2.541e+00
19           17.5       1.825      2.540e+00
20           18.5       1.815      2.539e+00
21           19.5       1.805      2.541e+00
22           20.5       1.795      2.540e+00
23           21.5       1.785      2.539e+00
24           22.5       1.775      2.537e+00
25           23.5       1.765      2.537e+00
26           24.5       1.755      2.536e+00
27           25.5       1.745      2.537e+00
28           26.5       1.735      2.535e+00
29           27.5       1.725      2.534e+00
30           28.5       1.715      2.534e+00
31           29.5       1.705      2.532e+00
32           30.5       1.695      2.532e+00
33           31.5       1.685      2.533e+00
34           32.5       1.675      2.532e+00
35           33.5       1.665      2.531e+00
36           34.5       1.655      2.531e+00
37           35.5       1.645      2.532e+00
38           36.5       1.635      2.531e+00
39           37.5       1.625      2.530e+00
40           38.5       1.615      2.529e+00
41           39.5       1.605      2.529e+00
42           40.5       1.595      2.529e+00
43           41.5       1.585      2.529e+00
44           42.5       1.575      2.530e+00
45           43.5       1.565      2.527e+00
46           44.5       1.555      2.527e+00
47           45.5       1.545      2.528e+00
48           46.5       1.535      2.524e+00
49           47.5       1.525      2.526e+00
50           48.5       1.515      2.525e+00
51           49.5       1.505      2.524e+00
52           50.5       1.495      2.522e+00
53           51.5       1.485      2.524e+00
54           52.5       1.475      2.523e+00
55           53.5       1.465      2.521e+00
56           54.5       1.455      2.522e+00
57           55.5       1.445      2.523e+00
58           56.5       1.435      2.522e+00
59           57.5       1.425      2.522e+00
60           58.5       1.415      2.522e+00
61           59.5       1.405      2.521e+00
62           60.5       1.395      2.521e+00
63           61.5       1.385      2.520e+00
64           62.5       1.375      2.518e+00
65           63.5       1.365      2.520e+00
66           64.5       1.355      2.521e+00
67           65.5       1.345      2.518e+00
68           66.5       1.335      2.518e+00
69           67.5       1.325      2.518e+00
70           68.5       1.315      2.517e+00
71           69.5       1.305      2.518e+00
72           70.5       1.295      2.518e+00
73           71.5       1.285      2.517e+00
74           72.5       1.275      2.516e+00
75           73.5       1.265      2.516e+00
76           74.5       1.255      2.514e+00
77           75.5       1.245      2.516e+00
78           76.5       1.235      2.516e+00
79           77.5       1.225      2.515e+00
80           78.5       1.215      2.515e+00
81           79.5       1.205      2.515e+00
82           80.5       1.195      2.514e+00
83           81.5       1.185      2.514e+00
84           82.5       1.175      2.514e+00
85           83.5       1.165      2.513e+00
86           84.5       1.155      2.512e+00
87           85.5       1.145      2.500e+00
88           86.5       1.135      2.485e+00
89           87.5       1.125      2.496e+00
90           88.5       1.115      2.479e+00
91           89.5       1.105      2.207e+00
92           90.5       1.095      1.980e+00
93           91.5       1.085      1.848e+00
94           92.5       1.075      1.777e+00
95           93.5       1.065      1.596e+00
96           94.5       1.055      1.427e+00
97           95.5       1.045      1.281e+00
98           96.5       1.035      1.105e+00
99           97.5       1.025      9.543e-01
100          98.5       1.015      7.871e-01
101          99.5       1.005      5.134e-01
102         100.5       0.995      3.536e-01
103         101.5       0.985      2.246e-01
104         102.5       0.975      1.990e-01
105         103.5       0.965      1.763e-01
106         104.5       0.955      1.597e-01
107         105.5       0.945      1.479e-01
108         106.5       0.935      1.281e-01
109         107.5       0.925      1.236e-01
110         108.5       0.915      1.155e-01
111         109.5       0.905      9.816e-02
112         110.5       0.895      8.817e-02
113         111.5       0.885      7.863e-02
114         112.5       0.875      6.338e-02
115         113.5       0.865      4.231e-02
116         114.5       0.855      3.410e-02
117         115.5       0.845      2.415e-02
118         116.5       0.835      1.157e-02
119         117.5       0.825      2.052e-04
120         118.6       0.814     -1.055e-02
121         119.6       0.804     -2.394e-02
122         121.2       0.788     -4.370e-02
123         122.2       0.778     -5.304e-02
124         123.2       0.768     -5.784e-02
125         124.2       0.758     -7.327e-02
126         125.2       0.748     -8.773e-02
127         126.2       0.738     -1.038e-01
128         127.2       0.728     -1.143e-01
129         128.2       0.717     -1.230e-01
130         129.2       0.707     -1.333e-01
131         130.2       0.697     -1.448e-01
132         131.2       0.687     -1.571e-01
133         132.2       0.677     -1.689e-01
134         133.2       0.667     -1.772e-01
135         134.2       0.657     -1.881e-01
136         135.2       0.647     -1.976e-01
137         136.2       0.637     -2.123e-01
138         137.2       0.627     -2.205e-01
139         138.2       0.617     -2.314e-01
140         139.2       0.607     -2.433e-01
141         140.2       0.597     -2.550e-01
142         141.2       0.587     -2.662e-01
143         142.2       0.577     -2.752e-01
144         143.2       0.567     -2.882e-01
145         144.2       0.557     -3.005e-01
146         145.3       0.547     -3.089e-01
147         146.3       0.537     -3.241e-01
148         147.3       0.527     -3.362e-01
149         148.3       0.517     -3.454e-01
150         149.3       0.507     -3.574e-01
151         150.3       0.497     -3.678e-01
152         151.3       0.487     -3.795e-01
153         152.3       0.477     -3.912e-01
154         153.3       0.467     -4.023e-01
155         154.3       0.457     -4.153e-01
156         155.3       0.447     -4.303e-01
157         156.3       0.437     -4.476e-01
158         157.3       0.427     -4.608e-01
159         158.3       0.417     -4.757e-01
160         159.3       0.407     -4.913e-01
161         160.3       0.397     -5.029e-01
162         161.3       0.387     -5.208e-01
163         162.3       0.377     -5.359e-01
164         163.3       0.367     -5.545e-01
165         164.3       0.357     -5.707e-01
166         165.3       0.347     -5.864e-01
167         166.3       0.337     -6.017e-01
168         167.3       0.327     -6.200e-01
169         168.3       0.317     -6.359e-01
170         169.3       0.307     -6.495e-01
171         170.3       0.297     -6.676e-01
172         171.3       0.287     -6.889e-01
173         172.3       0.277     -7.049e-01
174         173.3       0.267     -7.218e-01
175         174.3       0.257     -7.400e-01
176         175.3       0.247     -7.601e-01
177         176.3       0.237     -7.750e-01
178         177.3       0.227     -7.918e-01
179         178.3       0.217     -8.057e-01
180         179.3       0.207     -8.265e-01
181         180.3       0.197     -8.436e-01
182         181.3       0.187     -8.620e-01
183         182.3       0.177     -8.788e-01
184         183.3       0.167     -9.013e-01
185         184.3       0.157     -9.196e-01
186         185.3       0.147     -9.375e-01
187         186.3       0.137     -9.568e-01
188         187.3       0.127     -9.761e-01
189         188.3       0.117     -9.946e-01
190         189.3       0.107     -1.009e+00
191         190.3       0.097     -1.029e+00
192         191.3       0.087     -1.050e+00
193         192.3       0.077     -1.067e+00
194         193.3       0.067     -1.083e+00
195         194.3       0.057     -1.102e+00
196         195.3       0.047     -1.126e+00
197         196.3       0.037     -1.145e+00
198         197.3       0.027     -1.162e+00
199         198.3       0.017     -1.184e+00
200         199.3       0.007     -1.208e+00
201         200.3      -0.003     -1.228e+00
202         201.3      -0.012     -1.248e+00
203         202.3      -0.022     -1.269e+00
204         203.3      -0.032     -1.294e+00
205         204.3      -0.042     -1.316e+00
206         205.3      -0.052     -1.337e+00
207         206.3      -0.062     -1.360e+00
208         207.3      -0.072     -1.386e+00
209         208.3      -0.082     -1.405e+00
210         209.3      -0.092     -1.427e+00
211         210.5      -0.099     -1.449e+00
212         211.8      -0.095     -1.433e+00
213         212.8      -0.085     -1.414e+00
214         213.8      -0.075     -1.389e+00
215         214.8      -0.065     -1.371e+00
216         215.8      -0.055     -1.350e+00
217         216.8      -0.045     -1.327e+00
218         217.8      -0.035     -1.306e+00
219         218.8      -0.025     -1.288e+00
220         219.8      -0.015     -1.266e+00
221         220.8      -0.005     -1.246e+00
222         221.8      -0.000     -1.237e+00

