File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  19:26:33-19:29:46
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   183
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.038      4.789e-07
2             1.7       1.027     -2.158e-06
3             3.0       1.014     -6.818e-07
4             4.1       1.004      8.022e-07
5             5.1       0.993      1.886e-07
6             6.9       0.976     -4.106e-07
7             7.9       0.966      1.613e-07
8             9.7       0.947      1.957e-06
9            11.2       0.933     -4.724e-03
10           12.2       0.923     -1.020e-02
11           13.2       0.913     -1.561e-02
12           14.2       0.903     -1.612e-02
13           15.2       0.893     -2.977e-02
14           16.2       0.883     -4.534e-02
15           17.2       0.873     -5.328e-02
16           18.2       0.863     -6.083e-02
17           19.2       0.853     -6.823e-02
18           20.2       0.843     -7.461e-02
19           21.2       0.833     -8.300e-02
20           22.2       0.823     -8.843e-02
21           23.2       0.813     -9.860e-02
22           24.2       0.803     -1.063e-01
23           25.2       0.793     -1.159e-01
24           26.2       0.783     -1.223e-01
25           27.2       0.773     -1.337e-01
26           28.2       0.763     -1.458e-01
27           29.2       0.753     -1.535e-01
28           30.2       0.743     -1.613e-01
29           31.2       0.733     -1.712e-01
30           32.2       0.723     -1.797e-01
31           33.2       0.713     -1.881e-01
32           34.2       0.703     -1.948e-01
33           35.2       0.693     -2.037e-01
34           36.2       0.683     -2.129e-01
35           37.2       0.673     -2.203e-01
36           38.2       0.663     -2.276e-01
37           39.2       0.653     -2.390e-01
38           40.2       0.643     -2.473e-01
39           41.2       0.633     -2.573e-01
40           42.2       0.623     -2.658e-01
41           43.2       0.613     -2.788e-01
42           44.2       0.603     -2.935e-01
43           45.2       0.593     -3.033e-01
44           46.2       0.583     -5.744e-03
45           47.2       0.573     -8.636e-02
46           48.2       0.563     -2.929e-01
47           49.2       0.553     -2.588e-01
48           50.2       0.543     -3.109e-01
49           51.2       0.533     -5.205e-03
50           52.3       0.523     -3.133e-01
51           53.3       0.513     -3.395e-01
52           54.3       0.503     -3.625e-01
53           55.3       0.493     -3.775e-01
54           56.3       0.483     -3.914e-01
