File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  19:30:18-19:33:34
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   190
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.056      1.108e-01
2             1.1       1.051      1.230e-01
3             2.1       1.041      1.192e-01
4             3.1       1.031      1.137e-01
5             4.1       1.021      1.023e-01
6             5.1       1.011      8.465e-02
7             6.1       1.001      6.313e-02
8             7.1       0.991      5.938e-02
9             8.1       0.981      4.942e-02
10            9.1       0.971      4.098e-02
11           10.1       0.961      2.306e-02
12           11.1       0.951      8.799e-03
13           12.1       0.941     -7.162e-03
14           13.1       0.931     -1.335e-02
15           14.1       0.921     -2.201e-02
16           15.8       0.904     -3.724e-02
17           16.8       0.894     -5.307e-02
18           17.8       0.884     -6.290e-02
19           18.8       0.874     -7.786e-02
20           19.8       0.864     -8.712e-02
21           20.8       0.854     -9.590e-02
22           21.8       0.844     -1.036e-01
23           22.8       0.834     -1.142e-01
24           23.8       0.824     -1.263e-01
25           24.8       0.814     -1.325e-01
26           25.8       0.804     -1.402e-01
27           26.8       0.794     -1.515e-01
28           27.8       0.784     -1.595e-01
29           28.8       0.774     -1.702e-01
30           29.8       0.764     -1.815e-01
31           30.8       0.754     -1.921e-01
32           31.8       0.744     -2.021e-01
33           32.8       0.734     -2.149e-01
34           33.8       0.724     -2.267e-01
35           34.8       0.714     -2.362e-01
36           35.8       0.704     -2.462e-01
37           36.8       0.694     -2.558e-01
38           37.8       0.684     -2.651e-01
39           38.8       0.674     -2.758e-01
40           39.8       0.664     -2.848e-01
41           40.8       0.654     -2.960e-01
42           41.8       0.644     -3.060e-01
43           42.8       0.634     -3.130e-01
44           43.8       0.624     -3.264e-01
45           44.8       0.614     -3.360e-01
46           45.8       0.604     -3.482e-01
47           46.8       0.594     -3.588e-01
48           47.8       0.584     -3.725e-01
49           48.8       0.574     -3.834e-01
50           49.8       0.564     -3.951e-01
51           50.8       0.554     -4.065e-01
52           51.8       0.544     -4.196e-01
53           52.8       0.534     -4.302e-01
54           53.8       0.524     -4.436e-01
55           54.8       0.514     -4.553e-01
56           55.8       0.504     -4.691e-01
57           56.8       0.494     -4.810e-01
58           57.8       0.484     -4.942e-01
59           58.8       0.474     -5.052e-01
60           59.8       0.464     -5.203e-01
61           60.8       0.454     -5.339e-01
62           61.8       0.444     -5.492e-01
