File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  18:43:51-18:48:05
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   248
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       2.047      2.582e+00
2             1.1       2.042      2.547e+00
3             1.1       2.042      2.547e+00
4             2.4       2.037      2.559e+00
5             3.4       2.027      2.575e+00
6             4.4       2.017      2.575e+00
7             5.4       2.007      2.574e+00
8             6.4       1.997      2.573e+00
9             7.4       1.987      2.571e+00
10            8.4       1.977      2.572e+00
11            9.4       1.967      2.570e+00
12           10.4       1.957      2.571e+00
13           11.4       1.947      2.569e+00
14           12.4       1.937      2.569e+00
15           13.4       1.927      2.568e+00
16           14.4       1.917      2.566e+00
17           15.4       1.907      2.566e+00
18           16.4       1.897      2.567e+00
19           17.4       1.887      2.563e+00
20           18.4       1.877      2.564e+00
21           19.4       1.867      2.563e+00
22           20.4       1.857      2.563e+00
23           21.4       1.847      2.561e+00
24           22.4       1.837      2.563e+00
25           23.4       1.827      2.561e+00
26           24.4       1.817      2.560e+00
27           25.4       1.807      2.559e+00
28           26.4       1.797      2.559e+00
29           27.4       1.787      2.556e+00
30           28.4       1.777      2.559e+00
31           29.4       1.767      2.559e+00
32           30.4       1.757      2.557e+00
33           31.4       1.747      2.555e+00
34           32.4       1.737      2.555e+00
35           33.4       1.727      2.555e+00
36           34.4       1.717      2.553e+00
37           35.4       1.707      2.553e+00
38           36.4       1.697      2.552e+00
39           37.4       1.687      2.553e+00
40           38.4       1.677      2.552e+00
41           39.4       1.667      2.552e+00
42           40.4       1.657      2.550e+00
43           41.4       1.647      2.551e+00
44           42.4       1.637      2.549e+00
45           43.4       1.627      2.550e+00
46           44.4       1.617      2.548e+00
47           45.4       1.607      2.548e+00
48           46.4       1.597      2.547e+00
49           47.4       1.587      2.546e+00
50           48.4       1.577      2.545e+00
51           49.4       1.567      2.545e+00
52           50.4       1.557      2.545e+00
53           51.4       1.547      2.545e+00
54           52.4       1.537      2.543e+00
55           53.4       1.527      2.543e+00
56           54.4       1.517      2.544e+00
57           55.4       1.507      2.542e+00
58           56.4       1.497      2.541e+00
59           57.4       1.487      2.542e+00
60           58.4       1.477      2.539e+00
61           59.4       1.467      2.540e+00
62           60.4       1.457      2.540e+00
63           61.4       1.447      2.538e+00
64           62.4       1.437      2.540e+00
65           63.4       1.427      2.539e+00
66           64.4       1.417      2.539e+00
67           65.4       1.407      2.538e+00
68           66.4       1.397      2.538e+00
69           67.4       1.387      2.538e+00
70           68.4       1.377      2.535e+00
71           69.4       1.367      2.536e+00
72           70.4       1.357      2.535e+00
73           71.4       1.347      2.536e+00
74           72.4       1.337      2.534e+00
75           73.4       1.327      2.534e+00
76           74.4       1.317      2.534e+00
77           75.4       1.307      2.533e+00
78           76.4       1.297      2.534e+00
79           77.4       1.287      2.533e+00
80           78.4       1.277      2.532e+00
81           79.4       1.267      2.533e+00
82           80.4       1.257      2.532e+00
83           81.4       1.247      2.531e+00
84           82.4       1.237      2.530e+00
85           83.4       1.227      2.531e+00
86           84.4       1.217      2.529e+00
87           85.4       1.207      2.529e+00
88           86.4       1.197      2.526e+00
89           87.4       1.187      2.367e+00
90           88.4       1.177      2.198e+00
91           89.4       1.167      2.227e+00
92           90.4       1.157      2.100e+00
93           91.4       1.147      2.000e+00
94           92.4       1.137      1.896e+00
95           93.4       1.127      1.850e+00
96           94.4       1.117      1.654e+00
97           95.4       1.107      1.421e+00
98           96.4       1.097      1.181e+00
99           97.4       1.087      1.039e+00
100          98.4       1.077      1.009e+00
101          99.4       1.067      8.651e-01
102         100.4       1.057      7.092e-01
103         101.4       1.047      6.270e-01
104         102.4       1.037      5.153e-01
105         103.4       1.027      4.333e-01
106         104.4       1.017      4.167e-01
107         105.4       1.007      4.168e-01
108         106.4       0.997      3.605e-01
109         107.4       0.987      3.126e-01
110         108.4       0.977      2.678e-01
111         109.4       0.967      1.911e-01
112         110.4       0.957      1.618e-01
113         111.4       0.947      1.396e-01
114         112.4       0.937      1.171e-01
115         113.4       0.927      8.869e-02
116         114.4       0.917      7.020e-02
117         115.4       0.907      3.806e-02
118         116.4       0.897     -4.052e-02
119         117.4       0.887     -5.446e-02
120         118.4       0.877     -6.871e-02
121         119.4       0.867     -8.431e-02
122         120.4       0.857     -9.276e-02
123         121.4       0.847     -1.174e-01
124         122.4       0.837     -1.294e-01
125         123.4       0.827     -1.452e-01
126         124.4       0.817     -1.613e-01
127         125.4       0.807     -1.749e-01
128         126.4       0.797     -1.916e-01
129         127.4       0.787     -2.089e-01
130         128.4       0.777     -2.239e-01
131         129.4       0.767     -2.370e-01
132         130.4       0.757     -2.499e-01
133         131.4       0.747     -2.651e-01
134         132.4       0.737     -2.874e-01
135         133.4       0.727     -3.015e-01
136         134.4       0.717     -3.136e-01
137         135.4       0.707     -3.366e-01
138         136.4       0.697     -3.520e-01
139         137.4       0.687     -3.663e-01
140         138.4       0.677     -3.833e-01
141         139.4       0.667     -3.999e-01
142         140.4       0.657     -4.155e-01
143         141.4       0.647     -4.319e-01
144         142.4       0.637     -4.467e-01
145         143.4       0.627     -4.631e-01
146         144.4       0.617     -4.811e-01
