File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  18:48:43-18:52:57
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   246
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       2.064      2.556e+00
2             1.1       2.059      2.538e+00
3             1.1       2.059      2.538e+00
4             2.4       2.054      2.536e+00
5             3.4       2.044      2.552e+00
6             4.4       2.034      2.550e+00
7             5.4       2.024      2.550e+00
8             6.4       2.014      2.548e+00
9             7.4       2.004      2.549e+00
10            8.4       1.994      2.548e+00
11            9.4       1.984      2.547e+00
12           10.4       1.974      2.546e+00
13           11.4       1.964      2.546e+00
14           12.4       1.954      2.545e+00
15           13.4       1.944      2.544e+00
16           14.4       1.934      2.545e+00
17           15.4       1.924      2.543e+00
18           16.4       1.914      2.542e+00
19           17.4       1.904      2.542e+00
20           18.4       1.894      2.540e+00
21           19.4       1.884      2.540e+00
22           20.4       1.874      2.539e+00
23           21.4       1.864      2.539e+00
24           22.4       1.854      2.540e+00
25           23.4       1.844      2.538e+00
26           24.4       1.834      2.538e+00
27           25.4       1.824      2.539e+00
28           26.4       1.814      2.536e+00
29           27.4       1.804      2.537e+00
30           28.4       1.794      2.536e+00
31           29.4       1.784      2.536e+00
32           30.4       1.774      2.534e+00
33           31.4       1.764      2.535e+00
34           32.4       1.754      2.534e+00
35           33.4       1.744      2.533e+00
36           34.4       1.734      2.533e+00
37           35.4       1.724      2.532e+00
38           36.4       1.714      2.531e+00
39           37.4       1.704      2.532e+00
40           38.4       1.694      2.532e+00
41           39.4       1.684      2.531e+00
42           40.4       1.674      2.530e+00
43           41.4       1.664      2.529e+00
44           42.4       1.654      2.528e+00
45           43.4       1.644      2.528e+00
46           44.4       1.634      2.528e+00
47           45.4       1.624      2.527e+00
48           46.4       1.614      2.527e+00
49           47.4       1.604      2.527e+00
50           48.4       1.594      2.526e+00
51           49.4       1.584      2.526e+00
52           50.4       1.574      2.526e+00
53           51.4       1.564      2.524e+00
54           52.4       1.554      2.524e+00
55           53.4       1.544      2.525e+00
56           54.4       1.534      2.525e+00
57           55.4       1.524      2.524e+00
58           56.4       1.514      2.521e+00
59           57.4       1.504      2.524e+00
60           58.4       1.494      2.523e+00
61           59.4       1.484      2.520e+00
62           60.4       1.474      2.520e+00
63           61.4       1.464      2.520e+00
64           62.4       1.454      2.521e+00
65           63.4       1.444      2.519e+00
66           64.4       1.434      2.519e+00
67           65.4       1.424      2.521e+00
68           66.4       1.414      2.519e+00
69           67.4       1.404      2.518e+00
70           68.4       1.394      2.519e+00
71           69.4       1.384      2.517e+00
72           70.4       1.374      2.517e+00
73           71.4       1.364      2.517e+00
74           72.4       1.354      2.518e+00
75           73.4       1.344      2.518e+00
76           74.4       1.334      2.515e+00
77           75.4       1.324      2.518e+00
78           76.4       1.314      2.515e+00
79           77.4       1.304      2.515e+00
80           78.4       1.294      2.514e+00
81           79.4       1.284      2.516e+00
82           80.4       1.274      2.514e+00
83           81.4       1.264      2.513e+00
84           82.4       1.254      2.513e+00
85           83.4       1.244      2.512e+00
86           84.4       1.234      2.494e+00
87           85.4       1.224      2.504e+00
88           86.4       1.214      2.318e+00
89           87.4       1.204      2.180e+00
90           88.4       1.194      2.056e+00
91           89.4       1.184      2.032e+00
92           90.4       1.174      1.834e+00
93           91.4       1.164      1.583e+00
94           92.4       1.154      1.414e+00
95           93.4       1.144      1.344e+00
96           94.4       1.134      1.157e+00
97           95.4       1.124      9.784e-01
98           96.4       1.114      9.066e-01
99           97.4       1.104      6.965e-01
100          98.4       1.094      5.203e-01
101          99.4       1.084      4.605e-01
102         100.4       1.074      3.915e-01
103         101.4       1.064      3.442e-01
104         102.4       1.054      2.322e-01
105         103.4       1.044      1.566e-01
106         104.4       1.034      1.422e-01
107         105.4       1.024      1.248e-01
108         106.4       1.014      1.150e-01
109         107.4       1.004      9.898e-02
110         108.4       0.994      9.517e-02
111         109.4       0.984      7.766e-02
112         110.4       0.974      6.422e-02
113         111.4       0.964      4.552e-02
114         112.4       0.954      3.526e-02
115         113.4       0.944      1.882e-02
116         114.4       0.934      3.230e-03
117         115.4       0.924     -1.228e-02
118         116.4       0.914     -1.621e-02
119         117.5       0.904     -4.142e-02
120         118.5       0.894     -6.156e-02
121         119.5       0.884     -7.471e-02
122         120.5       0.874     -8.163e-02
123         121.5       0.864     -9.191e-02
124         122.5       0.854     -1.108e-01
125         123.5       0.844     -1.242e-01
126         124.5       0.834     -1.483e-01
127         125.5       0.824     -1.620e-01
128         126.5       0.814     -1.777e-01
129         127.5       0.804     -1.936e-01
130         128.5       0.794     -2.090e-01
131         129.5       0.784     -2.305e-01
132         130.5       0.774     -2.501e-01
133         131.5       0.764     -2.666e-01
134         132.5       0.754     -2.801e-01
135         133.5       0.744     -2.939e-01
136         134.5       0.734     -3.076e-01
137         135.5       0.724     -3.212e-01
138         136.5       0.714     -3.399e-01
139         137.5       0.704     -3.553e-01
140         138.5       0.694     -3.722e-01
141         139.5       0.684     -3.897e-01
142         140.5       0.674     -4.061e-01
143         141.5       0.664     -4.213e-01
144         142.5       0.654     -4.431e-01
145         143.5       0.644     -4.571e-01
146         144.5       0.634     -4.783e-01
147         145.5       0.624     -4.964e-01
148         146.5       0.614     -5.156e-01
149         147.5       0.604     -5.338e-01
150         148.5       0.594     -5.514e-01
151         149.5       0.584     -5.706e-01
152         150.5       0.574     -5.946e-01
153         151.5       0.564     -6.108e-01
154         152.5       0.554     -6.280e-01
155         153.5       0.544     -6.475e-01
156         154.5       0.534     -6.660e-01
157         155.5       0.524     -6.867e-01
158         156.5       0.514     -7.032e-01
159         157.5       0.504     -7.225e-01
160         158.5       0.494     -7.424e-01
161         159.5       0.484     -7.614e-01
162         160.5       0.474     -7.842e-01
163         161.5       0.464     -8.050e-01
164         162.5       0.454     -8.255e-01
165         163.5       0.444     -8.452e-01
166         164.5       0.434     -8.617e-01
167         165.5       0.424     -8.833e-01
168         166.5       0.414     -9.056e-01
169         167.5       0.404     -9.289e-01
170         168.5       0.394     -9.472e-01
171         169.5       0.384     -9.676e-01
172         170.5       0.374     -9.907e-01
173         171.5       0.364     -1.017e+00
174         172.5       0.354     -1.037e+00
175         173.5       0.344     -1.058e+00
176         174.5       0.334     -1.079e+00
177         175.5       0.324     -1.102e+00
178         176.5       0.314     -1.123e+00
179         177.5       0.304     -1.145e+00
180         178.5       0.294     -1.172e+00
181         179.5       0.284     -1.192e+00
182         180.5       0.274     -1.213e+00
183         181.5       0.264     -1.236e+00
184         182.5       0.254     -1.259e+00
185         183.5       0.244     -1.280e+00
186         184.5       0.234     -1.303e+00
187         185.5       0.224     -1.328e+00
188         186.5       0.214     -1.352e+00
189         187.5       0.204     -1.373e+00
190         188.5       0.194     -1.399e+00
191         189.5       0.184     -1.423e+00
192         190.5       0.174     -1.445e+00
193         191.5       0.164     -1.470e+00
194         192.5       0.154     -1.498e+00
195         193.5       0.144     -1.526e+00
196         194.5       0.134     -1.554e+00
197         195.5       0.124     -1.581e+00
198         196.5       0.114     -1.605e+00
199         197.5       0.104     -1.633e+00
200         198.5       0.094     -1.663e+00
201         199.5       0.084     -1.690e+00
202         200.5       0.074     -1.717e+00
203         201.5       0.064     -1.746e+00
204         202.5       0.054     -1.772e+00
205         203.5       0.044     -1.801e+00
206         204.5       0.034     -1.830e+00
207         205.5       0.024     -1.860e+00
208         206.5       0.014     -1.889e+00
209         207.5       0.004     -1.917e+00
210         208.5      -0.006     -1.946e+00
211         209.5      -0.016     -1.978e+00
212         210.5      -0.026     -2.009e+00
213         211.5      -0.036     -2.036e+00
214         212.5      -0.046     -2.070e+00
215         213.5      -0.056     -2.104e+00
216         214.5      -0.066     -2.135e+00
217         215.5      -0.076     -2.170e+00
218         216.5      -0.086     -2.203e+00
219         217.5      -0.096     -2.235e+00
220         218.5      -0.106     -2.265e+00
221         219.5      -0.116     -2.299e+00
222         220.5      -0.126     -2.332e+00
223         221.5      -0.136     -2.367e+00
224         222.5      -0.146     -2.402e+00
225         223.5      -0.156     -2.437e+00
226         224.5      -0.166     -2.472e+00
227         225.5      -0.176     -2.513e+00
228         225.5      -0.176     -2.513e+00
229         226.8      -0.171     -2.484e+00
230         227.8      -0.161     -2.472e+00
231         228.8      -0.151     -2.444e+00
232         229.8      -0.141     -2.410e+00
233         230.8      -0.131     -2.380e+00
234         231.8      -0.121     -2.350e+00
235         232.8      -0.111     -2.319e+00
236         233.8      -0.101     -2.289e+00
237         234.8      -0.091     -2.258e+00
238         235.8      -0.081     -2.232e+00
239         236.8      -0.071     -2.204e+00
240         237.8      -0.061     -2.178e+00
241         238.8      -0.051     -2.154e+00
242         239.8      -0.041     -2.126e+00
243         240.8      -0.031     -2.103e+00
244         241.8      -0.021     -2.078e+00
245         242.8      -0.011     -2.051e+00
246         244.4      -0.003     -2.029e+00

