File.......:   - APR,29.2017

System.....:  
Potential..:  0.950V
Current....:  252.72mA
Temperature:  unknown
Time.......:  18:36:47 - 18:38:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.0153e+00        1.2517e+01        0.902           0.0
   2      7.9499e+05       5.7159e-01        1.0035e+01        0.782           2.0
   3      6.3201e+05       1.4086e+00        6.0007e+00        0.913           3.3
   4      5.0244e+05      -8.5007e+00        1.0201e+01        0.746           5.1
   5      3.9943e+05       1.1058e-01        4.2845e+00        0.999           6.5
   6      3.1754e+05       1.0923e-01        3.3464e+00        0.999           7.1
   7      2.5244e+05       1.8454e-01        2.6760e+00        0.999           8.0
   8      2.0069e+05       1.1410e-01        2.0855e+00        0.999           9.4
   9      1.5955e+05       1.5077e-01        1.6426e+00        0.998          11.0
  10      1.2684e+05       1.3045e-01        1.3036e+00        0.998          12.7
  11      1.0083e+05       1.4959e-01        1.0175e+00        0.997          14.4
  12      8.0162e+04       1.3324e-01        8.1329e-01        0.996          16.1
  13      6.3727e+04       1.4648e-01        6.3317e-01        0.995          17.8
  14      5.0663e+04       1.4445e-01        4.9831e-01        0.995          19.3
  15      4.0276e+04       1.4538e-01        3.8941e-01        0.995          20.4
  16      3.2019e+04       1.4730e-01        3.0156e-01        0.995          21.5
  17      2.5455e+04       1.5019e-01        2.3101e-01        0.995          22.6
  18      2.0236e+04       1.5390e-01        1.7320e-01        0.994          23.7
  19      1.6088e+04       1.5834e-01        1.2684e-01        0.995          24.8
  20      1.2789e+04       1.6171e-01        8.9509e-02        0.964          25.8
  21      1.0167e+04       1.6701e-01        5.7927e-02        0.969          26.5
  22      8.0830e+03       1.7331e-01        3.1611e-02        0.978          26.9
  23      6.4259e+03       1.7991e-01        9.2321e-03        0.988          27.3
  24      5.1085e+03       1.8752e-01       -1.0078e-02        0.993          27.7
  25      4.0612e+03       1.9612e-01       -2.7250e-02        0.997          28.1
  26      3.2286e+03       2.0551e-01       -4.3675e-02        0.997          28.6
  27      2.5667e+03       2.1806e-01       -5.6891e-02        0.998          28.9
  28      2.0405e+03       2.3077e-01       -7.0206e-02        0.985          29.4
  29      1.6222e+03       2.4511e-01       -8.2620e-02        0.989          29.8
  30      1.2896e+03       2.6131e-01       -9.3347e-02        0.986          30.2
  31      1.0252e+03       2.7902e-01       -1.0235e-01        0.986          30.6
  32      8.1504e+02       2.9796e-01       -1.1027e-01        0.986          31.0
  33      6.4794e+02       3.1763e-01       -1.1549e-01        0.989          31.4
  34      5.1511e+02       3.3596e-01       -1.1581e-01        0.993          31.8
  35      4.0950e+02       3.5741e-01       -1.1916e-01        0.995          32.2
  36      3.2555e+02       3.7770e-01       -1.2190e-01        0.996          32.6
  37      2.5881e+02       3.9626e-01       -1.2240e-01        0.997          33.0
  38      2.0575e+02       4.1652e-01       -1.2485e-01        0.994          33.4
  39      1.6357e+02       4.3438e-01       -1.2212e-01        0.991          33.8
  40      1.3004e+02       4.4525e-01       -1.1403e-01        0.988          34.2
  41      1.0338e+02       4.6183e-01       -1.1224e-01        0.987          34.7
  42      8.2183e+01       4.7747e-01       -1.0739e-01        0.984          35.2
  43      6.5630e+01       4.9777e-01       -1.0760e-01        0.981          35.7
  44      5.1793e+01       4.9888e-01       -9.2722e-02        0.979          37.1
  45      4.0333e+01       4.9043e-01       -7.2710e-02        0.974          38.9
  46      3.0941e+01       4.9856e-01       -6.1956e-02        0.970          40.2
  47      2.3336e+01       4.9075e-01       -4.5915e-02        0.970          41.7
  48      1.7264e+01       4.6263e-01       -2.4442e-02        0.964          43.4
  49      1.2492e+01       4.3192e-01       -8.0378e-03        0.965          45.4
  50      8.8124e+00       4.1968e-01       -5.7439e-04        0.964          47.8
  51      6.0391e+00       4.2117e-01        1.1049e-02        0.960          50.7
  52      4.0045e+00       4.0507e-01        1.8545e-02        0.958          54.4
  53      2.5599e+00       3.8797e-01        2.3713e-02        0.985          59.2
  54      1.5737e+00       3.7718e-01        2.9967e-02        0.968          66.7
  55      9.3109e-01       3.7019e-01        3.4419e-02        0.975          76.3
  56      5.3348e-01       3.5162e-01        3.2256e-02        0.980          89.5
  57      3.0000e-01       3.3014e-01        3.8353e-02        0.972         108.3

