File.......:   - APR,29.2017

System.....:  
Potential..:  0.917V
Current....:  -13.081mA
Temperature:  unknown
Time.......:  15:53:42 - 15:57:41
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   60
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -4.8116e+00        2.1963e+01        0.884           0.0
   2      7.9565e+05      -7.8515e-02        7.1924e+00        0.976           3.2
   3      6.3306e+05      -1.3259e+00        5.6476e+00        0.950           4.8
   4      5.0369e+05       5.3719e-01        4.3922e+00        0.961           6.1
   5      4.0076e+05       1.5437e-01        4.0211e+00        0.972           7.1
   6      3.1886e+05      -5.7288e-02        2.7626e+00        0.932           7.6
   7      2.5370e+05      -2.0435e-02        2.3069e+00        0.988           8.2
   8      2.0186e+05       1.1171e-01        1.6953e+00        0.994           9.0
   9      1.6061e+05       1.6045e-01        1.4506e+00        0.995           9.7
  10      1.2779e+05       1.3750e-01        1.0923e+00        0.998          10.3
  11      1.0167e+05       1.0579e-01        8.8889e-01        0.990          11.1
  12      8.0897e+04       1.1831e-01        6.8542e-01        0.991          11.9
  13      6.4366e+04       1.3545e-01        5.5515e-01        0.994          12.5
  14      5.1213e+04       1.2183e-01        4.2633e-01        0.996          13.1
  15      4.0747e+04       1.3608e-01        3.3362e-01        0.999          13.9
  16      3.2420e+04       1.3870e-01        2.6121e-01        0.998          14.8
  17      2.5795e+04       1.4032e-01        2.0012e-01        0.999          15.3
  18      2.0524e+04       1.4310e-01        1.5147e-01        0.999          15.8
  19      1.6330e+04       1.4671e-01        1.1218e-01        1.000          16.3
  20      1.2993e+04       1.5084e-01        7.9966e-02        0.998          16.9
  21      1.0338e+04       1.5534e-01        5.3855e-02        0.999          17.4
  22      8.2252e+03       1.6038e-01        3.2153e-02        0.999          17.9
  23      6.5444e+03       1.6612e-01        1.4109e-02        1.000          18.4
  24      5.2070e+03       1.7264e-01       -1.3027e-03        1.000          19.0
  25      4.1430e+03       1.8000e-01       -1.4104e-02        1.000          19.5
  26      3.2963e+03       1.8814e-01       -2.5936e-02        0.999          20.0
  27      2.6227e+03       1.9741e-01       -3.4939e-02        1.000          20.5
  28      2.0868e+03       2.0698e-01       -4.1714e-02        1.000          21.0
  29      1.6603e+03       2.1674e-01       -4.8073e-02        1.000          21.6
  30      1.3210e+03       2.2710e-01       -5.2079e-02        0.999          22.1
  31      1.0511e+03       2.3650e-01       -5.4670e-02        1.000          22.6
  32      8.3629e+02       2.4629e-01       -5.7198e-02        0.999          23.1
  33      6.6540e+02       2.5547e-01       -5.9586e-02        1.000          23.6
  34      5.2942e+02       2.6581e-01       -6.0674e-02        0.999          24.2
  35      4.2123e+02       2.7477e-01       -6.1951e-02        1.000          24.7
  36      3.3515e+02       2.8485e-01       -6.3777e-02        0.998          25.2
  37      2.6666e+02       2.9299e-01       -6.6099e-02        1.000          25.7
  38      2.1217e+02       3.0273e-01       -6.7052e-02        0.997          26.2
  39      1.6881e+02       3.1345e-01       -6.9824e-02        0.994          26.7
  40      1.3432e+02       3.2408e-01       -6.5908e-02        0.999          27.3
  41      1.0687e+02       3.3645e-01       -6.1711e-02        0.991          27.8
  42      8.5030e+01       3.4824e-01       -7.7969e-02        0.998          28.4
  43      6.7654e+01       3.5228e-01       -7.8668e-02        0.998          29.1
  44      5.3524e+01       3.8780e-01       -9.6902e-02        0.989          30.6
  45      4.1896e+01       3.9570e-01       -8.7827e-02        0.999          32.4
  46      3.2409e+01       4.2698e-01       -7.1587e-02        0.997          33.9
  47      2.4746e+01       4.4134e-01       -9.7138e-02        0.987          35.5
  48      1.8624e+01       4.1862e-01       -7.9740e-02        0.989          37.3
  49      1.3792e+01       4.4489e-01       -5.4038e-02        0.998          39.3
  50      1.0031e+01       5.1300e-01       -6.2673e-02        0.963          41.7
  51      7.1499e+00       5.0330e-01       -5.1471e-02        0.990          45.2
  52      4.9825e+00       4.7420e-01       -5.2827e-02        0.991          50.0
  53      3.3858e+00       4.7895e-01       -1.7501e-02        0.989          55.3
  54      2.2374e+00       5.2266e-01       -8.3928e-03        0.989          61.4
  55      1.4343e+00       5.0335e-01       -4.3916e-02        0.968          75.1
  56      8.9031e-01       5.8672e-01       -2.3209e-01        0.895          87.2
  57      5.3506e-01       4.3945e-01        2.1205e-01        0.914         103.6
  58      3.1211e-01       3.8966e-01       -6.7850e-02        0.926         128.7
  59      1.7783e-01       4.2432e-01        3.8984e-02        0.971         165.2
  60      1.0000e-01       6.0876e-01       -1.0261e-01        0.896         216.7

