File.......:   - APR,29.2017

System.....:  
Potential..:  0.921V
Current....:  -19.832mA
Temperature:  unknown
Time.......:  16:01:28 - 16:05:29
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   60
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.1301e+00        1.0568e+01        0.932           0.0
   2      7.9565e+05       3.8818e+00        1.0594e+01        0.931           2.5
   3      6.3306e+05       1.2428e+00        5.8793e+00        0.939           4.3
   4      5.0369e+05      -7.0354e-01        4.7068e+00        0.945           5.9
   5      4.0076e+05       1.4695e+00        3.9470e+00        0.965           6.9
   6      3.1886e+05       1.0652e-01        3.1311e+00        0.986           7.4
   7      2.5370e+05       6.5688e-02        2.1123e+00        0.995           7.9
   8      2.0186e+05       1.1987e-01        1.7740e+00        0.997           8.6
   9      1.6061e+05       1.5681e-01        1.3641e+00        0.989           9.1
  10      1.2779e+05       1.8746e-01        1.0393e+00        0.993           9.7
  11      1.0167e+05       1.6075e-01        8.7147e-01        0.991          10.6
  12      8.0897e+04       1.5344e-01        6.5992e-01        0.986          11.4
  13      6.4366e+04       1.3406e-01        5.3866e-01        0.998          12.0
  14      5.1213e+04       1.3448e-01        4.2465e-01        0.999          12.9
  15      4.0747e+04       1.3452e-01        3.3096e-01        0.998          13.5
  16      3.2420e+04       1.3781e-01        2.6167e-01        0.997          14.4
  17      2.5795e+04       1.4033e-01        1.9942e-01        0.998          15.0
  18      2.0524e+04       1.4325e-01        1.5190e-01        0.999          15.5
  19      1.6330e+04       1.4686e-01        1.1231e-01        0.998          16.0
  20      1.2993e+04       1.5111e-01        7.9814e-02        0.999          16.6
  21      1.0338e+04       1.5573e-01        5.3431e-02        0.999          17.1
  22      8.2252e+03       1.6094e-01        3.1458e-02        0.999          17.7
  23      6.5444e+03       1.6683e-01        1.3059e-02        1.000          18.2
  24      5.2070e+03       1.7335e-01       -2.5969e-03        0.999          18.7
  25      4.1430e+03       1.8081e-01       -1.6015e-02        1.000          19.3
  26      3.2963e+03       1.8922e-01       -2.8034e-02        1.000          19.8
  27      2.6227e+03       1.9853e-01       -3.7665e-02        1.000          20.3
  28      2.0868e+03       2.0874e-01       -4.5406e-02        1.000          20.9
  29      1.6603e+03       2.1909e-01       -5.2021e-02        1.000          21.4
  30      1.3210e+03       2.3012e-01       -5.6341e-02        1.000          21.9
  31      1.0511e+03       2.4078e-01       -5.8770e-02        1.000          22.5
  32      8.3629e+02       2.5050e-01       -6.1138e-02        0.999          23.0
  33      6.6540e+02       2.6033e-01       -6.3472e-02        0.999          23.6
  34      5.2942e+02       2.6888e-01       -6.4212e-02        0.999          24.3
  35      4.2123e+02       2.8002e-01       -6.3544e-02        1.000          24.8
  36      3.3515e+02       2.8771e-01       -6.6444e-02        0.999          25.3
  37      2.6666e+02       2.9900e-01       -6.8453e-02        0.999          25.8
  38      2.1217e+02       3.0936e-01       -6.7115e-02        0.998          26.3
  39      1.6881e+02       3.1780e-01       -7.1444e-02        0.998          26.8
  40      1.3432e+02       3.2981e-01       -7.4241e-02        0.998          27.4
  41      1.0687e+02       3.4378e-01       -8.5253e-02        0.996          28.0
  42      8.5030e+01       3.6172e-01       -8.2607e-02        0.999          28.6
  43      6.7654e+01       3.6652e-01       -8.3748e-02        0.997          29.2
  44      5.3524e+01       3.8294e-01       -7.7499e-02        0.996          30.7
  45      4.1896e+01       4.0400e-01       -8.7923e-02        0.997          32.5
  46      3.2409e+01       4.2282e-01       -7.8610e-02        0.997          34.0
  47      2.4746e+01       3.6677e-01       -1.2870e-01        0.985          35.6
  48      1.8624e+01       4.3027e-01       -4.9258e-02        0.978          37.4
  49      1.3792e+01       4.8170e-01       -7.2813e-02        0.965          39.5
  50      1.0031e+01       4.6152e-01       -1.0349e-01        0.977          41.8
  51      7.1499e+00       5.0550e-01       -6.7589e-02        0.974          45.9
  52      4.9825e+00       4.8899e-01       -2.5816e-02        0.992          51.8
  53      3.3858e+00       4.9784e-01       -2.7087e-02        0.986          57.7
  54      2.2374e+00       4.8584e-01       -1.4905e-02        0.987          64.1
  55      1.4343e+00       5.0380e-01        2.3022e-02        0.987          77.8
  56      8.9031e-01       5.2010e-01       -4.9736e-02        0.975          89.8
  57      5.3506e-01       4.9587e-01       -3.5053e-02        0.975         106.3
  58      3.1211e-01       4.9280e-01        6.9938e-03        0.986         131.4
  59      1.7783e-01       4.6433e-01        6.6727e-02        0.920         167.9
  60      1.0000e-01       4.7746e-01        1.7530e-01        0.867         219.4

