File.......:   - MAY,02.2017

System.....:  
Potential..:  1.017V
Current....:  -694.23uA
Temperature:  unknown
Time.......:  16:12:19 - 16:14:21
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+06       3.5732e+00        1.2591e+01        0.992           0.0
  2       7.9499e+05       2.5491e+00        9.5383e+00        0.997           2.7
  3       6.3201e+05       2.0852e+00        7.2450e+00        0.998           4.0
  4       5.0244e+05       1.9368e+00        5.5216e+00        0.999           5.5
  5       3.9943e+05       1.9917e+00        4.0962e+00        0.998           7.1
  6       3.1754e+05       2.0350e+00        3.0928e+00        0.996           8.7
  7       2.5244e+05       1.9189e+00        2.3523e+00        0.998          10.8
  8       2.0069e+05       2.0070e+00        1.7181e+00        0.993          12.8
  9       1.5955e+05       2.0904e+00        1.1403e+00        0.999          14.4
 10       1.2684e+05       2.0846e+00        8.2280e-01        0.993          17.0
 11       1.0083e+05       2.1652e+00        3.8845e-01        1.000          19.5
 12       8.0162e+04       2.2620e+00        1.0161e-01        0.997          20.2
 13       6.3727e+04       2.3945e+00       -1.3393e-01        0.999          20.8
 14       5.0663e+04       2.5216e+00       -3.3520e-01        1.000          21.3
 15       4.0276e+04       2.6621e+00       -5.0221e-01        0.997          21.8
 16       3.2019e+04       2.8159e+00       -6.5808e-01        0.999          22.5
 17       2.5455e+04       2.9808e+00       -7.8755e-01        0.997          23.0
 18       2.0236e+04       3.1562e+00       -8.9507e-01        1.000          23.5
 19       1.6088e+04       3.3417e+00       -9.9183e-01        0.999          24.0
 20       1.2789e+04       3.5300e+00       -1.0852e+00        1.000          24.5
 21       1.0167e+04       3.7249e+00       -1.1617e+00        0.999          25.0
 22       8.0830e+03       3.9341e+00       -1.2364e+00        0.999          25.5
 23       6.4259e+03       4.1601e+00       -1.2985e+00        1.000          26.0
 24       5.1085e+03       4.4015e+00       -1.3550e+00        1.000          26.5
 25       4.0612e+03       4.6548e+00       -1.4068e+00        1.000          27.0
 26       3.2286e+03       4.9221e+00       -1.4653e+00        1.000          27.5
 27       2.5667e+03       5.2078e+00       -1.4905e+00        1.000          28.0
 28       2.0405e+03       5.5209e+00       -1.5031e+00        1.000          28.5
 29       1.6222e+03       5.8680e+00       -1.5297e+00        1.000          29.0
 30       1.2896e+03       6.5031e+00       -1.5305e+00        0.999          29.6
 31       1.0252e+03       6.6149e+00       -1.5525e+00        0.998          30.6
 32       8.1504e+02       6.5755e+00       -1.5485e+00        1.000          31.9
 33       6.4794e+02       6.8842e+00       -1.5703e+00        1.000          32.6
 34       5.1511e+02       7.3776e+00       -1.5954e+00        1.000          33.1
 35       4.0950e+02       7.2555e+00       -1.5683e+00        0.998          33.8
 36       3.2555e+02       6.9886e+00       -1.6731e+00        1.000          34.7
 37       2.5881e+02       7.1990e+00       -1.7489e+00        1.000          35.5
 38       2.0575e+02       7.4491e+00       -1.8167e+00        0.999          36.0
 39       1.6357e+02       7.6604e+00       -1.9201e+00        1.000          36.5
 40       1.3004e+02       7.9081e+00       -2.0132e+00        0.999          37.0
 41       1.0338e+02       8.2397e+00       -2.0728e+00        0.999          37.5
 42       8.2183e+01       8.5791e+00       -2.1732e+00        0.999          38.1
 43       6.5630e+01       8.9321e+00       -2.1708e+00        0.999          38.7
 44       5.1793e+01       9.2533e+00       -2.2748e+00        0.999          40.2
 45       4.0333e+01       9.6400e+00       -2.2517e+00        0.998          42.0
 46       3.0941e+01       1.0069e+01       -2.3561e+00        0.994          43.4
 47       2.3336e+01       1.1088e+01       -2.2805e+00        0.991          45.0
 48       1.7264e+01       1.1490e+01       -2.1788e+00        0.998          47.0
 49       1.2492e+01       1.2619e+01       -3.2248e+00        0.979          49.0
 50       8.8124e+00       1.2581e+01       -1.4444e+00        0.998          51.5
 51       6.0391e+00       1.2810e+01       -1.5678e+00        0.978          54.4
 52       4.0045e+00       1.2904e+01       -1.0600e+00        0.993          58.2
 53       2.5599e+00       1.2836e+01       -6.3364e-01        0.987          63.1
 54       1.5737e+00       1.3795e+01       -7.7007e-01        0.976          70.8
 55       9.3109e-01       1.3317e+01       -3.7218e-01        0.980          80.5
 56       5.3348e-01       1.3659e+01        4.5058e-01        0.972          93.8
 57       3.0000e-01       1.3639e+01        2.2394e-01        0.936         112.6

