File............:   - MAY,02.2017

System..........:  
Temperature.....:  unknown
Time............:  16:20:15-16:21:50
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   91
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.083     -5.531e-04
2             1.1       1.078     -9.070e-04
3             2.1       1.068     -1.655e-03
4             3.1       1.058     -2.520e-03
5             4.1       1.048     -3.387e-03
6             5.4       1.035     -4.553e-03
7             6.4       1.025     -5.477e-03
8             7.4       1.015     -6.414e-03
9             8.4       1.005     -7.414e-03
10            9.4       0.995     -8.495e-03
11           10.4       0.985     -9.603e-03
12           11.4       0.975     -1.076e-02
13           12.4       0.965     -1.191e-02
14           13.4       0.955     -1.299e-02
15           14.4       0.945     -1.432e-02
16           15.4       0.935     -1.562e-02
17           16.4       0.925     -1.691e-02
18           17.4       0.915     -1.818e-02
19           18.4       0.905     -1.954e-02
20           19.4       0.895     -2.079e-02
21           20.4       0.885     -2.204e-02
22           21.4       0.875     -2.335e-02
23           22.4       0.865     -2.471e-02
24           23.4       0.855     -2.598e-02
25           24.4       0.845     -2.725e-02
26           25.4       0.835     -2.875e-02
27           26.4       0.825     -3.014e-02
28           27.4       0.815     -3.122e-02
29           28.4       0.805     -3.274e-02
30           29.4       0.795     -3.422e-02
31           30.4       0.785     -3.564e-02
32           31.4       0.775     -3.709e-02
33           32.4       0.765     -3.852e-02
34           33.4       0.755     -3.998e-02
35           34.6       0.744     -4.151e-02
36           35.6       0.734     -4.321e-02
37           36.6       0.724     -4.464e-02
38           37.6       0.714     -4.618e-02
39           38.6       0.704     -4.768e-02
40           39.6       0.694     -4.923e-02
41           40.6       0.684     -5.074e-02
42           41.6       0.674     -5.224e-02
43           42.6       0.664     -5.381e-02
44           43.6       0.654     -5.535e-02
45           44.6       0.644     -5.682e-02
46           45.6       0.634     -5.827e-02
47           46.6       0.624     -5.967e-02
48           47.6       0.614     -6.108e-02
49           48.6       0.604     -6.247e-02
50           49.6       0.594     -6.396e-02
51           50.6       0.584     -6.548e-02
52           51.6       0.574     -6.689e-02
53           52.6       0.564     -6.831e-02
54           53.6       0.554     -6.974e-02
55           54.6       0.544     -7.115e-02
56           55.6       0.534     -7.254e-02
57           56.6       0.524     -7.392e-02
58           57.6       0.514     -7.533e-02
59           59.5       0.504     -7.685e-02
60           60.7       0.495     -7.793e-02
61           61.7       0.485     -7.983e-02
62           62.7       0.475     -8.129e-02
63           63.7       0.465     -8.272e-02
64           64.7       0.455     -8.422e-02
65           65.7       0.445     -8.578e-02
66           66.7       0.435     -8.731e-02
67           67.7       0.425     -8.881e-02
68           68.7       0.415     -9.040e-02
69           69.7       0.405     -9.198e-02
70           70.7       0.395     -9.368e-02
71           71.7       0.385     -9.532e-02
72           72.7       0.375     -9.697e-02
73           73.7       0.365     -9.872e-02
74           74.7       0.355     -1.005e-01
75           75.7       0.345     -1.021e-01
76           76.7       0.335     -1.038e-01
77           77.7       0.325     -1.056e-01
78           78.7       0.315     -1.073e-01
79           79.7       0.305     -1.090e-01
80           80.7       0.300     -1.101e-01
81           82.0       0.295     -1.110e-01
82           83.0       0.285     -1.134e-01
83           84.0       0.275     -1.150e-01
84           85.0       0.265     -1.167e-01
85           86.0       0.255     -1.186e-01
86           87.0       0.245     -1.205e-01
87           88.0       0.235     -1.225e-01
88           89.0       0.225     -1.245e-01
89           90.0       0.215     -1.264e-01
90           91.0       0.205     -1.283e-01
91           92.0       0.200     -1.296e-01

