File.......:   - MAY,04.2017

System.....:  
Potential..:  0.697V
Current....:  4.7447mA
Temperature:  unknown
Time.......:  20:07:20 - 20:09:53
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.4631e+00        4.8462e+00        0.932           0.0
   2      7.5210e+05      -3.5965e-01        2.5449e+00        0.996           1.4
   3      5.6565e+05       5.5692e-01        2.1514e+00        0.976           2.0
   4      4.2542e+05       4.0254e-01        1.6897e+00        0.961           2.8
   5      3.1996e+05       2.0934e-02        1.2555e+00        0.984           3.7
   6      2.4064e+05       2.8916e-01        8.2940e-01        0.985           4.1
   7      1.8099e+05       2.8089e-01        5.9338e-01        0.994           4.9
   8      1.3612e+05       2.9137e-01        4.1945e-01        0.984           5.8
   9      1.0237e+05       3.0780e-01        3.3291e-01        0.999           6.3
  10      7.6996e+04       3.2850e-01        2.2983e-01        0.984           6.7
  11      5.7908e+04       3.5946e-01        1.4712e-01        0.997           7.2
  12      4.3553e+04       3.5518e-01        8.9488e-02        0.997           7.7
  13      3.2756e+04       3.6839e-01        4.3580e-02        0.994           8.2
  14      2.4636e+04       3.9429e-01       -1.1220e-02        0.999           8.7
  15      1.8528e+04       4.1382e-01       -4.2856e-02        0.995           9.2
  16      1.3935e+04       4.3463e-01       -7.0667e-02        0.999           9.7
  17      1.0481e+04       4.5730e-01       -9.1831e-02        0.999          10.1
  18      7.8825e+03       4.8120e-01       -1.1123e-01        0.999          10.7
  19      5.9284e+03       5.0594e-01       -1.2841e-01        0.999          11.2
  20      4.4587e+03       5.3124e-01       -1.4491e-01        0.999          11.7
  21      3.3534e+03       5.5976e-01       -1.6430e-01        0.999          12.2
  22      2.5221e+03       5.8657e-01       -1.8052e-01        0.999          12.6
  23      1.8968e+03       6.2506e-01       -2.0361e-01        0.999          13.1
  24      1.4266e+03       6.5928e-01       -2.2916e-01        1.000          13.6
  25      1.0730e+03       6.9601e-01       -2.4313e-01        0.998          14.1
  26      8.0697e+02       7.7569e-01       -2.6711e-01        0.998          14.9
  27      6.0692e+02       8.2517e-01       -2.8784e-01        0.998          15.7
  28      4.5646e+02       8.7709e-01       -2.9464e-01        0.991          16.1
  29      3.4330e+02       8.6027e-01       -3.1673e-01        0.994          16.6
  30      2.5820e+02       1.2140e+00       -3.2302e-01        0.973          17.1
  31      1.9419e+02       1.1059e+00       -3.1350e-01        0.983          17.7
  32      1.4605e+02       1.0565e+00       -2.8165e-01        0.986          18.2
  33      1.0984e+02       1.1860e+00       -4.1846e-01        0.980          18.7
  34      8.2613e+01       1.0526e+00       -3.7439e-01        0.968          19.6
  35      6.2284e+01       1.3640e+00       -4.3070e-01        0.975          20.8
  36      4.6035e+01       1.4469e+00       -3.6714e-01        0.963          23.0
  37      3.3236e+01       1.3405e+00       -2.0493e-01        0.964          25.3
  38      2.3330e+01       1.4212e+00       -1.7727e-01        0.974          26.9
  39      1.5823e+01       1.5551e+00        6.2099e-04        0.926          29.2
  40      1.0281e+01       1.7916e+00       -1.5916e-01        0.919          31.9
  41      6.3213e+00       1.6602e+00        1.8406e-01        0.911          34.9
  42      3.6136e+00       1.7484e+00        2.0166e-02        0.939          39.1
  43      1.8700e+00       1.8374e+00       -1.5789e-01        0.931          48.4
  44      8.4267e-01       2.0225e+00        6.2816e-01        0.887          60.0
  45      3.1623e-01       1.5272e+00        1.3998e-01        0.902          82.8
  46      1.0000e-01       9.6785e-01       -2.1684e+00        0.664         131.3

