File.......:   - MAY,04.2017

System.....:  
Potential..:  0.750V
Current....:  8.4071mA
Temperature:  unknown
Time.......:  18:56:59 - 18:59:35
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -5.1464e-01        5.7954e+00        0.945           0.0
   2      7.5210e+05      -4.4815e-02        3.0727e+00        0.981           1.4
   3      5.6565e+05       1.8294e-01        2.2029e+00        0.996           2.0
   4      4.2542e+05       3.5265e-01        1.3214e+00        0.985           2.8
   5      3.1996e+05       3.5560e-01        1.2151e+00        0.976           3.5
   6      2.4064e+05       2.6302e-01        7.8506e-01        0.999           4.1
   7      1.8099e+05       2.3090e-01        5.8374e-01        0.996           4.6
   8      1.3612e+05       2.4531e-01        4.2145e-01        0.992           5.1
   9      1.0237e+05       2.7311e-01        3.3916e-01        0.998           5.9
  10      7.6996e+04       2.8140e-01        2.3852e-01        0.997           6.7
  11      5.7908e+04       3.0010e-01        1.6541e-01        0.997           7.2
  12      4.3553e+04       3.0528e-01        1.0506e-01        0.999           7.7
  13      3.2756e+04       3.1701e-01        6.0050e-02        0.997           8.2
  14      2.4636e+04       3.2664e-01        2.2108e-02        0.995           8.7
  15      1.8528e+04       3.4021e-01       -6.0594e-03        0.999           9.2
  16      1.3935e+04       3.5410e-01       -3.1077e-02        0.999           9.7
  17      1.0481e+04       3.6909e-01       -4.8906e-02        0.999          10.2
  18      7.8825e+03       3.8439e-01       -6.4896e-02        0.999          10.7
  19      5.9284e+03       4.0227e-01       -8.0855e-02        1.000          11.2
  20      4.4587e+03       4.1780e-01       -9.3563e-02        0.999          11.7
  21      3.3534e+03       4.3888e-01       -1.1072e-01        1.000          12.2
  22      2.5221e+03       4.6049e-01       -1.2353e-01        0.999          12.7
  23      1.8968e+03       4.8534e-01       -1.3838e-01        0.999          13.2
  24      1.4266e+03       5.1091e-01       -1.5110e-01        1.000          13.7
  25      1.0730e+03       5.4393e-01       -1.5745e-01        1.000          14.2
  26      8.0697e+02       5.7434e-01       -1.6668e-01        1.000          14.7
  27      6.0692e+02       6.1119e-01       -1.6333e-01        0.999          15.3
  28      4.5646e+02       6.4965e-01       -1.8781e-01        0.997          15.8
  29      3.4330e+02       6.7704e-01       -1.8423e-01        0.998          16.3
  30      2.5820e+02       7.0563e-01       -1.9944e-01        0.993          16.9
  31      1.9419e+02       7.8583e-01       -2.1352e-01        0.994          17.4
  32      1.4605e+02       7.8087e-01       -1.9576e-01        0.993          18.2
  33      1.0984e+02       8.9164e-01       -2.0313e-01        0.968          19.0
  34      8.2613e+01       8.8880e-01       -1.7439e-01        0.989          19.6
  35      6.2284e+01       8.2181e-01       -1.4577e-01        0.989          20.6
  36      4.6035e+01       8.6522e-01       -1.2896e-01        0.997          23.2
  37      3.3236e+01       9.6115e-01       -2.9320e-01        0.983          26.9
  38      2.3330e+01       1.0642e+00       -1.8123e-01        0.965          29.4
  39      1.5823e+01       1.0244e+00       -1.5929e-01        0.967          31.8
  40      1.0281e+01       1.0682e+00       -1.9502e-01        0.964          34.5
  41      6.3213e+00       1.4232e+00        9.7000e-02        0.937          37.5
  42      3.6136e+00       1.1432e+00        2.0359e-02        0.971          41.7
  43      1.8700e+00       1.1674e+00       -2.7328e-01        0.987          49.2
  44      8.4267e-01       1.0412e+00        1.7874e-02        0.953          63.9
  45      3.1623e-01       1.0314e+00       -6.6414e-02        0.985          86.8
  46      1.0000e-01       9.8659e-01       -1.4740e-01        0.960         135.3

