File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  19:19:42-19:20:42
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   55
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.755      4.629e-03
2             1.1       0.760      7.975e-03
3             2.1       0.770      8.269e-03
4             3.7       0.786      3.274e-02
5             4.7       0.796      4.630e-02
6             5.7       0.806      5.596e-02
7             6.7       0.816      6.356e-02
8             7.7       0.826      6.275e-02
9             8.7       0.836      7.485e-02
10            9.7       0.846      9.712e-02
11           10.7       0.856      9.949e-02
12           11.7       0.866      1.230e-01
13           12.7       0.876      1.299e-01
14           13.7       0.886      1.546e-01
15           14.7       0.896      1.614e-01
16           15.7       0.906      1.775e-01
17           16.7       0.916      1.855e-01
18           17.7       0.926      2.020e-01
19           18.7       0.936      2.344e-01
20           19.7       0.946      2.398e-01
21           20.7       0.956      2.492e-01
22           21.7       0.966      2.736e-01
23           22.7       0.976      3.004e-01
24           23.7       0.986      2.996e-01
25           24.7       0.996      3.240e-01
26           25.7       1.006      3.407e-01
27           26.7       1.016      3.632e-01
28           27.7       1.026      3.574e-01
29           28.7       1.036      3.771e-01
30           29.7       1.046      4.013e-01
31           30.7       1.056      4.314e-01
32           31.7       1.066      4.558e-01
33           32.7       1.076      4.575e-01
34           33.7       1.086      4.916e-01
35           34.7       1.096      5.221e-01
36           35.7       1.106      5.011e-01
37           36.7       1.116      5.297e-01
38           37.7       1.126      5.413e-01
39           38.7       1.136      5.715e-01
40           39.7       1.146      6.013e-01
41           40.7       1.156      6.152e-01
42           41.7       1.166      6.258e-01
43           42.7       1.176      6.428e-01
44           43.7       1.186      6.659e-01
45           44.7       1.196      6.824e-01
46           45.7       1.206      7.132e-01
47           46.7       1.216      7.506e-01
48           47.7       1.226      7.782e-01
49           48.7       1.236      7.793e-01
50           49.7       1.246      8.616e-01
51           50.7       1.256      8.885e-01
52           51.7       1.266      9.067e-01
53           52.7       1.276      9.424e-01
54           53.7       1.286      9.770e-01
55           55.6       1.296      9.786e-01

