File.......:   - MAY,04.2017

System.....:  
Potential..:  0.909V
Current....:  -954.8uA
Temperature:  unknown
Time.......:  18:02:17 - 18:04:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -4.2629e-01        4.6077e+00        0.946           0.0
   2      7.5210e+05      -1.9698e-01        3.2310e+00        0.877           1.4
   3      5.6565e+05      -4.1733e-01        1.9915e+00        0.967           2.0
   4      4.2542e+05       3.5588e-01        1.5535e+00        0.944           3.1
   5      3.1996e+05       2.4501e-01        1.1476e+00        0.982           4.2
   6      2.4064e+05       1.8948e-01        8.0240e-01        0.980           4.8
   7      1.8099e+05       1.3367e-01        5.7145e-01        0.975           5.3
   8      1.3612e+05       9.2930e-02        4.6053e-01        0.996           5.8
   9      1.0237e+05       1.8926e-01        3.6367e-01        0.989           6.3
  10      7.6996e+04       1.8626e-01        2.8705e-01        0.999           6.8
  11      5.7908e+04       1.8685e-01        2.0682e-01        0.992           7.3
  12      4.3553e+04       1.9348e-01        1.4540e-01        0.998           7.8
  13      3.2756e+04       1.9386e-01        9.5019e-02        0.997           8.3
  14      2.4636e+04       2.0682e-01        6.0007e-02        0.999           8.9
  15      1.8528e+04       2.1343e-01        3.1462e-02        0.995           9.3
  16      1.3935e+04       2.2062e-01        8.0878e-03        1.000           9.8
  17      1.0481e+04       2.2858e-01       -1.0892e-02        0.999          10.3
  18      7.8825e+03       2.3721e-01       -2.7326e-02        0.999          10.8
  19      5.9284e+03       2.4657e-01       -4.2000e-02        0.999          11.3
  20      4.4587e+03       2.5789e-01       -5.6268e-02        1.000          11.8
  21      3.3534e+03       2.7024e-01       -7.1369e-02        1.000          12.3
  22      2.5221e+03       2.8691e-01       -8.3777e-02        0.999          12.8
  23      1.8968e+03       3.0456e-01       -9.8871e-02        0.999          13.3
  24      1.4266e+03       3.2477e-01       -1.0834e-01        0.999          13.8
  25      1.0730e+03       3.4960e-01       -1.1523e-01        0.998          14.3
  26      8.0697e+02       3.7880e-01       -1.2435e-01        0.998          14.8
  27      6.0692e+02       3.9313e-01       -1.2970e-01        0.999          15.3
  28      4.5646e+02       4.2514e-01       -1.3562e-01        0.999          15.8
  29      3.4330e+02       4.6378e-01       -1.4147e-01        0.998          16.2
  30      2.5820e+02       4.7212e-01       -1.3537e-01        0.995          16.7
  31      1.9419e+02       4.9315e-01       -1.1993e-01        0.992          17.2
  32      1.4605e+02       5.5407e-01       -1.4690e-01        0.994          17.7
  33      1.0984e+02       5.4684e-01       -2.1006e-01        0.990          18.3
  34      8.2613e+01       5.8545e-01       -7.4815e-02        0.994          19.0
  35      6.2284e+01       6.1573e-01       -1.4794e-01        0.997          19.6
  36      4.6035e+01       7.4239e-01       -1.1355e-01        0.972          21.1
  37      3.3236e+01       6.5605e-01       -1.3025e-01        0.962          23.0
  38      2.3330e+01       7.0291e-01       -6.4023e-02        0.975          24.6
  39      1.5823e+01       7.2763e-01       -2.1308e-02        0.989          26.4
  40      1.0281e+01       9.1846e-01       -1.0076e-01        0.979          28.7
  41      6.3213e+00       7.6052e-01       -6.3464e-02        0.973          31.6
  42      3.6136e+00       7.8000e-01       -5.9138e-02        0.983          35.8
  43      1.8700e+00       7.6711e-01       -1.5834e-01        0.989          43.3
  44      8.4267e-01       1.0169e+00        1.4418e-01        0.941          54.8
  45      3.1623e-01       6.4075e-01        6.0109e-02        0.974          77.6
  46      1.0000e-01       5.9372e-01        1.4544e-01        0.949         126.2

