File............:   - APR,28.2017

System..........:  
Temperature.....:  unknown
Time............:  16:11:38-16:15:26
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   224
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.225      1.234e-03
2             1.1       1.220      1.126e-03
3             2.1       1.210      1.016e-03
4             3.1       1.200      8.954e-04
5             4.1       1.190      7.738e-04
6             5.1       1.180      6.503e-04
7             6.1       1.170      5.287e-04
8             7.1       1.160      4.023e-04
9             8.1       1.150      2.781e-04
10            9.1       1.140      1.486e-04
11           10.1       1.125      1.886e-05
12           11.4       1.120     -1.043e-04
13           12.4       1.110     -2.358e-04
14           14.2       1.092     -4.700e-04
15           15.2       1.082     -6.055e-04
16           16.2       1.072     -7.427e-04
17           17.2       1.062     -8.787e-04
18           18.2       1.052     -1.020e-03
19           19.2       1.042     -1.156e-03
20           20.2       1.032     -1.295e-03
21           21.2       1.022     -1.437e-03
22           22.2       1.012     -1.579e-03
23           23.2       1.002     -1.724e-03
24           24.2       0.992     -1.868e-03
25           25.2       0.982     -2.016e-03
26           26.2       0.972     -2.164e-03
27           27.2       0.962     -2.314e-03
28           28.2       0.952     -2.461e-03
29           29.2       0.942     -2.612e-03
30           30.2       0.932     -2.764e-03
31           31.2       0.922     -2.915e-03
32           32.2       0.912     -3.070e-03
33           33.2       0.902     -3.226e-03
34           34.2       0.892     -3.382e-03
35           35.2       0.882     -3.539e-03
36           36.2       0.872     -3.695e-03
37           37.2       0.862     -3.855e-03
38           38.2       0.852     -4.014e-03
39           39.2       0.842     -4.136e-03
40           40.2       0.832     -4.323e-03
41           41.2       0.822     -4.488e-03
42           42.2       0.812     -4.651e-03
43           43.2       0.802     -4.817e-03
44           44.2       0.792     -4.981e-03
45           45.2       0.782     -5.148e-03
46           46.2       0.772     -5.317e-03
47           47.2       0.762     -5.483e-03
48           48.2       0.752     -5.656e-03
49           49.2       0.742     -5.829e-03
50           50.2       0.732     -6.012e-03
51           51.2       0.722     -6.196e-03
52           52.2       0.712     -6.382e-03
53           53.2       0.702     -6.572e-03
54           54.2       0.692     -6.763e-03
55           55.2       0.682     -6.961e-03
56           56.2       0.672     -7.156e-03
57           57.2       0.662     -7.350e-03
58           58.2       0.652     -7.543e-03
59           59.2       0.642     -7.734e-03
60           60.2       0.632     -7.927e-03
61           61.2       0.622     -8.115e-03
62           62.2       0.612     -8.305e-03
63           63.2       0.602     -8.493e-03
64           64.2       0.592     -8.686e-03
65           65.2       0.582     -8.878e-03
66           66.2       0.572     -9.070e-03
67           67.2       0.562     -9.265e-03
68           68.2       0.552     -9.463e-03
69           69.2       0.542     -9.665e-03
70           70.2       0.532     -9.866e-03
71           71.2       0.522     -1.007e-02
72           72.2       0.512     -1.027e-02
73           73.2       0.502     -1.049e-02
74           74.2       0.492     -1.070e-02
75           75.2       0.482     -1.092e-02
76           76.2       0.472     -1.114e-02
77           77.2       0.462     -1.136e-02
78           78.2       0.452     -1.158e-02
79           79.2       0.442     -1.181e-02
80           80.2       0.432     -1.203e-02
81           81.2       0.422     -1.225e-02
82           82.2       0.412     -1.248e-02
83           83.2       0.402     -1.270e-02
84           84.2       0.392     -1.292e-02
85           85.2       0.382     -1.315e-02
86           86.2       0.372     -1.337e-02
87           87.2       0.362     -1.360e-02
88           88.2       0.352     -1.383e-02
89           89.2       0.342     -1.405e-02
90           90.2       0.332     -1.429e-02
91           91.2       0.322     -1.451e-02
92           92.2       0.312     -1.474e-02
93           93.2       0.302     -1.497e-02
94           94.2       0.292     -1.520e-02
95           95.2       0.282     -1.543e-02
96           96.2       0.272     -1.567e-02
97           97.2       0.262     -1.591e-02
98           98.2       0.252     -1.614e-02
99           99.2       0.242     -1.638e-02
100         100.2       0.232     -1.662e-02
101         101.2       0.222     -1.686e-02
102         102.2       0.212     -1.710e-02
103         103.2       0.202     -1.735e-02
104         104.2       0.192     -1.759e-02
105         105.2       0.182     -1.784e-02
106         106.2       0.172     -1.807e-02
107         107.2       0.162     -1.831e-02
108         108.2       0.152     -1.856e-02
109         109.2       0.142     -1.879e-02
110         110.2       0.132     -1.903e-02
111         111.2       0.122     -1.926e-02
112         112.2       0.112     -1.950e-02
113         113.2       0.102     -1.974e-02
114         114.2       0.092     -1.997e-02
115         115.2       0.082     -2.020e-02
116         116.2       0.072     -2.044e-02
117         117.2       0.062     -2.068e-02
118         118.2       0.052     -2.092e-02
119         119.2       0.042     -2.116e-02
120         120.2       0.032     -2.140e-02
121         121.2       0.022     -2.163e-02
122         122.2       0.012     -2.187e-02
123         123.2       0.002     -2.210e-02
124         124.2      -0.008     -2.234e-02
125         125.2      -0.018     -2.258e-02
126         126.2      -0.028     -2.282e-02
127         127.2      -0.038     -2.305e-02
128         128.2      -0.048     -2.330e-02
129         129.2      -0.058     -2.355e-02
130         130.2      -0.068     -2.379e-02
131         131.2      -0.078     -2.401e-02
132         132.2      -0.088     -2.427e-02
133         133.2      -0.098     -2.452e-02
134         134.2      -0.108     -2.477e-02
135         135.2      -0.118     -2.502e-02
136         136.2      -0.128     -2.527e-02
137         137.2      -0.138     -2.552e-02
138         138.2      -0.148     -2.577e-02
139         139.2      -0.158     -2.602e-02
140         140.2      -0.168     -2.627e-02
141         141.2      -0.178     -2.653e-02
142         142.2      -0.188     -2.678e-02
143         143.2      -0.198     -2.704e-02
144         144.2      -0.208     -2.730e-02
145         145.2      -0.218     -2.758e-02
146         146.2      -0.228     -2.784e-02
147         147.2      -0.238     -2.811e-02
148         148.2      -0.248     -2.838e-02
149         149.2      -0.258     -2.867e-02
150         150.2      -0.268     -2.896e-02
151         151.2      -0.278     -2.924e-02
152         152.2      -0.288     -2.953e-02
153         153.2      -0.298     -2.983e-02
154         154.2      -0.308     -3.013e-02
155         155.2      -0.318     -3.042e-02
156         156.2      -0.328     -3.072e-02
157         157.2      -0.338     -3.102e-02
158         158.2      -0.348     -3.131e-02
159         159.2      -0.358     -3.160e-02
160         160.2      -0.368     -3.191e-02
161         161.2      -0.378     -3.223e-02
162         162.2      -0.388     -3.254e-02
163         163.2      -0.398     -3.283e-02
164         164.2      -0.408     -3.315e-02
165         165.2      -0.418     -3.348e-02
166         166.2      -0.428     -3.380e-02
167         167.2      -0.438     -3.411e-02
168         168.2      -0.448     -3.444e-02
169         169.2      -0.458     -3.476e-02
170         170.2      -0.468     -3.508e-02
171         171.2      -0.478     -3.539e-02
172         172.2      -0.488     -3.573e-02
