File.......:   - APR,28.2017

System.....:  
Potential..:  1.113V
Current....:  -113.15uA
Temperature:  unknown
Time.......:  16:06:43 - 16:08:22
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6358e+01        6.7707e+00        0.998           0.0
   2      7.9499e+05       1.5431e+01        5.4964e+00        0.999           1.1
   3      6.3201e+05       1.4829e+01        4.2834e+00        0.998           1.5
   4      5.0244e+05       1.4479e+01        3.1866e+00        0.999           2.0
   5      3.9943e+05       1.4232e+01        2.1538e+00        0.999           2.7
   6      3.1754e+05       1.4195e+01        1.2757e+00        1.000           3.3
   7      2.5244e+05       1.4257e+01        5.0692e-01        1.000           3.7
   8      2.0069e+05       1.4399e+01       -1.7186e-01        1.000           4.1
   9      1.5955e+05       1.4599e+01       -7.7377e-01        1.000           4.5
  10      1.2684e+05       1.4848e+01       -1.3151e+00        1.000           4.9
  11      1.0083e+05       1.5145e+01       -1.8148e+00        1.000           5.3
  12      8.0162e+04       1.5488e+01       -2.3015e+00        1.000           5.7
  13      6.3727e+04       1.5858e+01       -2.7733e+00        1.000           6.1
  14      5.0663e+04       1.6284e+01       -3.2402e+00        1.000           6.5
  15      4.0276e+04       1.6757e+01       -3.7243e+00        1.000           6.9
  16      3.2019e+04       1.7279e+01       -4.2099e+00        1.000           7.4
  17      2.5455e+04       1.7866e+01       -4.7161e+00        1.000           7.8
  18      2.0236e+04       1.8504e+01       -5.2327e+00        1.000           8.1
  19      1.6088e+04       1.9203e+01       -5.7682e+00        1.000           8.6
  20      1.2789e+04       1.9958e+01       -6.3512e+00        0.999           9.0
  21      1.0167e+04       2.0787e+01       -6.9236e+00        0.999           9.3
  22      8.0830e+03       2.1684e+01       -7.5238e+00        0.998           9.7
  23      6.4259e+03       2.2697e+01       -8.1708e+00        0.999          10.1
  24      5.1085e+03       2.3739e+01       -8.8490e+00        0.998          10.5
  25      4.0612e+03       2.4875e+01       -9.5817e+00        0.999          10.9
  26      3.2286e+03       2.6086e+01       -1.0470e+01        0.998          11.3
  27      2.5667e+03       2.7504e+01       -1.1293e+01        0.998          11.7
  28      2.0405e+03       2.9102e+01       -1.2142e+01        0.998          12.1
  29      1.6222e+03       3.0878e+01       -1.3102e+01        0.997          12.5
  30      1.2896e+03       3.2927e+01       -1.3854e+01        0.995          12.8
  31      1.0252e+03       3.5193e+01       -1.4459e+01        0.989          13.2
  32      8.1504e+02       3.7625e+01       -1.4903e+01        0.986          13.6
  33      6.4794e+02       4.0197e+01       -1.5010e+01        0.984          14.0
  34      5.1511e+02       4.2787e+01       -1.4820e+01        0.981          14.4
  35      4.0950e+02       4.5421e+01       -1.4329e+01        0.976          14.8
  36      3.2555e+02       4.7710e+01       -1.3576e+01        0.971          15.2
  37      2.5881e+02       4.9755e+01       -1.2680e+01        0.969          15.6
  38      2.0575e+02       5.1494e+01       -1.1788e+01        0.966          16.0
  39      1.6357e+02       5.3106e+01       -1.0735e+01        0.962          16.3
  40      1.3004e+02       5.4437e+01       -9.7253e+00        0.959          16.7
  41      1.0338e+02       5.5705e+01       -8.7713e+00        0.957          17.2
  42      8.2183e+01       5.6604e+01       -7.9280e+00        0.955          17.6
  43      6.5630e+01       5.7444e+01       -7.1999e+00        0.953          18.2
  44      5.1793e+01       5.8549e+01       -6.5317e+00        0.953          19.5
  45      4.0333e+01       5.9235e+01       -5.9033e+00        0.951          21.2
  46      3.0941e+01       5.9959e+01       -5.3563e+00        0.949          22.6
  47      2.3336e+01       6.0812e+01       -4.9234e+00        0.950          24.1
  48      1.7264e+01       6.1402e+01       -4.5269e+00        0.948          25.8
  49      1.2492e+01       6.2075e+01       -4.2157e+00        0.950          27.7
  50      8.8124e+00       6.2838e+01       -3.9985e+00        0.948          30.0
  51      6.0391e+00       6.4362e+01       -3.8956e+00        0.950          32.9
  52      4.0045e+00       6.5214e+01       -3.7936e+00        0.948          36.6
  53      2.5599e+00       6.6289e+01       -3.7520e+00        0.950          41.4
  54      1.5737e+00       6.8371e+01       -3.5281e+00        0.951          48.9
  55      9.3109e-01       6.9679e+01       -3.1638e+00        0.952          58.5
  56      5.3348e-01       7.0836e+01       -2.6658e+00        0.951          71.7
  57      3.0000e-01       7.2588e+01       -2.1202e+00        0.953          90.4

