File.......:   - MAY,06.2017

System.....:  
Potential..:  1.182V
Current....:  35.868uA
Temperature:  unknown
Time.......:  14:43:12 - 14:45:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.2561e+01        4.1656e+00        0.999           0.0
   2      7.5210e+05       4.2963e+01        2.5605e+00        0.999           1.3
   3      5.6565e+05       4.4245e+01        1.5758e+00        0.999           1.8
   4      4.2542e+05       4.2390e+01        7.8205e-01        0.999           2.5
   5      3.1996e+05       4.3186e+01       -2.4920e-01        0.999           3.5
   6      2.4064e+05       4.5061e+01       -3.5184e-01        0.999           4.0
   7      1.8099e+05       4.3918e+01       -1.1375e+00        0.998           5.1
   8      1.3612e+05       4.5485e+01       -1.6351e+00        0.999           6.1
   9      1.0237e+05       4.4107e+01       -1.9296e+00        0.999           7.2
  10      7.6996e+04       4.5351e+01       -2.5207e+00        1.000           8.2
  11      5.7908e+04       4.9152e+01       -2.9111e+00        1.000           8.7
  12      4.3553e+04       4.4842e+01       -3.5157e+00        1.000           9.2
  13      3.2756e+04       4.5673e+01       -3.8794e+00        1.000           9.7
  14      2.4636e+04       4.6732e+01       -4.5230e+00        1.000          10.2
  15      1.8528e+04       4.8018e+01       -5.0399e+00        1.000          10.7
  16      1.3935e+04       5.0718e+01       -5.7761e+00        1.000          11.1
  17      1.0481e+04       4.8989e+01       -6.4659e+00        1.000          11.7
  18      7.8825e+03       5.0183e+01       -7.2107e+00        1.000          12.2
  19      5.9284e+03       5.1765e+01       -7.9277e+00        1.000          12.7
  20      4.4587e+03       5.3673e+01       -8.7671e+00        1.000          13.3
  21      3.3534e+03       5.6285e+01       -9.8188e+00        1.000          13.8
  22      2.5221e+03       5.6102e+01       -1.0679e+01        1.000          14.5
  23      1.8968e+03       5.8206e+01       -1.1792e+01        1.000          15.3
  24      1.4266e+03       6.0563e+01       -1.2709e+01        1.000          15.8
  25      1.0730e+03       6.3305e+01       -1.3743e+01        1.000          16.3
  26      8.0697e+02       6.7011e+01       -1.4922e+01        1.000          16.8
  27      6.0692e+02       6.7553e+01       -1.6133e+01        1.000          17.9
  28      4.5646e+02       7.0730e+01       -1.7355e+01        1.000          19.0
  29      3.4330e+02       7.4269e+01       -1.8779e+01        1.000          19.5
  30      2.5820e+02       7.9986e+01       -2.0398e+01        1.000          20.0
  31      1.9419e+02       8.0329e+01       -2.2183e+01        1.000          21.0
  32      1.4605e+02       8.4536e+01       -2.3960e+01        1.000          22.1
  33      1.0984e+02       8.9167e+01       -2.5686e+01        1.000          22.6
  34      8.2613e+01       9.4429e+01       -2.7582e+01        1.000          23.2
  35      6.2284e+01       5.5927e+02       -1.7090e+02        0.984          23.9
  36      4.6035e+01       1.0565e+02       -3.2453e+01        1.000          25.4
  37      3.3236e+01       1.5426e+02       -4.4100e+01        0.993          27.3
  38      2.3330e+01       1.2092e+02       -3.8572e+01        1.000          28.9
  39      1.5823e+01       2.0882e+02       -4.2402e+01        0.965          30.7
  40      1.0281e+01       1.4515e+02       -4.4793e+01        1.000          33.0
  41      6.3213e+00       1.6122e+02       -4.6262e+01        0.999          35.9
  42      3.6136e+00       1.7937e+02       -4.4608e+01        0.999          40.1
  43      1.8700e+00       2.1313e+02       -6.1459e+01        0.978          47.6
  44      8.4267e-01       3.1873e+02       -8.3553e+01        0.925          59.1
  45      3.1623e-01       2.6264e+02       -1.6451e+01        0.963          81.9
  46      1.0000e-01       3.8331e+02        1.9509e+02        0.697         130.4

