File.......:   - MAY,06.2017

System.....:  
Potential..:  1.169V
Current....:  84.132nA
Temperature:  unknown
Time.......:  14:34:04 - 14:37:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -7.3644e+02       -3.5412e+03        0.985           0.0
   2      7.5210e+05      -8.1258e+02       -4.7327e+03        0.962           1.5
   3      5.6565e+05       4.2095e+01       -7.1523e+03        0.977           2.0
   4      4.2542e+05      -2.4402e+04        1.7204e+04        0.666           2.8
   5      3.1996e+05       1.1746e+03       -8.8437e+03        0.838           4.1
   6      2.4064e+05       3.7695e+02       -1.3367e+04        0.894           4.8
   7      1.8099e+05       1.2725e+04       -1.3040e+04        0.692           5.6
   8      1.3612e+05       4.5672e+01       -1.6705e+00        0.999           6.9
   9      1.0237e+05       4.6127e+01       -2.0271e+00        0.999           7.9
  10      7.6996e+04       4.6852e+01       -2.3259e+00        1.000           8.4
  11      5.7908e+04       4.7504e+01       -2.9511e+00        1.000           8.9
  12      4.3553e+04       4.8492e+01       -3.4330e+00        1.000           9.3
  13      3.2756e+04       4.9849e+01       -3.9547e+00        0.999           9.8
  14      2.4636e+04       5.1287e+01       -4.5323e+00        1.000          10.3
  15      1.8528e+04       5.3429e+01       -5.0475e+00        0.999          10.8
  16      1.3935e+04       5.8411e+01       -5.8660e+00        1.000          11.3
  17      1.0481e+04       1.2304e+05       -9.2236e+04        0.880          12.4
  18      7.8825e+03       1.9224e+05       -6.6177e+03        0.320          13.6
  19      5.9284e+03       2.8626e+05       -3.9418e+04        0.768          14.1
  20      4.4587e+03       1.2488e+05       -3.7747e+05        0.665          14.9
  21      3.3534e+03      -6.6060e+05       -1.6256e+05        0.688          16.1
  22      2.5221e+03       3.7776e+05       -2.0335e+05        0.926          17.0
  23      1.8968e+03      -4.7114e+02       -1.6279e+05        0.820          18.3
  24      1.4266e+03       4.5394e+05       -1.6046e+05        0.785          19.9
  25      1.0730e+03       4.4540e+05       -2.0186e+05        0.911          20.7
  26      8.0697e+02       5.7348e+05        3.4343e+05        0.891          21.5
  27      6.0692e+02       6.0621e+05       -4.5919e+04        0.735          22.4
  28      4.5646e+02       1.0563e+03       -2.2063e+04        0.880          23.1
  29      3.4330e+02       6.3227e+05       -3.3096e+05        0.843          24.2
  30      2.5820e+02       5.6841e+05       -3.5265e+05        0.870          25.0
  31      1.9419e+02       1.9800e+06        1.4856e+05        0.549          25.6
  32      1.4605e+02      -3.5880e+03        7.5008e+03        0.916          26.9
  33      1.0984e+02       7.1536e+05        3.8477e+05        0.767          28.7
  34      8.2613e+01       4.7157e+05       -3.4055e+06        0.411          30.1
  35      6.2284e+01       4.5817e+05        2.9037e+05        0.929          31.3
  36      4.6035e+01      -5.7538e+04        8.1558e+04        0.933          34.1
  37      3.3236e+01       1.1665e+05        3.0392e+04        0.773          37.5
  38      2.3330e+01       3.8419e+05       -2.9451e+05        0.409          40.1
  39      1.5823e+01      -7.2623e+05       -1.2179e+06        0.112          43.0
  40      1.0281e+01       1.7277e+06        6.6924e+05        0.020          46.9
  41      6.3213e+00       7.4787e+04       -9.8344e+04        0.406          51.0
  42      3.6136e+00      -2.1585e+05       -3.4062e+03        0.595          56.8
  43      1.8700e+00       1.4837e+05       -1.1630e+05        0.749          71.7
  44      8.4267e-01       1.4188e+05       -8.1595e+04        0.687          89.7
  45      3.1623e-01      -5.6358e+05        5.0743e+04        0.630         125.4
  46      1.0000e-01      -9.8692e+05       -1.0739e+06        0.274         173.9

