File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  15:13:01-15:14:15
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   68
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.020     -5.623e-06
2             1.9       1.033      7.039e-05
3             2.9       1.043      1.235e-04
4             3.9       1.053      1.714e-04
5             4.9       1.063      2.227e-04
6             5.9       1.073      2.785e-04
7             6.9       1.083      3.261e-04
8             8.9       1.103      4.317e-04
9             9.9       1.113      4.833e-04
10           10.9       1.123      5.402e-04
11           11.9       1.133      5.944e-04
12           12.9       1.143      6.449e-04
13           13.9       1.153      7.021e-04
14           14.9       1.163      7.566e-04
15           15.9       1.173      8.112e-04
16           16.9       1.183      8.659e-04
17           17.9       1.193      9.244e-04
18           18.9       1.203      9.799e-04
19           19.9       1.213      1.036e-03
20           20.9       1.223      1.098e-03
21           21.9       1.233      1.151e-03
22           22.9       1.243      1.210e-03
23           23.9       1.253      1.269e-03
24           24.9       1.263      1.329e-03
25           25.9       1.273      1.388e-03
26           26.9       1.283      1.452e-03
27           27.9       1.293      1.510e-03
28           28.9       1.303      1.573e-03
29           29.9       1.313      1.634e-03
30           30.9       1.323      1.699e-03
31           31.9       1.333      1.761e-03
32           32.9       1.343      1.825e-03
33           33.9       1.353      1.891e-03
34           34.9       1.363      1.951e-03
35           35.9       1.373      2.019e-03
36           36.9       1.383      2.085e-03
37           37.9       1.393      2.153e-03
38           38.9       1.403      2.224e-03
39           39.9       1.413      2.289e-03
40           40.9       1.423      2.359e-03
41           41.9       1.433      2.435e-03
42           42.9       1.443      2.505e-03
43           43.9       1.453      2.578e-03
44           44.9       1.463      2.658e-03
45           45.9       1.473      2.731e-03
46           46.9       1.483      2.811e-03
47           47.9       1.493      2.887e-03
48           48.9       1.503      2.972e-03
49           49.9       1.513      3.047e-03
50           50.9       1.523      3.131e-03
51           51.9       1.533      3.213e-03
52           52.9       1.543      3.300e-03
53           53.9       1.553      3.386e-03
54           54.9       1.563      3.470e-03
55           55.9       1.573      3.560e-03
56           56.9       1.583      3.652e-03
57           57.9       1.593      3.742e-03
58           58.9       1.603      3.835e-03
59           59.9       1.613      3.929e-03
60           60.9       1.623      4.025e-03
61           61.9       1.633      4.057e-03
62           62.9       1.643      4.205e-03
63           63.9       1.653      4.302e-03
64           64.9       1.663      4.408e-03
65           65.9       1.673      4.510e-03
66           66.9       1.683      4.619e-03
67           67.9       1.693      4.723e-03
68           69.1       1.699      4.803e-03

