File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  13:32:24-13:34:05
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   97
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.148      7.870e-07
2             1.7       1.137     -8.178e-05
3             2.6       1.127     -1.672e-04
4             3.6       1.117     -2.385e-04
5             4.6       1.107     -3.134e-04
6             6.4       1.090     -4.464e-04
7             7.4       1.080     -5.280e-04
8             8.4       1.070     -6.046e-04
9             9.4       1.060     -6.797e-04
10           10.4       1.050     -7.533e-04
11           11.4       1.040     -8.298e-04
12           12.4       1.030     -9.057e-04
13           13.4       1.020     -9.816e-04
14           14.4       1.010     -1.058e-03
15           15.4       1.000     -1.133e-03
16           16.4       0.990     -1.209e-03
17           17.4       0.980     -1.285e-03
18           18.4       0.970     -1.366e-03
19           19.4       0.960     -1.445e-03
20           20.4       0.950     -1.521e-03
21           21.4       0.940     -1.598e-03
22           22.4       0.930     -1.676e-03
23           23.4       0.920     -1.757e-03
24           24.4       0.910     -1.838e-03
25           25.4       0.900     -1.920e-03
26           26.4       0.890     -2.002e-03
27           27.4       0.880     -2.085e-03
28           28.4       0.870     -2.170e-03
29           29.4       0.860     -2.256e-03
30           30.4       0.850     -2.343e-03
31           31.4       0.840     -2.431e-03
32           32.4       0.830     -2.520e-03
33           33.4       0.820     -2.611e-03
34           34.4       0.810     -2.703e-03
35           35.4       0.800     -2.796e-03
36           36.4       0.790     -2.891e-03
37           37.4       0.780     -2.987e-03
38           38.4       0.770     -3.084e-03
39           39.4       0.760     -3.183e-03
40           40.4       0.750     -3.283e-03
41           41.4       0.740     -3.386e-03
42           42.4       0.730     -3.490e-03
43           43.4       0.720     -3.594e-03
44           44.4       0.710     -3.700e-03
45           45.4       0.700     -3.808e-03
46           46.4       0.690     -3.917e-03
47           47.4       0.680     -4.027e-03
48           48.4       0.670     -4.100e-03
49           49.4       0.660     -4.237e-03
50           50.4       0.650     -4.351e-03
51           51.4       0.640     -4.467e-03
52           52.4       0.630     -4.586e-03
53           53.4       0.620     -4.707e-03
54           54.4       0.610     -4.828e-03
55           55.4       0.600     -4.952e-03
56           56.4       0.590     -5.077e-03
57           57.4       0.580     -5.204e-03
58           58.4       0.570     -5.332e-03
59           59.4       0.560     -5.463e-03
60           60.4       0.550     -5.593e-03
61           61.4       0.540     -5.727e-03
62           62.4       0.530     -5.859e-03
63           63.4       0.520     -5.994e-03
64           64.4       0.509     -6.129e-03
65           65.9       0.502     -6.248e-03
66           67.2       0.495     -6.293e-03
67           68.2       0.485     -6.471e-03
68           69.2       0.475     -6.616e-03
69           70.2       0.465     -6.762e-03
70           71.2       0.455     -6.909e-03
71           72.2       0.445     -7.059e-03
72           73.2       0.435     -7.210e-03
73           74.2       0.425     -7.362e-03
74           75.2       0.415     -7.517e-03
75           76.2       0.405     -7.673e-03
76           77.2       0.395     -7.830e-03
77           78.2       0.385     -7.990e-03
78           79.2       0.375     -8.149e-03
79           80.2       0.365     -8.313e-03
80           81.2       0.355     -8.476e-03
81           82.2       0.345     -8.639e-03
82           83.2       0.335     -8.804e-03
83           84.2       0.325     -8.976e-03
84           85.2       0.315     -9.146e-03
85           86.2       0.305     -9.321e-03
86           87.2       0.300     -9.408e-03
87           88.4       0.295     -9.447e-03
88           89.4       0.285     -9.678e-03
89           90.4       0.275     -9.852e-03
90           91.4       0.265     -1.003e-02
91           92.4       0.255     -1.021e-02
92           93.4       0.245     -1.039e-02
93           94.4       0.235     -1.057e-02
94           95.4       0.225     -1.076e-02
95           96.4       0.215     -1.094e-02
96           97.4       0.205     -1.113e-02
97           98.4       0.200     -1.123e-02

