File.......:   - MAY,06.2017

System.....:  
Potential..:  1.145V
Current....:  -6.515uA
Temperature:  unknown
Time.......:  13:29:24 - 13:31:51
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.5355e+01        5.3354e+00        0.999           0.0
   2      7.5210e+05       2.5422e+01        3.6437e+00        0.999           1.3
   3      5.6565e+05       2.5564e+01        2.5145e+00        1.000           1.8
   4      4.2542e+05       2.5601e+01        1.4558e+00        0.998           2.5
   5      3.1996e+05       2.5780e+01        7.3366e-01        0.999           3.2
   6      2.4064e+05       2.5994e+01        9.8917e-02        1.000           3.7
   7      1.8099e+05       2.6154e+01       -3.5754e-01        0.999           4.2
   8      1.3612e+05       2.6362e+01       -7.8697e-01        0.999           4.7
   9      1.0237e+05       2.6663e+01       -1.2040e+00        1.000           5.2
  10      7.6996e+04       2.7001e+01       -1.5382e+00        1.000           5.7
  11      5.7908e+04       2.7313e+01       -1.9388e+00        1.000           6.1
  12      4.3553e+04       2.7729e+01       -2.3215e+00        1.000           6.6
  13      3.2756e+04       2.8136e+01       -2.6853e+00        1.000           7.1
  14      2.4636e+04       2.8700e+01       -3.0796e+00        1.000           7.6
  15      1.8528e+04       2.9245e+01       -3.4752e+00        0.999           8.1
  16      1.3935e+04       2.9865e+01       -3.9486e+00        1.000           8.6
  17      1.0481e+04       3.0580e+01       -4.3849e+00        1.000           9.1
  18      7.8825e+03       3.1369e+01       -4.8416e+00        1.000           9.6
  19      5.9284e+03       3.2265e+01       -5.3094e+00        1.000          10.1
  20      4.4587e+03       3.3227e+01       -5.8181e+00        1.000          10.6
  21      3.3534e+03       3.4247e+01       -6.4614e+00        1.000          11.1
  22      2.5221e+03       3.5403e+01       -7.0035e+00        1.000          11.6
  23      1.8968e+03       3.6595e+01       -7.7155e+00        1.000          12.1
  24      1.4266e+03       3.7963e+01       -8.3014e+00        1.000          12.5
  25      1.0730e+03       3.9431e+01       -8.9488e+00        1.000          13.0
  26      8.0697e+02       4.1020e+01       -9.7051e+00        1.000          13.5
  27      6.0692e+02       4.2771e+01       -1.0452e+01        1.000          14.0
  28      4.5646e+02       4.4698e+01       -1.1128e+01        1.000          14.5
  29      3.4330e+02       4.6745e+01       -1.1943e+01        1.000          14.9
  30      2.5820e+02       4.9001e+01       -1.2848e+01        1.000          15.5
  31      1.9419e+02       5.1371e+01       -1.3705e+01        1.000          16.0
  32      1.4605e+02       5.3841e+01       -1.4633e+01        1.000          16.4
  33      1.0984e+02       5.6584e+01       -1.5523e+01        1.000          17.0
  34      8.2613e+01       5.9449e+01       -1.6401e+01        1.000          17.5
  35      6.2284e+01       6.2630e+01       -1.7288e+01        1.000          18.2
  36      4.6035e+01       6.6708e+01       -1.8477e+01        1.000          19.7
  37      3.3236e+01       7.0712e+01       -1.9364e+01        1.000          22.0
  38      2.3330e+01       7.5839e+01       -2.0230e+01        0.994          24.0
  39      1.5823e+01       8.1517e+01       -2.0872e+01        0.998          25.8
  40      1.0281e+01       8.7975e+01       -2.0588e+01        0.999          28.1
  41      6.3213e+00       9.4985e+01       -1.9666e+01        0.999          31.0
  42      3.6136e+00       1.0228e+02       -1.8010e+01        1.000          35.3
  43      1.8700e+00       1.0912e+02       -1.5401e+01        1.000          42.7
  44      8.4267e-01       1.1676e+02       -1.2856e+01        1.000          54.2
  45      3.1623e-01       1.2354e+02       -8.3386e+00        1.000          77.0
  46      1.0000e-01       1.2690e+02       -5.2334e+00        0.998         125.5

