File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  20:25:26-20:26:25
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   54
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.717      3.599e-03
2             1.1       0.712      2.541e-03
3             2.1       0.702     -7.583e-03
4             3.1       0.692     -1.357e-02
5             4.1       0.682     -1.503e-02
6             5.1       0.672     -2.411e-02
7             6.1       0.662     -2.629e-02
8             7.1       0.652     -2.712e-02
9             9.1       0.632     -4.190e-02
10           10.1       0.623     -5.024e-02
11           11.1       0.613     -5.460e-02
12           12.1       0.603     -6.155e-02
13           13.1       0.593     -5.665e-02
14           14.1       0.583     -4.990e-02
15           15.1       0.573     -5.156e-02
16           16.1       0.563     -4.775e-02
17           17.1       0.553     -5.583e-02
18           18.1       0.543     -6.036e-02
19           19.1       0.533     -7.060e-02
20           20.1       0.523     -7.653e-02
21           21.1       0.513     -8.440e-02
22           22.8       0.504     -1.042e-01
23           24.1       0.495     -1.225e-01
24           25.1       0.485     -1.332e-01
25           26.1       0.475     -1.390e-01
26           27.1       0.465     -1.415e-01
27           28.1       0.455     -1.486e-01
28           29.1       0.445     -1.488e-01
29           30.1       0.435     -1.464e-01
30           31.1       0.425     -1.567e-01
31           32.1       0.415     -1.674e-01
32           33.1       0.405     -1.681e-01
33           34.1       0.395     -1.747e-01
34           35.1       0.385     -1.830e-01
35           36.1       0.375     -1.882e-01
36           37.1       0.365     -1.944e-01
37           38.1       0.355     -1.963e-01
38           39.1       0.345     -1.932e-01
39           40.1       0.335     -1.979e-01
40           41.1       0.325     -2.089e-01
41           42.1       0.315     -2.169e-01
42           43.1       0.305     -2.260e-01
43           44.1       0.300     -2.272e-01
44           45.3       0.295     -2.257e-01
45           46.3       0.285     -2.363e-01
46           47.3       0.275     -2.457e-01
47           48.3       0.265     -2.438e-01
48           49.3       0.255     -2.436e-01
49           50.3       0.245     -2.448e-01
50           51.3       0.235     -2.569e-01
51           52.3       0.225     -2.642e-01
52           53.3       0.215     -2.747e-01
53           54.3       0.205     -2.769e-01
54           55.3       0.200     -2.774e-01

