File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  20:40:58-20:42:07
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   66
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.649     -2.526e-02
2             1.1       0.654     -1.957e-02
3             2.1       0.664     -1.317e-02
4             3.1       0.674     -1.014e-02
5             4.1       0.684     -1.290e-03
6             5.1       0.694      1.051e-02
7             6.1       0.704      2.004e-02
8             7.1       0.714      2.018e-02
9             8.9       0.731      2.614e-02
10            9.9       0.741      3.024e-02
11           10.9       0.751      3.717e-02
12           11.9       0.761      3.846e-02
13           12.9       0.771      4.938e-02
14           13.9       0.781      5.300e-02
15           14.9       0.791      7.002e-02
16           15.9       0.801      7.896e-02
17           16.9       0.811      9.722e-02
18           17.9       0.821      1.007e-01
19           18.9       0.831      1.106e-01
20           19.9       0.841      1.150e-01
21           20.9       0.851      1.187e-01
22           21.9       0.861      1.211e-01
23           22.9       0.871      1.328e-01
24           23.9       0.881      1.413e-01
25           24.9       0.891      1.569e-01
26           25.9       0.901      1.632e-01
27           26.9       0.911      1.738e-01
28           27.9       0.921      1.866e-01
29           28.9       0.931      2.102e-01
30           29.9       0.941      2.230e-01
31           30.9       0.951      2.109e-01
32           31.9       0.961      2.440e-01
33           32.9       0.971      2.597e-01
34           33.9       0.981      2.658e-01
35           34.9       0.991      2.698e-01
36           35.9       1.001      2.836e-01
37           36.9       1.011      3.061e-01
38           37.9       1.021      3.194e-01
39           38.9       1.031      3.302e-01
40           39.9       1.041      3.536e-01
41           40.9       1.051      3.649e-01
42           41.9       1.061      3.903e-01
43           42.9       1.071      4.095e-01
44           43.9       1.081      4.244e-01
45           44.9       1.091      4.436e-01
46           45.9       1.101      4.806e-01
47           46.9       1.111      4.895e-01
48           47.9       1.121      4.959e-01
49           48.9       1.131      4.943e-01
50           49.9       1.141      5.219e-01
51           50.9       1.151      5.320e-01
52           51.9       1.161      5.524e-01
53           52.9       1.171      5.563e-01
54           53.9       1.181      5.978e-01
55           54.9       1.191      6.255e-01
56           55.9       1.201      6.307e-01
57           56.9       1.211      6.691e-01
58           57.9       1.221      7.063e-01
59           58.9       1.231      7.157e-01
60           59.9       1.241      7.702e-01
61           60.9       1.251      7.631e-01
62           61.9       1.261      8.304e-01
63           62.9       1.271      8.328e-01
64           63.9       1.281      8.447e-01
65           64.9       1.291      8.466e-01
66           66.3       1.298      9.113e-01

