File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  17:59:06-18:00:24
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   73
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.904      5.972e-03
2             1.1       0.900      3.032e-04
3             2.1       0.889     -1.570e-02
4             3.8       0.873     -4.234e-02
5             4.8       0.863     -5.874e-02
6             5.8       0.853     -7.729e-02
7             6.8       0.843     -9.404e-02
8             7.8       0.833     -1.042e-01
9             8.8       0.823     -1.181e-01
10            9.8       0.813     -1.299e-01
11           10.8       0.803     -1.455e-01
12           11.8       0.793     -1.604e-01
13           12.8       0.783     -1.752e-01
14           13.8       0.773     -1.899e-01
15           14.8       0.763     -2.016e-01
16           15.8       0.753     -2.139e-01
17           16.8       0.743     -2.269e-01
18           17.8       0.733     -2.423e-01
19           18.8       0.723     -2.546e-01
20           19.8       0.713     -2.691e-01
21           20.8       0.703     -2.837e-01
22           21.8       0.693     -2.917e-01
23           22.8       0.683     -2.996e-01
24           23.8       0.673     -3.145e-01
25           24.8       0.663     -3.270e-01
26           25.8       0.653     -3.384e-01
27           26.8       0.643     -3.521e-01
28           27.8       0.633     -3.628e-01
29           28.8       0.623     -3.749e-01
30           29.8       0.613     -3.867e-01
31           30.8       0.603     -3.968e-01
32           31.8       0.593     -4.069e-01
33           32.8       0.583     -4.210e-01
34           33.8       0.573     -4.314e-01
35           34.8       0.563     -4.438e-01
36           35.8       0.553     -4.553e-01
37           36.8       0.543     -4.672e-01
38           37.8       0.533     -4.786e-01
39           38.8       0.523     -4.886e-01
40           39.8       0.513     -4.977e-01
41           41.6       0.504     -5.080e-01
42           42.8       0.495     -5.170e-01
43           43.8       0.485     -5.300e-01
44           44.8       0.475     -5.425e-01
45           45.8       0.465     -5.520e-01
46           46.8       0.455     -5.658e-01
47           47.8       0.445     -5.772e-01
48           48.8       0.435     -5.866e-01
49           49.8       0.425     -5.996e-01
50           50.8       0.415     -6.137e-01
51           51.8       0.405     -6.285e-01
52           52.8       0.395     -6.420e-01
53           53.8       0.385     -6.506e-01
54           54.8       0.375     -6.672e-01
55           55.8       0.365     -6.814e-01
56           56.8       0.355     -6.922e-01
57           57.8       0.345     -7.057e-01
58           58.8       0.335     -7.205e-01
59           59.8       0.325     -7.355e-01
60           60.8       0.315     -7.490e-01
61           61.8       0.305     -7.650e-01
62           62.8       0.300     -7.755e-01
63           64.1       0.295     -7.711e-01
64           65.1       0.285     -7.938e-01
65           66.1       0.275     -8.078e-01
66           67.1       0.265     -8.164e-01
67           68.1       0.255     -8.345e-01
68           69.1       0.245     -8.507e-01
69           70.1       0.235     -8.707e-01
70           71.1       0.225     -8.920e-01
71           72.1       0.215     -9.104e-01
72           73.1       0.205     -9.285e-01
73           74.1       0.200     -9.412e-01

