File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  18:28:40-18:29:36
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   52
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.789     -3.310e-03
2             1.1       0.794      7.404e-05
3             2.8       0.811      3.011e-02
4             3.8       0.821      4.601e-02
5             4.8       0.831      6.345e-02
6             5.8       0.841      8.039e-02
7             6.8       0.851      9.251e-02
8             7.8       0.861      1.066e-01
9             8.8       0.871      1.265e-01
10            9.8       0.881      1.526e-01
11           10.8       0.891      1.670e-01
12           11.8       0.901      1.893e-01
13           12.8       0.911      2.046e-01
14           13.8       0.921      2.324e-01
15           14.8       0.931      2.563e-01
16           15.8       0.941      2.827e-01
17           16.8       0.951      3.025e-01
18           17.9       0.961      3.148e-01
19           18.9       0.971      3.404e-01
20           19.9       0.981      3.624e-01
21           20.9       0.991      3.871e-01
22           21.9       1.001      3.981e-01
23           22.9       1.011      4.173e-01
24           23.9       1.021      4.391e-01
25           24.9       1.031      4.558e-01
26           25.9       1.041      4.765e-01
27           26.9       1.051      5.025e-01
28           27.9       1.061      5.328e-01
29           28.9       1.071      5.637e-01
30           29.9       1.081      5.749e-01
31           30.9       1.091      6.085e-01
32           31.9       1.101      6.368e-01
33           32.9       1.111      6.540e-01
34           33.9       1.121      6.861e-01
35           34.9       1.131      7.253e-01
36           35.9       1.141      7.880e-01
37           36.9       1.151      8.154e-01
38           37.9       1.161      8.460e-01
39           38.9       1.171      9.008e-01
40           39.9       1.181      9.408e-01
41           40.9       1.191      9.394e-01
42           41.9       1.201      9.816e-01
43           42.9       1.211      1.017e+00
44           43.9       1.221      1.021e+00
45           44.9       1.231      1.044e+00
46           45.9       1.241      1.101e+00
47           46.9       1.251      1.170e+00
48           47.9       1.261      1.217e+00
49           48.9       1.271      1.264e+00
50           49.9       1.281      1.314e+00
51           50.9       1.291      1.347e+00
52           52.3       1.298      1.400e+00

