File.......:   - MAY,06.2017

System.....:  
Potential..:  1.238V
Current....:  135.21uA
Temperature:  unknown
Time.......:  14:37:38 - 14:40:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.2567e+02       -4.2166e+03        0.989           0.0
   2      7.5210e+05      -1.0197e+03       -5.7980e+03        0.976           1.3
   3      5.6565e+05      -1.8765e+02       -8.4070e+03        0.979           1.8
   4      4.2542e+05      -1.4921e+03       -7.2995e+03        0.941           2.5
   5      3.1996e+05       1.9938e+04       -5.8247e+03        0.786           3.2
   6      2.4064e+05       3.0056e+03       -8.4542e+03        0.915           3.7
   7      1.8099e+05      -1.1943e+04       -1.1906e+04        0.790           4.2
   8      1.3612e+05       6.4280e+03       -7.5455e+03        0.825           4.7
   9      1.0237e+05       1.3862e+03       -4.7788e+02        0.942           5.2
  10      7.6996e+04       4.3747e+01       -2.3729e+00        0.999           6.0
  11      5.7908e+04       4.4178e+01       -2.7698e+00        1.000           6.7
  12      4.3553e+04       4.4791e+01       -3.3074e+00        1.000           7.2
  13      3.2756e+04       4.5433e+01       -3.8026e+00        0.999           7.7
  14      2.4636e+04       4.6155e+01       -4.4199e+00        1.000           8.2
  15      1.8528e+04       4.6949e+01       -4.9350e+00        1.000           8.7
  16      1.3935e+04       4.7879e+01       -5.6560e+00        1.000           9.2
  17      1.0481e+04       4.8941e+01       -6.3089e+00        1.000           9.7
  18      7.8825e+03       5.0093e+01       -7.0528e+00        1.000          10.3
  19      5.9284e+03       5.1442e+01       -7.7301e+00        1.000          10.8
  20      4.4587e+03       5.2854e+01       -8.5485e+00        1.000          11.3
  21      3.3534e+03       5.4453e+01       -9.5768e+00        1.000          11.8
  22      2.5221e+03       5.6186e+01       -1.0390e+01        1.000          12.3
  23      1.8968e+03       5.8030e+01       -1.1467e+01        1.000          12.7
  24      1.4266e+03       6.0123e+01       -1.2347e+01        1.000          13.2
  25      1.0730e+03       6.2355e+01       -1.3329e+01        1.000          13.7
  26      8.0697e+02       6.4717e+01       -1.4440e+01        0.999          14.2
  27      6.0692e+02       6.7302e+01       -1.5625e+01        1.000          14.7
  28      4.5646e+02       7.0257e+01       -1.6842e+01        1.000          15.5
  29      3.4330e+02       7.3346e+01       -1.8255e+01        1.000          16.2
  30      2.5820e+02       7.6742e+01       -1.9751e+01        0.999          16.7
  31      1.9419e+02       8.0329e+01       -2.1594e+01        1.000          17.2
  32      1.4605e+02       8.4531e+01       -2.2721e+01        0.999          17.7
  33      1.0984e+02       8.8495e+01       -2.4970e+01        1.000          18.2
  34      8.2613e+01       9.3078e+01       -2.6880e+01        1.000          18.8
  35      6.2284e+01       9.8161e+01       -2.9026e+01        1.000          19.5
  36      4.6035e+01       1.0623e+02       -3.0717e+01        1.000          21.0
  37      3.3236e+01       1.4018e+02       -3.2456e+01        0.977          22.9
  38      2.3330e+01      -4.0371e+04       -5.7368e+02        0.205          25.3
  39      1.5823e+01       7.4214e+02        1.1270e+03        0.930          29.0
  40      1.0281e+01       1.4080e+02       -4.3508e+01        0.999          32.1
  41      6.3213e+00       1.5688e+02       -4.6108e+01        1.000          35.1
  42      3.6136e+00       1.7470e+02       -4.3529e+01        1.000          39.3
  43      1.8700e+00       1.9332e+02       -4.1140e+01        0.998          46.7
  44      8.4267e-01       2.1387e+02       -3.1547e+01        0.994          58.2
  45      3.1623e-01       4.9673e+04        1.4536e+04        0.815          93.7
  46      1.0000e-01       1.6644e+02        2.8726e+02        0.784         177.0

