File.......:   - MAY,06.2017

System.....:  
Potential..:  1.172V
Current....:  2.9993uA
Temperature:  unknown
Time.......:  14:53:03 - 14:55:29
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.8113e+01        4.3418e+00        0.999           0.0
   2      7.5210e+05       3.8235e+01        2.8631e+00        1.000           1.3
   3      5.6565e+05       3.8345e+01        1.8349e+00        0.999           1.8
   4      4.2542e+05       3.8362e+01        9.7256e-01        0.999           2.5
   5      3.1996e+05       3.8637e+01        3.4286e-01        0.999           3.2
   6      2.4064e+05       3.8978e+01       -2.4959e-01        0.999           3.7
   7      1.8099e+05       3.9175e+01       -8.4579e-01        0.999           4.2
   8      1.3612e+05       3.9329e+01       -1.5373e+00        0.998           4.7
   9      1.0237e+05       3.9715e+01       -1.8838e+00        1.000           5.2
  10      7.6996e+04       4.0117e+01       -2.2787e+00        1.000           5.7
  11      5.7908e+04       4.0508e+01       -2.8262e+00        1.000           6.1
  12      4.3553e+04       4.1114e+01       -3.2714e+00        1.000           6.6
  13      3.2756e+04       4.1656e+01       -3.8839e+00        1.000           7.1
  14      2.4636e+04       4.2384e+01       -4.4103e+00        1.000           7.6
  15      1.8528e+04       4.3128e+01       -4.9327e+00        0.999           8.1
  16      1.3935e+04       4.4020e+01       -5.6679e+00        1.000           8.6
  17      1.0481e+04       4.4992e+01       -6.3010e+00        1.000           9.1
  18      7.8825e+03       4.6104e+01       -7.0681e+00        1.000           9.6
  19      5.9284e+03       4.7390e+01       -7.7690e+00        1.000          10.1
  20      4.4587e+03       4.8771e+01       -8.5805e+00        1.000          10.6
  21      3.3534e+03       5.0311e+01       -9.6199e+00        1.000          11.1
  22      2.5221e+03       5.2039e+01       -1.0456e+01        1.000          11.6
  23      1.8968e+03       5.3828e+01       -1.1571e+01        1.000          12.1
  24      1.4266e+03       5.5866e+01       -1.2456e+01        1.000          12.5
  25      1.0730e+03       5.8027e+01       -1.3452e+01        1.000          13.0
  26      8.0697e+02       6.0364e+01       -1.4625e+01        1.000          13.5
  27      6.0692e+02       6.2951e+01       -1.5835e+01        0.999          14.0
  28      4.5646e+02       6.5764e+01       -1.7034e+01        1.000          14.5
  29      3.4330e+02       6.8864e+01       -1.8491e+01        1.000          15.2
  30      2.5820e+02       7.2241e+01       -2.0039e+01        1.000          16.0
  31      1.9419e+02       7.5900e+01       -2.1804e+01        0.999          16.5
  32      1.4605e+02       7.9324e+01       -2.3255e+01        1.000          17.0
  33      1.0984e+02       8.3913e+01       -2.5078e+01        1.000          17.5
  34      8.2613e+01       8.8431e+01       -2.6924e+01        1.000          18.1
  35      6.2284e+01       9.3299e+01       -2.8856e+01        1.000          18.8
  36      4.6035e+01       9.9908e+01       -3.1118e+01        1.000          20.2
  37      3.3236e+01       1.0657e+02       -3.4094e+01        1.000          22.1
  38      2.3330e+01       1.1503e+02       -3.6323e+01        0.994          23.7
  39      1.5823e+01       1.2490e+02       -3.9521e+01        1.000          25.5
  40      1.0281e+01       1.3703e+02       -4.1394e+01        0.998          27.8
  41      6.3213e+00       1.5190e+02       -4.2689e+01        0.999          30.7
  42      3.6136e+00       1.6931e+02       -4.0560e+01        0.999          34.9
  43      1.8700e+00       1.8912e+02       -3.5867e+01        1.000          42.4
  44      8.4267e-01       2.0623e+02       -2.2838e+01        0.998          53.9
  45      3.1623e-01       2.1815e+02       -2.1466e+01        0.997          76.6
  46      1.0000e-01       2.3247e+02       -1.4323e+01        0.993         125.2

