File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  14:49:41-14:51:26
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   99
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.170     -7.512e-07
2             2.1       1.155     -6.627e-05
3             3.1       1.145     -1.057e-04
4             4.1       1.135     -1.491e-04
5             5.1       1.125     -1.881e-04
6             6.1       1.115     -2.311e-04
7             7.1       1.105     -2.695e-04
8             8.1       1.095     -3.123e-04
9             9.1       1.085     -3.513e-04
10           10.1       1.075     -3.912e-04
11           11.1       1.065     -4.259e-04
12           12.1       1.055     -4.721e-04
13           13.1       1.045     -5.112e-04
14           14.1       1.035     -5.523e-04
15           15.1       1.025     -5.913e-04
16           16.1       1.015     -6.314e-04
17           17.1       1.005     -6.729e-04
18           18.1       0.995     -7.136e-04
19           19.1       0.985     -7.524e-04
20           20.1       0.975     -7.961e-04
21           21.1       0.965     -8.371e-04
22           22.1       0.955     -8.792e-04
23           23.1       0.945     -9.199e-04
24           24.1       0.935     -9.635e-04
25           25.1       0.925     -1.006e-03
26           26.1       0.915     -1.052e-03
27           27.1       0.905     -1.096e-03
28           28.1       0.895     -1.143e-03
29           29.1       0.885     -1.188e-03
30           30.1       0.875     -1.237e-03
31           31.1       0.865     -1.284e-03
32           32.1       0.855     -1.334e-03
33           33.1       0.845     -1.384e-03
34           34.1       0.835     -1.436e-03
35           35.1       0.825     -1.487e-03
36           36.1       0.815     -1.541e-03
37           37.1       0.805     -1.596e-03
38           38.1       0.795     -1.652e-03
39           39.1       0.785     -1.710e-03
40           40.1       0.775     -1.765e-03
41           41.1       0.765     -1.825e-03
42           42.1       0.755     -1.884e-03
43           43.1       0.745     -1.947e-03
44           44.1       0.735     -2.008e-03
45           45.1       0.725     -2.072e-03
46           46.1       0.715     -2.137e-03
47           47.1       0.705     -2.204e-03
48           48.1       0.695     -2.272e-03
49           49.1       0.685     -2.340e-03
50           50.1       0.675     -2.410e-03
51           51.1       0.665     -2.481e-03
52           52.1       0.655     -2.554e-03
53           53.1       0.645     -2.628e-03
54           54.1       0.635     -2.704e-03
55           55.1       0.625     -2.780e-03
56           56.1       0.615     -2.857e-03
57           57.1       0.605     -2.937e-03
58           58.1       0.595     -3.018e-03
59           59.1       0.585     -3.098e-03
60           60.1       0.575     -3.180e-03
61           61.1       0.565     -3.263e-03
62           62.1       0.555     -3.350e-03
63           63.1       0.545     -3.435e-03
64           64.1       0.535     -3.523e-03
65           65.1       0.525     -3.610e-03
66           66.1       0.515     -3.701e-03
67           67.1       0.505     -3.790e-03
68           68.1       0.500     -3.836e-03
69           69.4       0.495     -3.837e-03
70           70.4       0.485     -3.978e-03
71           72.3       0.466     -4.116e-03
72           73.3       0.456     -4.237e-03
73           74.3       0.446     -4.333e-03
74           75.3       0.436     -4.429e-03
75           76.3       0.426     -4.526e-03
76           77.3       0.416     -4.625e-03
77           78.3       0.406     -4.726e-03
78           79.3       0.396     -4.828e-03
79           80.3       0.386     -4.929e-03
80           81.3       0.376     -5.032e-03
81           82.3       0.366     -5.139e-03
82           83.3       0.356     -5.243e-03
83           84.3       0.346     -5.350e-03
84           85.3       0.336     -5.457e-03
85           86.3       0.326     -5.565e-03
86           87.3       0.316     -5.675e-03
87           88.3       0.306     -5.784e-03
88           89.4       0.300     -5.853e-03
89           90.6       0.295     -5.840e-03
90           91.6       0.285     -6.021e-03
91           92.6       0.275     -6.131e-03
92           93.6       0.265     -6.242e-03
93           94.6       0.255     -6.355e-03
94           95.6       0.245     -6.463e-03
95           96.6       0.235     -6.576e-03
96           97.6       0.225     -6.692e-03
97           98.6       0.215     -6.808e-03
98           99.6       0.205     -6.920e-03
99          100.6       0.200     -6.932e-03

