File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  14:47:23-14:49:08
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   98
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.173     -1.672e-08
2             1.1       1.168     -5.429e-08
3             2.3       1.156      3.400e-07
4             3.3       1.146      2.828e-07
5             4.3       1.136     -3.572e-07
6             6.3       1.116     -8.317e-08
7             7.3       1.106     -4.968e-07
8             8.3       1.096     -7.606e-07
9             9.3       1.086     -8.178e-07
10           10.9       1.070     -3.911e-04
11           11.9       1.060     -4.149e-04
12           12.9       1.050     -4.487e-04
13           13.9       1.040     -4.805e-04
14           14.9       1.030     -5.165e-04
15           15.9       1.020     -5.509e-04
16           16.9       1.010     -5.886e-04
17           17.9       1.000     -6.250e-04
18           18.9       0.990     -6.605e-04
19           19.9       0.980     -6.967e-04
20           20.9       0.970     -7.336e-04
21           21.9       0.960     -7.689e-04
22           22.9       0.950     -8.051e-04
23           23.9       0.940     -8.364e-04
24           24.9       0.930     -8.693e-04
25           25.9       0.920     -8.738e-04
26           26.9       0.910     -9.733e-04
27           27.9       0.900     -1.001e-03
28           28.9       0.890     -1.028e-03
29           29.9       0.880     -1.096e-03
30           30.9       0.870     -1.126e-03
31           31.9       0.860     -1.159e-03
32           32.9       0.850     -1.211e-03
33           33.9       0.840     -1.282e-03
34           34.9       0.830     -1.324e-03
35           35.9       0.820     -1.352e-03
36           36.9       0.810     -1.450e-03
37           37.9       0.800     -1.495e-03
38           38.9       0.790     -1.509e-03
39           39.9       0.780     -1.575e-03
40           40.9       0.770     -1.609e-03
41           41.9       0.760     -1.673e-03
42           42.9       0.750     -1.694e-03
43           43.9       0.740     -1.882e-03
44           44.9       0.730     -1.788e-03
45           45.9       0.720     -1.908e-03
46           46.9       0.710     -2.022e-03
47           47.9       0.700     -1.998e-03
48           48.9       0.690     -2.110e-03
49           49.9       0.680     -2.146e-03
50           50.9       0.670     -2.191e-03
51           51.9       0.660     -2.271e-03
52           52.9       0.650     -2.352e-03
53           53.9       0.640     -2.458e-03
54           54.9       0.630     -2.432e-03
55           55.9       0.620     -2.595e-03
56           56.9       0.610     -2.732e-03
57           57.9       0.600     -2.801e-03
58           58.9       0.590     -2.702e-03
59           59.9       0.580     -2.937e-03
60           60.9       0.570     -2.972e-03
61           61.9       0.560     -3.120e-03
62           62.9       0.550     -3.148e-03
63           63.9       0.540     -3.348e-03
64           64.9       0.530     -3.310e-03
65           65.9       0.520     -3.510e-03
66           66.9       0.510     -3.611e-03
67           68.5       0.502     -3.684e-03
68           69.7       0.495     -3.741e-03
69           70.7       0.485     -3.872e-03
70           71.7       0.475     -3.979e-03
71           73.4       0.458     -4.122e-03
72           74.4       0.448     -4.247e-03
73           75.4       0.438     -4.348e-03
74           76.4       0.428     -4.451e-03
75           77.4       0.418     -4.551e-03
76           78.4       0.408     -4.651e-03
77           79.4       0.398     -4.756e-03
78           80.4       0.388     -4.862e-03
79           81.4       0.378     -4.966e-03
80           82.4       0.368     -5.070e-03
81           83.4       0.358     -5.178e-03
82           84.4       0.348     -5.285e-03
83           85.4       0.338     -5.392e-03
84           86.4       0.328     -5.497e-03
85           87.4       0.318     -5.607e-03
86           88.4       0.308     -5.716e-03
87           89.7       0.301     -5.791e-03
88           91.0       0.295     -5.816e-03
89           92.0       0.285     -5.965e-03
90           93.0       0.275     -6.078e-03
91           94.0       0.265     -6.190e-03
92           95.0       0.255     -6.303e-03
93           96.0       0.245     -6.417e-03
94           97.0       0.235     -6.531e-03
95           98.0       0.225     -6.645e-03
96           99.0       0.215     -6.761e-03
97          100.0       0.205     -6.881e-03
98          101.0       0.200     -6.945e-03

