File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  14:01:24-14:02:37
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   69
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.015     -4.709e-06
2             1.6       1.025      8.487e-05
3             2.6       1.035      1.774e-04
4             3.6       1.045      2.707e-04
5             4.6       1.055      3.566e-04
6             5.7       1.066      4.573e-04
7             6.7       1.076      5.496e-04
8             7.7       1.086      6.405e-04
9             8.7       1.096      7.314e-04
10            9.7       1.106      8.296e-04
11           10.7       1.116      9.214e-04
12           11.7       1.126      1.014e-03
13           12.7       1.136      1.103e-03
14           13.7       1.146      1.205e-03
15           14.7       1.156      1.299e-03
16           15.7       1.166      1.404e-03
17           16.7       1.176      1.497e-03
18           17.7       1.186      1.597e-03
19           18.7       1.196      1.694e-03
20           19.7       1.206      1.800e-03
21           20.7       1.216      1.896e-03
22           21.7       1.226      1.996e-03
23           22.7       1.236      2.105e-03
24           23.7       1.246      2.206e-03
25           24.7       1.256      2.305e-03
26           25.7       1.266      2.402e-03
27           26.7       1.276      2.522e-03
28           27.7       1.286      2.622e-03
29           28.7       1.296      2.732e-03
30           29.7       1.306      2.836e-03
31           30.7       1.316      2.946e-03
32           31.7       1.326      3.065e-03
33           32.7       1.336      3.163e-03
34           33.7       1.346      3.288e-03
35           34.7       1.356      3.386e-03
36           35.7       1.366      3.507e-03
37           36.7       1.376      3.622e-03
38           37.7       1.386      3.733e-03
39           38.7       1.396      3.862e-03
40           39.7       1.406      3.966e-03
41           41.4       1.423      4.117e-03
42           42.4       1.433      4.275e-03
43           43.4       1.443      4.395e-03
44           44.4       1.453      4.522e-03
45           45.4       1.463      4.643e-03
46           46.4       1.473      4.765e-03
47           47.4       1.483      4.885e-03
48           48.4       1.493      5.026e-03
49           49.4       1.503      5.163e-03
50           50.4       1.513      5.290e-03
51           51.4       1.523      5.424e-03
52           52.4       1.533      5.552e-03
53           53.4       1.543      5.692e-03
54           54.4       1.553      5.830e-03
55           55.4       1.563      5.959e-03
56           56.4       1.573      6.124e-03
57           57.4       1.583      6.253e-03
58           58.4       1.593      6.413e-03
59           59.4       1.603      6.553e-03
60           60.4       1.613      6.729e-03
61           61.4       1.623      6.872e-03
62           62.4       1.633      7.029e-03
63           63.4       1.643      7.187e-03
64           64.4       1.653      7.351e-03
65           65.4       1.663      7.509e-03
66           66.4       1.673      7.674e-03
67           67.4       1.683      7.864e-03
68           68.4       1.693      8.019e-03
69           69.6       1.699      8.138e-03

