File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  13:40:53-13:42:08
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   71
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.995     -3.143e-06
2             1.5       1.004      8.687e-05
3             2.5       1.014      1.863e-04
4             3.5       1.024      2.731e-04
5             5.5       1.044      4.609e-04
6             6.5       1.054      5.543e-04
7             7.5       1.064      6.533e-04
8             8.5       1.074      7.522e-04
9             9.5       1.084      8.571e-04
10           10.5       1.094      9.482e-04
11           11.5       1.104      1.040e-03
12           12.5       1.114      1.141e-03
13           13.5       1.124      1.248e-03
14           14.5       1.134      1.346e-03
15           15.5       1.144      1.437e-03
16           16.5       1.154      1.540e-03
17           17.5       1.164      1.644e-03
18           18.5       1.174      1.751e-03
19           19.5       1.184      1.845e-03
20           20.5       1.194      1.954e-03
21           21.5       1.204      2.051e-03
22           22.5       1.214      2.169e-03
23           23.5       1.224      2.264e-03
24           24.5       1.234      2.376e-03
25           25.5       1.244      2.473e-03
26           26.5       1.254      2.577e-03
27           27.5       1.264      2.693e-03
28           28.5       1.274      2.804e-03
29           29.5       1.284      2.905e-03
30           30.5       1.294      3.012e-03
31           31.5       1.304      3.124e-03
32           32.5       1.314      3.237e-03
33           33.5       1.324      3.346e-03
34           34.5       1.334      3.454e-03
35           35.5       1.344      3.565e-03
36           36.5       1.354      3.686e-03
37           37.5       1.364      3.791e-03
38           38.5       1.374      3.908e-03
39           39.5       1.384      4.032e-03
40           40.5       1.394      4.079e-03
41           41.5       1.404      4.236e-03
42           42.5       1.414      4.360e-03
43           43.5       1.424      4.487e-03
44           44.5       1.434      4.604e-03
45           45.5       1.444      4.724e-03
46           46.5       1.454      4.851e-03
47           47.5       1.464      4.971e-03
48           48.5       1.474      5.105e-03
49           49.5       1.484      5.223e-03
50           50.5       1.494      5.353e-03
51           51.5       1.504      5.484e-03
52           52.5       1.514      5.616e-03
53           53.5       1.524      5.755e-03
54           54.5       1.534      5.881e-03
55           55.5       1.544      6.029e-03
56           56.5       1.554      6.178e-03
57           57.5       1.564      6.302e-03
58           58.5       1.574      6.452e-03
59           59.5       1.584      6.599e-03
60           60.5       1.594      6.749e-03
61           61.5       1.604      6.903e-03
62           62.5       1.614      7.058e-03
63           63.5       1.624      7.205e-03
64           64.5       1.634      7.369e-03
65           65.5       1.644      7.549e-03
66           66.5       1.654      7.695e-03
67           67.5       1.664      7.857e-03
68           68.5       1.674      8.042e-03
69           69.5       1.684      8.197e-03
70           70.5       1.694      8.385e-03
71           71.6       1.699      8.487e-03

