File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  13:03:19-13:04:58
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   93
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.107     -4.189e-06
2             1.4       1.099     -1.385e-04
3             3.2       1.081     -4.952e-04
4             4.2       1.071     -6.838e-04
5             5.2       1.061     -8.849e-04
6             6.2       1.051     -1.073e-03
7             7.2       1.041     -1.258e-03
8             8.2       1.031     -1.460e-03
9             9.2       1.021     -1.641e-03
10           10.2       1.011     -1.841e-03
11           11.2       1.001     -2.025e-03
12           12.2       0.991     -2.221e-03
13           13.2       0.981     -2.414e-03
14           14.2       0.971     -2.612e-03
15           15.2       0.961     -2.792e-03
16           16.2       0.951     -3.001e-03
17           17.2       0.941     -3.191e-03
18           18.2       0.931     -3.389e-03
19           19.2       0.921     -3.584e-03
20           20.2       0.911     -3.791e-03
21           21.2       0.901     -4.000e-03
22           22.2       0.891     -4.131e-03
23           23.2       0.881     -4.389e-03
24           24.2       0.871     -4.600e-03
25           25.2       0.861     -4.802e-03
26           26.2       0.851     -5.008e-03
27           27.2       0.841     -5.233e-03
28           28.2       0.831     -5.435e-03
29           29.2       0.821     -5.659e-03
30           30.2       0.811     -5.877e-03
31           31.2       0.801     -6.088e-03
32           32.2       0.791     -6.315e-03
33           33.2       0.781     -6.545e-03
34           34.2       0.771     -6.756e-03
35           35.2       0.761     -6.995e-03
36           36.2       0.751     -7.220e-03
37           37.2       0.741     -7.447e-03
38           38.2       0.731     -7.686e-03
39           39.2       0.721     -7.916e-03
40           40.2       0.711     -8.143e-03
41           41.2       0.701     -8.408e-03
42           42.2       0.691     -8.639e-03
43           43.2       0.681     -8.887e-03
44           44.2       0.671     -9.133e-03
45           45.2       0.661     -9.372e-03
46           46.2       0.651     -9.622e-03
47           47.2       0.641     -9.866e-03
48           48.2       0.631     -1.012e-02
49           49.2       0.621     -1.038e-02
50           50.2       0.611     -1.063e-02
51           51.2       0.601     -1.089e-02
52           52.2       0.591     -1.116e-02
53           53.2       0.581     -1.142e-02
54           54.2       0.571     -1.168e-02
55           55.2       0.561     -1.196e-02
56           56.2       0.551     -1.223e-02
57           57.2       0.541     -1.252e-02
58           58.2       0.531     -1.279e-02
59           59.2       0.521     -1.307e-02
60           60.2       0.511     -1.337e-02
61           61.9       0.503     -1.365e-02
62           63.1       0.495     -1.368e-02
63           64.1       0.485     -1.415e-02
64           65.1       0.475     -1.444e-02
65           66.1       0.465     -1.474e-02
66           67.1       0.455     -1.503e-02
67           68.1       0.445     -1.535e-02
68           69.1       0.435     -1.565e-02
69           70.1       0.425     -1.596e-02
70           71.1       0.415     -1.627e-02
71           72.1       0.405     -1.658e-02
72           73.1       0.395     -1.691e-02
73           74.1       0.385     -1.722e-02
74           75.1       0.375     -1.755e-02
75           76.1       0.365     -1.789e-02
76           77.1       0.355     -1.821e-02
77           78.1       0.345     -1.853e-02
78           79.1       0.335     -1.886e-02
79           80.1       0.325     -1.921e-02
80           81.1       0.315     -1.954e-02
81           82.1       0.305     -1.987e-02
82           83.1       0.300     -2.005e-02
83           84.4       0.295     -2.011e-02
84           85.4       0.285     -2.058e-02
85           86.4       0.275     -2.092e-02
86           87.4       0.265     -2.128e-02
87           88.4       0.255     -2.163e-02
88           89.4       0.245     -2.197e-02
89           90.4       0.235     -2.233e-02
90           91.4       0.225     -2.269e-02
91           92.4       0.215     -2.305e-02
92           93.4       0.205     -2.341e-02
93           94.4       0.200     -2.359e-02

