File.......:   - MAY,06.2017

System.....:  
Potential..:  1.077V
Current....:  -257.34uA
Temperature:  unknown
Time.......:  13:00:02 - 13:02:29
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   46
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+06       1.2832e+01        5.1201e+00        0.999           0.0
  2       7.5210e+05       1.2961e+01        3.6659e+00        0.999           1.8
  3       5.6565e+05       1.3035e+01        2.6039e+00        1.000           2.2
  4       4.2542e+05       1.3078e+01        1.7852e+00        0.999           2.9
  5       3.1996e+05       1.3172e+01        1.1543e+00        0.999           3.7
  6       2.4064e+05       1.3293e+01        6.5523e-01        0.999           4.1
  7       1.8099e+05       1.3407e+01        2.8581e-01        0.999           4.6
  8       1.3612e+05       1.3529e+01       -8.8628e-02        1.000           5.1
  9       1.0237e+05       1.3653e+01       -3.2730e-01        1.000           5.6
 10       7.6996e+04       1.3846e+01       -5.7502e-01        1.000           6.1
 11       5.7908e+04       1.3983e+01       -7.6349e-01        1.000           6.5
 12       4.3553e+04       1.4182e+01       -9.7380e-01        1.000           7.0
 13       3.2756e+04       1.4400e+01       -1.1565e+00        1.000           7.5
 14       2.4636e+04       1.4647e+01       -1.3371e+00        1.000           8.0
 15       1.8528e+04       1.4912e+01       -1.5137e+00        1.000           8.5
 16       1.3935e+04       1.5202e+01       -1.7182e+00        1.000           9.0
 17       1.0481e+04       1.5524e+01       -1.8920e+00        1.000           9.5
 18       7.8825e+03       1.5866e+01       -2.0759e+00        1.000          10.0
 19       5.9284e+03       1.6255e+01       -2.2542e+00        1.000          10.5
 20       4.4587e+03       1.6659e+01       -2.4534e+00        1.000          11.0
 21       3.3534e+03       1.7098e+01       -2.7289e+00        1.000          11.5
 22       2.5221e+03       1.7583e+01       -2.9344e+00        1.000          12.0
 23       1.8968e+03       1.8097e+01       -3.2341e+00        1.000          12.5
 24       1.4266e+03       1.8667e+01       -3.4502e+00        1.000          12.9
 25       1.0730e+03       1.9294e+01       -3.6981e+00        1.000          13.5
 26       8.0697e+02       1.9967e+01       -3.9836e+00        1.000          13.9
 27       6.0692e+02       2.0683e+01       -4.2413e+00        1.000          14.4
 28       4.5646e+02       2.1460e+01       -4.4723e+00        1.000          14.9
 29       3.4330e+02       2.2299e+01       -4.7676e+00        1.000          15.4
 30       2.5820e+02       2.3202e+01       -5.0648e+00        1.000          15.9
 31       1.9419e+02       2.4133e+01       -5.3993e+00        1.000          16.4
 32       1.4605e+02       2.5195e+01       -5.6035e+00        1.000          16.9
 33       1.0984e+02       2.6238e+01       -5.9857e+00        1.000          17.4
 34       8.2613e+01       2.7344e+01       -6.2275e+00        0.999          18.0
 35       6.2284e+01       2.8723e+01       -6.4042e+00        1.000          18.6
 36       4.6035e+01       3.0518e+01       -7.1114e+00        1.000          20.1
 37       3.3236e+01       3.1726e+01       -7.0055e+00        1.000          22.0
 38       2.3330e+01       3.3518e+01       -7.1839e+00        0.999          23.6
 39       1.5823e+01       3.5478e+01       -7.1001e+00        0.999          25.4
 40       1.0281e+01       3.7603e+01       -6.9139e+00        0.999          27.7
 41       6.3213e+00       3.9952e+01       -6.5018e+00        1.000          30.6
 42       3.6136e+00       4.2377e+01       -5.9442e+00        1.000          34.8
 43       1.8700e+00       4.5463e+01       -5.0070e+00        0.999          42.3
 44       8.4267e-01       4.6055e+01       -4.3776e+00        0.998          53.8
 45       3.1623e-01       5.0148e+01       -2.9698e+00        0.966          76.5
 46       1.0000e-01       5.1975e+01       -1.2068e+00        0.996         125.1

