File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  13:13:17-13:14:35
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   73
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.976      1.203e-05
2             1.3       0.983      1.280e-04
3             2.3       0.993      2.910e-04
4             3.6       1.005      4.896e-04
5             4.6       1.015      6.536e-04
6             5.6       1.025      8.184e-04
7             6.6       1.035      9.750e-04
8             7.6       1.045      1.145e-03
9             8.6       1.055      1.298e-03
10            9.6       1.065      1.462e-03
11           10.6       1.075      1.650e-03
12           11.6       1.085      1.803e-03
13           12.6       1.095      1.955e-03
14           13.6       1.105      2.127e-03
15           14.6       1.115      2.308e-03
16           15.6       1.125      2.466e-03
17           16.6       1.135      2.637e-03
18           17.6       1.145      2.813e-03
19           18.6       1.155      2.984e-03
20           19.6       1.165      3.151e-03
21           20.6       1.175      3.335e-03
22           21.6       1.185      3.512e-03
23           22.6       1.195      3.682e-03
24           23.6       1.205      3.854e-03
25           25.4       1.224      4.139e-03
26           26.4       1.234      4.344e-03
27           27.4       1.244      4.521e-03
28           28.4       1.254      4.708e-03
29           29.4       1.264      4.893e-03
30           30.4       1.274      5.072e-03
31           31.4       1.284      5.261e-03
32           32.4       1.294      5.441e-03
33           33.4       1.304      5.631e-03
34           34.4       1.314      5.810e-03
35           35.4       1.324      6.009e-03
36           36.4       1.334      6.192e-03
37           37.4       1.344      6.392e-03
38           38.4       1.354      6.580e-03
39           39.4       1.364      6.762e-03
40           40.4       1.374      6.961e-03
41           41.4       1.384      7.156e-03
42           42.4       1.394      7.367e-03
43           43.4       1.404      7.549e-03
44           44.4       1.414      7.746e-03
45           45.4       1.424      7.947e-03
46           46.4       1.434      8.160e-03
47           47.4       1.444      8.372e-03
48           48.4       1.454      8.574e-03
49           49.4       1.464      8.787e-03
50           50.4       1.474      9.000e-03
51           51.4       1.484      9.205e-03
52           52.4       1.494      9.418e-03
53           53.4       1.504      9.647e-03
54           54.4       1.514      9.862e-03
55           55.4       1.524      1.008e-02
56           56.4       1.534      1.030e-02
57           57.4       1.544      1.054e-02
58           58.4       1.554      1.078e-02
59           59.4       1.564      1.101e-02
60           60.4       1.574      1.124e-02
61           61.4       1.584      1.149e-02
62           62.4       1.594      1.173e-02
63           63.4       1.604      1.199e-02
64           64.4       1.614      1.223e-02
65           65.4       1.624      1.248e-02
66           66.4       1.634      1.274e-02
67           67.4       1.644      1.300e-02
68           68.4       1.654      1.327e-02
69           69.4       1.664      1.354e-02
70           70.4       1.674      1.381e-02
71           71.4       1.684      1.407e-02
72           72.4       1.694      1.436e-02
73           73.6       1.699      1.453e-02

