File............:   - MAY,06.2017

System..........:  
Temperature.....:  unknown
Time............:  13:07:40-13:08:59
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   75
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.955      5.893e-06
2             1.3       0.962      1.232e-04
3             2.3       0.972      2.867e-04
4             3.5       0.984      4.904e-04
5             4.5       0.994      6.632e-04
6             5.5       1.004      8.280e-04
7             6.5       1.014      9.941e-04
8             7.5       1.024      1.164e-03
9             8.5       1.034      1.335e-03
10            9.5       1.044      1.502e-03
11           10.5       1.054      1.675e-03
12           11.5       1.064      1.840e-03
13           12.5       1.074      2.018e-03
14           13.5       1.084      2.192e-03
15           14.5       1.094      2.364e-03
16           15.5       1.104      2.538e-03
17           16.5       1.114      2.717e-03
18           17.5       1.124      2.903e-03
19           18.5       1.134      3.073e-03
20           19.5       1.144      3.256e-03
21           20.5       1.154      3.436e-03
22           21.5       1.164      3.611e-03
23           22.5       1.174      3.797e-03
24           23.5       1.184      3.981e-03
25           24.7       1.196      4.158e-03
26           25.7       1.206      4.366e-03
27           26.7       1.216      4.560e-03
28           27.7       1.226      4.745e-03
29           28.7       1.236      4.931e-03
30           29.7       1.246      5.120e-03
31           30.7       1.256      5.312e-03
32           31.7       1.266      5.506e-03
33           32.7       1.276      5.702e-03
34           33.7       1.286      5.883e-03
35           34.7       1.296      6.089e-03
36           35.7       1.306      6.285e-03
37           36.7       1.316      6.480e-03
38           37.7       1.326      6.681e-03
39           38.7       1.336      6.877e-03
40           39.7       1.346      7.079e-03
41           40.7       1.356      7.284e-03
42           41.7       1.366      7.481e-03
43           42.7       1.376      7.689e-03
44           43.7       1.386      7.898e-03
45           44.7       1.396      8.110e-03
46           45.7       1.406      8.314e-03
47           46.7       1.416      8.523e-03
48           47.7       1.426      8.735e-03
49           48.7       1.436      8.954e-03
50           49.7       1.446      9.172e-03
51           50.7       1.456      9.392e-03
52           51.7       1.466      9.614e-03
53           52.7       1.476      9.838e-03
54           53.7       1.486      1.006e-02
55           54.7       1.496      1.029e-02
56           55.7       1.506      1.053e-02
57           56.7       1.516      1.076e-02
58           57.7       1.526      1.099e-02
59           58.7       1.536      1.124e-02
60           59.7       1.546      1.149e-02
61           60.7       1.556      1.173e-02
62           61.7       1.566      1.197e-02
63           62.7       1.576      1.224e-02
64           63.7       1.586      1.249e-02
65           64.7       1.596      1.275e-02
66           65.7       1.606      1.299e-02
67           66.7       1.616      1.325e-02
68           67.7       1.626      1.352e-02
69           68.7       1.636      1.380e-02
70           69.7       1.646      1.406e-02
71           70.7       1.656      1.433e-02
72           71.7       1.666      1.462e-02
73           72.7       1.676      1.490e-02
74           73.7       1.686      1.519e-02
75           75.6       1.696      1.547e-02

