diagramm	current/voltage
	
	
4.47937E-4	1.08
0.02126	1.092
0.03981	1.102
0.05825	1.112
0.07673	1.122
0.0953	1.132
0.11387	1.142
0.13851	1.156
0.15895	1.166
0.17797	1.176
0.19695	1.186
0.21606	1.196
0.23517	1.206
0.25444	1.216
0.27384	1.226
0.29324	1.236
0.3127	1.246
0.33238	1.256
0.35175	1.266
0.37175	1.276
0.39143	1.286
0.41143	1.296
0.43111	1.306
0.45111	1.316
0.47143	1.326
0.49143	1.336
0.51175	1.346
0.53206	1.356
0.55238	1.366
0.57302	1.376
0.59333	1.386
0.61397	1.396
0.6346	1.406
0.65556	1.416
0.67619	1.426
0.69714	1.436
0.71841	1.446
0.73937	1.456
0.76063	1.466
0.78222	1.476
0.80349	1.486
0.8254	1.496
0.8473	1.506
0.86889	1.516
0.89111	1.526
0.91302	1.536
0.93524	1.546
0.95746	1.556
0.98	1.566
1.00222	1.576
1.02476	1.586
1.0473	1.596
1.07016	1.606
1.09302	1.616
1.11587	1.626
1.13873	1.636
1.1619	1.646
1.18508	1.656
1.20825	1.666
1.23175	1.676
1.25492	1.686
1.27873	1.696
1.28952	1.706
1.32032	1.716
1.34444	1.726
1.36794	1.736
1.39143	1.746
1.41524	1.756
1.4381	1.766
1.46254	1.776
1.48603	1.786
1.50984	1.796
1.53397	1.806
1.55714	1.816
1.58127	1.826
1.60508	1.836
1.62825	1.846
1.65175	1.856
1.67556	1.866
1.69841	1.876
1.7219	1.886
1.74381	1.896
1.76794	1.906
1.79079	1.916
1.81333	1.926
1.83619	1.936
1.85841	1.946
1.88095	1.956
1.90349	1.966
1.92635	1.976
1.94825	1.986
1.97016	1.996
1.99175	2.006
2.01397	2.016
2.03556	2.026
2.05683	2.036
2.07841	2.046
2.10095	2.056
2.12254	2.066
2.14413	2.076
2.16571	2.086
2.1873	2.096
2.20857	2.106
2.23143	2.116
2.25175	2.126
2.27333	2.136
2.29492	2.146
2.31651	2.155
