File............:   - APR,24.2017

System..........:  
Temperature.....:  unknown
Time............:  20:13:23-20:15:26
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   117
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.161      1.582e-03
2             1.1       1.156      1.489e-03
3             2.1       1.146      1.341e-03
4             3.1       1.136      1.184e-03
5             4.1       1.126      1.027e-03
6             5.1       1.116      8.692e-04
7             6.1       1.106      7.118e-04
8             7.1       1.096      5.534e-04
9             8.1       1.086      3.951e-04
10            9.1       1.076      2.353e-04
11           10.1       1.066      7.477e-05
12           10.1       1.061      7.477e-05
13           11.4       1.056     -8.333e-05
14           12.4       1.046     -2.445e-04
15           13.9       1.031     -4.791e-04
16           14.9       1.021     -6.477e-04
17           15.9       1.011     -8.112e-04
18           16.9       1.001     -9.760e-04
19           17.9       0.991     -1.141e-03
20           18.9       0.981     -1.306e-03
21           19.9       0.971     -1.473e-03
22           20.9       0.961     -1.640e-03
23           21.9       0.951     -1.808e-03
24           22.9       0.941     -1.975e-03
25           23.9       0.931     -2.144e-03
26           24.9       0.921     -2.314e-03
27           25.9       0.911     -2.485e-03
28           26.9       0.901     -2.655e-03
29           27.9       0.891     -2.826e-03
30           28.9       0.881     -2.999e-03
31           29.9       0.871     -3.172e-03
32           30.9       0.861     -3.347e-03
33           31.9       0.851     -3.521e-03
34           32.9       0.841     -3.696e-03
35           33.9       0.831     -3.871e-03
36           35.7       0.813     -4.135e-03
37           36.7       0.803     -4.363e-03
38           37.7       0.793     -4.538e-03
39           38.7       0.783     -4.717e-03
40           39.7       0.773     -4.896e-03
41           40.7       0.763     -5.075e-03
42           41.7       0.753     -5.253e-03
43           42.7       0.743     -5.434e-03
44           43.7       0.733     -5.615e-03
45           44.7       0.723     -5.795e-03
46           45.7       0.713     -5.979e-03
47           46.7       0.703     -6.162e-03
48           47.7       0.693     -6.344e-03
49           48.7       0.683     -6.529e-03
50           49.7       0.673     -6.712e-03
51           50.7       0.663     -6.897e-03
52           51.7       0.653     -7.082e-03
53           52.7       0.643     -7.269e-03
54           53.7       0.633     -7.454e-03
55           54.7       0.623     -7.642e-03
56           55.7       0.613     -7.832e-03
57           56.7       0.603     -8.021e-03
58           57.7       0.593     -8.211e-03
59           58.7       0.583     -8.401e-03
60           59.7       0.573     -8.593e-03
61           60.7       0.563     -8.783e-03
62           61.7       0.553     -8.974e-03
63           62.7       0.543     -9.166e-03
64           63.7       0.533     -9.360e-03
65           64.7       0.523     -9.550e-03
66           65.7       0.513     -9.741e-03
67           66.7       0.502     -9.932e-03
68           67.7       0.493     -1.013e-02
69           68.7       0.483     -1.032e-02
70           69.7       0.473     -1.051e-02
71           70.7       0.463     -1.071e-02
72           71.7       0.453     -1.090e-02
73           72.7       0.443     -1.110e-02
74           73.7       0.433     -1.130e-02
75           74.7       0.423     -1.149e-02
76           75.7       0.413     -1.169e-02
77           76.7       0.403     -1.189e-02
78           77.7       0.393     -1.209e-02
79           78.7       0.383     -1.229e-02
80           79.7       0.373     -1.248e-02
81           80.7       0.363     -1.268e-02
82           81.7       0.353     -1.288e-02
83           82.7       0.343     -1.307e-02
84           83.7       0.333     -1.328e-02
85           84.7       0.323     -1.347e-02
86           85.7       0.313     -1.366e-02
87           86.7       0.303     -1.386e-02
88           87.7       0.293     -1.406e-02
89           88.7       0.283     -1.426e-02
90           89.7       0.273     -1.446e-02
91           90.7       0.263     -1.465e-02
92           91.7       0.253     -1.485e-02
93           92.7       0.243     -1.505e-02
94           93.7       0.233     -1.524e-02
95           94.7       0.223     -1.543e-02
96           95.7       0.213     -1.562e-02
97           96.7       0.203     -1.581e-02
98           97.7       0.193     -1.600e-02
99           98.7       0.183     -1.619e-02
100          99.7       0.173     -1.638e-02
101         100.7       0.163     -1.656e-02
102         101.7       0.153     -1.674e-02
103         102.7       0.143     -1.693e-02
104         103.7       0.133     -1.711e-02
105         104.7       0.123     -1.729e-02
106         105.7       0.113     -1.747e-02
107         106.7       0.103     -1.765e-02
108         107.7       0.093     -1.783e-02
109         108.7       0.083     -1.801e-02
110         109.7       0.073     -1.818e-02
111         110.7       0.063     -1.835e-02
112         111.7       0.053     -1.853e-02
113         112.7       0.043     -1.870e-02
114         113.7       0.033     -1.887e-02
115         114.7       0.023     -1.904e-02
116         115.7       0.013     -1.921e-02
117         117.5       0.004     -1.936e-02

