diagramm		diagramm		diagramm	
					
					
					
0.10582	0.11174	7.23048E-5	7.75107E-5	0.00179	0.00194
0.31048	0.32476	0.11521	0.12236	0.08505	0.09084
0.60838	0.62724	0.24127	0.25382	0.15924	0.16847
0.82248	0.83975	0.36737	0.38279	0.23302	0.2442
1.0301	1.04143	0.58311	0.59769	0.30692	0.31858
1.23937	1.2406	0.71403	0.72474	0.38121	0.39188
1.44889	1.43585	0.84241	0.84662	0.45549	0.46369
1.65841	1.6269	0.9713	0.96645	0.55403	0.55625
1.87048	1.81623	1.1007	1.08419	0.63581	0.63199
2.08254	2.00132	1.23048	1.19971	0.71187	0.70048
2.29587	2.18338	1.36127	1.31363	0.78781	0.76733
2.50794	2.35997	1.49206	1.42492	0.86425	0.83314
2.72254	2.53468	1.62413	1.5348	0.9407	0.89743
2.93841	2.70628	1.75492	1.64085	1.01778	0.96078
3.15556	2.87471	1.88952	1.74781	1.09537	1.02307
3.37143	3.03766	2.02286	1.85091	1.17295	1.08381
3.58857	3.19742	2.15619	1.95135	1.25079	1.14323
3.80825	3.35507	2.29079	2.05026	1.32952	1.20189
4.02794	3.50833	2.4254	2.14648	1.40698	1.25784
4.25016	3.65939	2.56	2.24	1.48698	1.31449
4.47111	3.80492	2.69587	2.33193	1.56571	1.36843
4.69333	3.94709	2.83175	2.42114	1.64571	1.4219
4.91556	4.08483	2.96889	2.50871	1.72444	1.47268
5.25079	4.2689	3.10603	2.59354	1.80444	1.52295
5.54032	4.44887	3.24444	2.67667	1.88571	1.57269
5.76254	4.56969	3.38159	2.75599	1.96571	1.61975
5.98984	4.69005	3.52127	2.83462	2.04698	1.66625
6.21714	4.80585	3.65968	2.90945	2.12825	1.71112
6.44444	4.91711	3.80063	2.9835	2.20952	1.75436
6.67048	5.02287	3.94032	3.05375	2.29206	1.79698
6.90032	5.12694	4.08127	3.12217	2.37333	1.83696
7.13016	5.22641	4.22349	3.18874	2.45587	1.87629
7.35873	5.32036	4.36571	3.25246	2.53841	1.91396
7.59238	5.41337	4.50794	3.31333	2.62222	1.95093
7.82476	5.50081	4.65143	3.37229	2.70476	1.9853
8.05587	5.58272	4.79492	3.42837	2.78857	2.01893
8.29079	5.66261	4.93968	3.48248	2.87365	2.05179
8.52317	5.7361	5.08444	3.53369	2.95746	2.08205
8.7581	5.80662	5.18349	3.55069	3.04254	2.11152
8.99302	5.87244	5.36127	3.61886	3.12889	2.14016
9.23048	5.9352	5.50603	3.66151	3.21397	2.16621
9.4654	5.9916	5.65206	3.7021	3.30159	2.19225
9.70413	6.04567	5.79683	3.73895	3.38921	2.21654
9.9454	6.09653	5.94667	3.77613	3.47556	2.23826
10.1854	6.14179	6.09397	3.80873	3.56444	2.25986
10.42667	6.18301	6.24762	3.84229	3.65206	2.27889
10.66794	6.21941	6.39365	3.86816	3.74095	2.29694
10.91175	6.25243	6.54603	3.89489	3.82984	2.31322
11.15302	6.27915	6.6946	3.91634	3.92	2.32848
11.39556	6.30174	6.84952	3.93848	4.00889	2.34119
11.63937	6.32018	7.00063	3.95536	4.09905	2.35285
11.88571	6.33509	7.15429	3.97063	4.18921	2.36271
12.12698	6.34241	7.3054	3.98144	4.28063	2.37147
12.36952	6.34557	7.46286	3.99263	4.37206	2.3784
12.61206	6.33126	7.61524	3.998	4.46349	2.3835
12.86349	6.3417	7.77016	4.00163	4.55492	2.38678
13.10476	6.3296	7.92635	4.00281	4.64762	2.38888
13.34603	6.31267	8.07873	3.99897	4.74032	2.38912
13.6	6.2968	8.23619	3.99455	4.83302	2.38751
13.84127	6.2701	8.39492	3.98759	4.92698	2.38466
14.09524	6.24419	8.55365	3.97745	5.01968	2.37933
14.34921	6.21321	8.7073	3.96182	5.11492	2.37332
14.59048	6.17177	8.86857	3.94651	5.1581	2.34178
14.84444	6.13076	9.02476	3.92577	5.28127	2.34488
15.09841	6.08466	9.18222	3.90244	5.37778	2.33396
15.35238	6.03349	9.33968	3.87597	5.47175	2.32002
15.60635	5.97723	9.50222	3.8484	5.56571	2.30421
15.84762	5.91116	9.65968	3.81557	5.66095	2.28702
16.10159	5.84488	9.82095	3.78107	5.75238	2.26644
16.35556	5.77351	9.98095	3.74286	5.85016	2.24646
16.59683	5.69271	10.14349	3.70237	5.94413	2.2231
16.86349	5.61554	10.29968	3.65639	6.03937	2.19833
17.10476	5.52484	10.45968	3.60859	6.13587	2.1721
17.34603	5.42931	10.61714	3.55674	6.22857	2.14263
17.6	5.3328	10.77587	3.50216	6.32508	2.11258
17.85397	5.23121	10.93206	3.4436	6.42032	2.08018
18.10794	5.12455	11.08825	3.38192	6.51302	2.04509
18.3619	5.0128	11.24698	3.31786	6.60698	2.00852
18.60317	4.89263	11.40444	3.25027	6.70222	1.97045
18.85714	4.77086	11.5619	3.17952	6.79365	1.9294
19.11111	4.644	11.71937	3.10563	6.88762	1.88721
19.35238	4.5091	11.87429	3.02794	6.97524	1.84146
19.59365	4.36938	12.02667	2.94653	7.07175	1.79622
19.83492	4.22484	12.17905	2.86208	7.16317	1.74781
20.07619	4.07547	12.32889	2.774	7.25333	1.69728
20.31746	3.92127	12.48127	2.68347	7.34476	1.64523
20.55873	3.76225	12.63238	2.58964	7.43365	1.5908
20.8	3.5984	12.7873	2.49352	7.52381	1.53486
21.02857	3.42766	12.92698	2.39149	7.61397	1.47711
21.25714	3.25234	13.07937	2.28889	7.7054	1.41779
		13.21905	2.18114	7.79302	1.35598
		13.37143	2.07257	7.88063	1.29242
		13.52381	1.96095		
