File.......:   - APR,20.2017

System.....:  
Potential..:  -0.002V
Current....:  -10.453mA
Temperature:  unknown
Time.......:  20:29:22 - 20:31:09
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.6654e+01        3.5513e-01        0.999           0.0
   2      7.9499e+05       4.5800e+01        7.4428e-01        0.999           1.4
   3      6.3201e+05       4.4823e+01        5.1990e-01        1.000           1.9
   4      5.0244e+05       4.4202e+01       -1.4029e-01        0.999           2.4
   5      3.9943e+05       4.3826e+01       -1.1134e+00        0.999           3.2
   6      3.1754e+05       4.4079e+01       -2.1851e+00        0.998           3.9
   7      2.5244e+05       4.4167e+01       -2.8786e+00        0.999           4.5
   8      2.0069e+05       4.4838e+01       -3.8474e+00        1.000           5.0
   9      1.5955e+05       4.5619e+01       -4.4949e+00        0.999           5.5
  10      1.2684e+05       4.6295e+01       -5.0707e+00        0.998           6.0
  11      1.0083e+05       4.7424e+01       -5.8298e+00        0.999           6.6
  12      8.0162e+04       4.8463e+01       -6.2623e+00        1.000           7.1
  13      6.3727e+04       4.9556e+01       -6.8778e+00        0.999           7.7
  14      5.0663e+04       5.0771e+01       -7.2189e+00        1.000           8.3
  15      4.0276e+04       5.2091e+01       -7.5510e+00        1.000           8.8
  16      3.2019e+04       5.3405e+01       -7.7884e+00        0.999           9.4
  17      2.5455e+04       5.4641e+01       -7.9732e+00        1.000           9.9
  18      2.0236e+04       5.5972e+01       -7.9674e+00        1.000          10.4
  19      1.6088e+04       5.7229e+01       -7.9468e+00        1.000          11.0
  20      1.2789e+04       5.8520e+01       -7.9272e+00        1.000          11.5
  21      1.0167e+04       5.9653e+01       -7.8807e+00        1.000          12.0
  22      8.0830e+03       6.0830e+01       -7.6932e+00        1.000          12.6
  23      6.4259e+03       6.1919e+01       -7.5443e+00        1.000          13.1
  24      5.1085e+03       6.2978e+01       -7.4572e+00        1.000          13.7
  25      4.0612e+03       6.3955e+01       -7.4180e+00        1.000          14.2
  26      3.2286e+03       6.4859e+01       -7.6787e+00        1.000          14.8
  27      2.5667e+03       6.5898e+01       -7.6974e+00        1.000          15.3
  28      2.0405e+03       6.6884e+01       -7.8413e+00        1.000          15.8
  29      1.6222e+03       6.7874e+01       -8.2368e+00        1.000          16.3
  30      1.2896e+03       6.9002e+01       -8.4075e+00        1.000          16.9
  31      1.0252e+03       7.0295e+01       -8.7131e+00        1.000          17.7
  32      8.1504e+02       7.1581e+01       -9.0452e+00        1.000          18.6
  33      6.4794e+02       7.3236e+01       -9.3471e+00        1.000          19.1
  34      5.1511e+02       7.4535e+01       -9.3780e+00        1.000          19.6
  35      4.0950e+02       7.6098e+01       -9.3227e+00        1.000          20.2
  36      3.2555e+02       7.7692e+01       -9.2534e+00        1.000          20.7
  37      2.5881e+02       7.9271e+01       -9.0757e+00        1.000          21.2
  38      2.0575e+02       8.0740e+01       -8.8546e+00        1.000          21.8
  39      1.6357e+02       8.2166e+01       -8.2875e+00        1.000          22.3
  40      1.3004e+02       8.3441e+01       -7.8116e+00        1.000          22.8
  41      1.0338e+02       8.4588e+01       -7.2517e+00        1.000          23.4
  42      8.2183e+01       8.5640e+01       -6.6311e+00        1.000          24.0
  43      6.5630e+01       8.6484e+01       -6.0465e+00        1.000          24.7
  44      5.1793e+01       8.8106e+01       -5.5398e+00        1.000          26.2
  45      4.0333e+01       8.8913e+01       -4.9711e+00        1.000          28.1
  46      3.0941e+01       8.9653e+01       -4.4838e+00        1.000          29.6
  47      2.3336e+01       9.0271e+01       -4.0642e+00        1.000          31.2
  48      1.7264e+01       9.0997e+01       -3.6017e+00        1.000          33.0
  49      1.2492e+01       9.1574e+01       -3.1760e+00        1.000          35.2
  50      8.8124e+00       9.2141e+01       -2.8081e+00        1.000          37.6
  51      6.0391e+00       9.2831e+01       -2.1336e+00        0.999          40.7
  52      4.0045e+00       9.3240e+01       -2.0332e+00        1.000          44.5
  53      2.5599e+00       9.3638e+01       -1.5439e+00        1.000          49.4
  54      1.5737e+00       9.4414e+01       -8.5482e-01        0.999          57.0
  55      9.3109e-01       9.3954e+01       -6.7407e-01        0.999          66.8
  56      5.3348e-01       9.4740e+01       -8.7163e-01        0.999          80.1
  57      3.0000e-01       9.5359e+01        1.0750e-01        0.999          98.9

