File.......:   - APR,20.2017

System.....:  
Potential..:  -0.003V
Current....:  -16.999mA
Temperature:  unknown
Time.......:  19:39:59 - 19:41:43
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.0196e+01        5.2660e+00        0.999           0.0
   2      7.9499e+05       2.9131e+01        4.3008e+00        0.999           1.1
   3      6.3201e+05       2.8456e+01        3.3110e+00        0.999           1.5
   4      5.0244e+05       2.7941e+01        2.1796e+00        0.999           2.0
   5      3.9943e+05       2.7746e+01        1.1116e+00        0.999           2.7
   6      3.1754e+05       2.7773e+01       -5.3941e-02        1.000           3.4
   7      2.5244e+05       2.8129e+01       -9.7792e-01        0.998           3.9
   8      2.0069e+05       2.8372e+01       -1.6653e+00        0.999           4.4
   9      1.5955e+05       2.8874e+01       -2.2751e+00        0.999           4.9
  10      1.2684e+05       3.0267e+01       -3.4808e+00        0.993           5.4
  11      1.0083e+05       3.0214e+01       -3.5863e+00        0.999           5.9
  12      8.0162e+04       3.0952e+01       -4.0210e+00        0.999           6.4
  13      6.3727e+04       3.1683e+01       -4.4153e+00        0.999           6.9
  14      5.0663e+04       3.2567e+01       -4.6921e+00        1.000           7.5
  15      4.0276e+04       3.3432e+01       -4.9126e+00        1.000           8.0
  16      3.2019e+04       3.4321e+01       -5.0772e+00        1.000           8.5
  17      2.5455e+04       3.5149e+01       -5.2013e+00        1.000           9.0
  18      2.0236e+04       3.6015e+01       -5.2128e+00        1.000           9.5
  19      1.6088e+04       3.6856e+01       -5.1979e+00        1.000          10.0
  20      1.2789e+04       3.7679e+01       -5.2224e+00        1.000          10.5
  21      1.0167e+04       3.8457e+01       -5.1962e+00        1.000          11.0
  22      8.0830e+03       3.9181e+01       -5.1073e+00        1.000          11.5
  23      6.4259e+03       3.9912e+01       -5.0136e+00        1.000          12.0
  24      5.1085e+03       4.0595e+01       -4.9720e+00        1.000          12.5
  25      4.0612e+03       4.1260e+01       -4.9774e+00        1.000          13.0
  26      3.2286e+03       4.1909e+01       -5.1576e+00        1.000          13.5
  27      2.5667e+03       4.2589e+01       -5.1841e+00        1.000          14.0
  28      2.0405e+03       4.3303e+01       -5.3102e+00        1.000          14.5
  29      1.6222e+03       4.3977e+01       -5.5917e+00        1.000          15.0
  30      1.2896e+03       4.4809e+01       -5.6990e+00        1.000          15.4
  31      1.0252e+03       4.5685e+01       -5.8206e+00        1.000          15.9
  32      8.1504e+02       4.6612e+01       -5.9735e+00        1.000          16.4
  33      6.4794e+02       4.7562e+01       -6.0340e+00        1.000          16.9
  34      5.1511e+02       4.8528e+01       -6.0053e+00        1.000          17.4
  35      4.0950e+02       4.9592e+01       -5.8822e+00        1.000          17.9
  36      3.2555e+02       5.0581e+01       -5.7405e+00        0.999          18.4
  37      2.5881e+02       5.1470e+01       -5.5082e+00        1.000          18.9
  38      2.0575e+02       5.2340e+01       -5.3527e+00        1.000          19.4
  39      1.6357e+02       5.3239e+01       -5.0536e+00        1.000          19.8
  40      1.3004e+02       5.3952e+01       -4.7767e+00        1.000          20.3
  41      1.0338e+02       5.4689e+01       -4.3426e+00        1.000          20.9
  42      8.2183e+01       5.5199e+01       -3.9991e+00        1.000          21.5
  43      6.5630e+01       5.5814e+01       -3.5504e+00        1.000          22.1
  44      5.1793e+01       5.6819e+01       -3.4631e+00        1.000          23.6
  45      4.0333e+01       5.7457e+01       -3.0797e+00        0.999          25.4
  46      3.0941e+01       5.7878e+01       -2.7995e+00        1.000          26.8
  47      2.3336e+01       5.8156e+01       -2.4580e+00        1.000          28.4
  48      1.7264e+01       5.8533e+01       -1.9459e+00        0.999          30.2
  49      1.2492e+01       5.8973e+01       -1.6596e+00        1.000          32.2
  50      8.8124e+00       5.9287e+01       -1.3956e+00        0.999          34.7
  51      6.0391e+00       5.9469e+01       -1.0582e+00        1.000          37.6
  52      4.0045e+00       5.9648e+01       -7.3504e-01        1.000          41.4
  53      2.5599e+00       5.9662e+01       -5.3781e-01        1.000          46.3
  54      1.5737e+00       5.9689e+01       -2.5101e-01        1.000          54.0
  55      9.3109e-01       5.9711e+01       -3.0085e-01        1.000          63.7
  56      5.3348e-01       5.9646e+01       -5.2951e-01        1.000          77.0
  57      3.0000e-01       5.9645e+01       -8.5690e-01        0.999          95.9

