File.......:   - APR,20.2017

System.....:  
Potential..:  -0.003V
Current....:  -17.017mA
Temperature:  unknown
Time.......:  19:37:45 - 19:39:29
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.0157e+01        5.2029e+00        0.998           0.0
   2      7.9499e+05       2.9085e+01        4.2806e+00        0.999           1.1
   3      6.3201e+05       2.8380e+01        3.3385e+00        0.998           1.5
   4      5.0244e+05       2.7893e+01        2.1969e+00        0.999           2.0
   5      3.9943e+05       2.7801e+01        1.0273e+00        0.999           2.7
   6      3.1754e+05       2.7777e+01        1.1732e-01        0.998           3.4
   7      2.5244e+05       2.8010e+01       -1.1949e+00        0.998           3.9
   8      2.0069e+05       2.8084e+01       -1.5043e+00        0.999           4.4
   9      1.5955e+05       2.9050e+01       -2.3548e+00        0.999           4.9
  10      1.2684e+05       2.8933e+01       -2.8725e+00        0.995           5.4
  11      1.0083e+05       3.0147e+01       -3.5506e+00        1.000           5.9
  12      8.0162e+04       3.0937e+01       -3.9660e+00        1.000           6.4
  13      6.3727e+04       3.1640e+01       -4.4161e+00        1.000           6.9
  14      5.0663e+04       3.2538e+01       -4.6897e+00        1.000           7.5
  15      4.0276e+04       3.3430e+01       -4.9233e+00        1.000           8.0
  16      3.2019e+04       3.4295e+01       -5.0874e+00        0.999           8.5
  17      2.5455e+04       3.5108e+01       -5.1863e+00        1.000           9.0
  18      2.0236e+04       3.5962e+01       -5.2023e+00        1.000           9.6
  19      1.6088e+04       3.6811e+01       -5.2044e+00        1.000          10.1
  20      1.2789e+04       3.7605e+01       -5.2180e+00        1.000          10.7
  21      1.0167e+04       3.8389e+01       -5.1531e+00        1.000          11.2
  22      8.0830e+03       3.9127e+01       -5.0962e+00        1.000          11.7
  23      6.4259e+03       3.9850e+01       -4.9826e+00        1.000          12.3
  24      5.1085e+03       4.0543e+01       -4.9561e+00        1.000          12.8
  25      4.0612e+03       4.1190e+01       -4.9640e+00        1.000          13.3
  26      3.2286e+03       4.1812e+01       -5.1287e+00        1.000          13.8
  27      2.5667e+03       4.2509e+01       -5.1995e+00        1.000          14.2
  28      2.0405e+03       4.3218e+01       -5.3093e+00        1.000          14.8
  29      1.6222e+03       4.3954e+01       -5.5593e+00        1.000          15.2
  30      1.2896e+03       4.4796e+01       -5.6949e+00        1.000          15.7
  31      1.0252e+03       4.5642e+01       -5.8235e+00        1.000          16.2
  32      8.1504e+02       4.6544e+01       -5.9508e+00        1.000          16.7
  33      6.4794e+02       4.7491e+01       -6.0369e+00        1.000          17.2
  34      5.1511e+02       4.8488e+01       -6.0161e+00        1.000          17.7
  35      4.0950e+02       4.9517e+01       -5.8578e+00        1.000          18.2
  36      3.2555e+02       5.0492e+01       -5.7159e+00        1.000          18.7
  37      2.5881e+02       5.1431e+01       -5.5471e+00        1.000          19.2
  38      2.0575e+02       5.2313e+01       -5.3994e+00        1.000          19.7
  39      1.6357e+02       5.3114e+01       -5.1095e+00        1.000          20.1
  40      1.3004e+02       5.3876e+01       -4.6958e+00        1.000          20.6
  41      1.0338e+02       5.4527e+01       -4.2456e+00        1.000          21.2
  42      8.2183e+01       5.5149e+01       -3.9766e+00        1.000          21.7
  43      6.5630e+01       5.5689e+01       -3.6845e+00        1.000          22.4
  44      5.1793e+01       5.7414e+01       -2.6085e+00        1.000          23.8
  45      4.0333e+01       5.7222e+01       -3.0444e+00        1.000          25.6
  46      3.0941e+01       5.7640e+01       -2.6896e+00        0.999          27.1
  47      2.3336e+01       5.8043e+01       -2.4873e+00        1.000          28.7
  48      1.7264e+01       5.8540e+01       -1.9505e+00        1.000          30.5
  49      1.2492e+01       5.8772e+01       -1.9724e+00        0.999          32.6
  50      8.8124e+00       5.9243e+01       -1.2949e+00        1.000          35.1
  51      6.0391e+00       5.9511e+01       -1.0749e+00        1.000          38.1
  52      4.0045e+00       5.9605e+01       -6.8528e-01        1.000          41.8
  53      2.5599e+00       5.9565e+01       -4.8896e-01        1.000          46.7
  54      1.5737e+00       5.9675e+01       -3.3615e-01        1.000          54.4
  55      9.3109e-01       5.9389e+01       -1.3512e-01        0.999          64.2
  56      5.3348e-01       6.0080e+01       -3.4605e-01        0.999          77.6
  57      3.0000e-01       5.9333e+01       -2.5837e-01        0.997          96.4

