diagramm	
	
	
	
	--
	--
0.02596	0.02952
0.05308	0.05982
0.07571	0.08457
0.09949	0.11014
0.14171	0.15446
0.16762	0.18103
0.19194	0.20538
0.21578	0.22873
0.23914	0.2511
0.26343	0.27397
0.28752	0.29615
0.31162	0.31785
0.33587	0.33923
0.35968	0.35968
0.38381	0.37997
0.40794	0.39978
0.43365	0.42064
0.45873	0.44038
0.48286	0.45872
0.5073	0.47686
0.53206	0.49482
0.55778	0.51316
0.58349	0.53098
0.60952	0.54857
0.63556	0.56565
0.6619	0.58247
0.68889	0.59933
0.71619	0.61592
0.74381	0.63224
0.77175	0.64827
0.8	0.664
0.82889	0.67969
0.8581	0.69506
0.88762	0.7101
0.91778	0.72505
0.94825	0.73964
0.97905	0.75387
1.01048	0.76796
1.04222	0.78166
1.07492	0.79544
1.10794	0.8088
1.14095	0.82148
1.1746	0.83397
1.20889	0.84622
1.24349	0.85801
1.27841	0.86932
1.30159	0.87207
1.34508	0.88775
1.38127	0.89783
1.4181	0.90758
1.45587	0.9172
1.49429	0.92646
1.5327	0.93495
1.57206	0.94324
1.61175	0.95093
1.65206	0.95819
1.6927	0.96484
1.73429	0.9712
1.77556	0.97656
1.8181	0.98177
1.86	0.9858
1.90286	0.98949
1.94571	0.99037
1.98349	0.99571
1.99778	0.9889
2.05429	0.99633
2.10032	0.99765
2.14667	0.9982
2.19333	0.99797
2.24095	0.99722
2.28889	0.99567
2.33714	0.99328
2.38635	0.99034
2.43587	0.98653
2.48571	0.98186
2.53651	0.97656
2.58698	0.97012
2.63905	0.96325
2.69079	0.95523
2.74254	0.94618
2.79492	0.9363
2.84952	0.92609
2.90349	0.9146
2.95905	0.90251
2.98667	0.896
2.99905	0.88472
3.07238	0.87563
3.12762	0.8601
3.18413	0.84379
3.24127	0.82652
3.29841	0.80811
3.35556	0.78856
3.41587	0.76857
3.47302	0.7467
3.53333	0.72433
3.56508	0.71302
