diagramm	
	
	
0.02645	0.02794
0.07762	0.08119
0.1521	0.15681
0.20562	0.20994
0.25752	0.26036
0.30984	0.31015
0.36222	0.35896
0.4146	0.40673
0.46762	0.45406
0.52063	0.50033
0.57397	0.54584
0.62698	0.58999
0.68063	0.63367
0.7346	0.67657
0.78889	0.71868
0.84286	0.75941
0.89714	0.79935
0.95206	0.83877
1.00698	0.87708
1.06254	0.91485
1.11778	0.95123
1.17333	0.98677
1.22889	1.02121
1.3127	1.06722
1.38508	1.11222
1.44063	1.14242
1.49746	1.17251
1.55429	1.20146
1.61111	1.22928
1.66762	1.25572
1.72508	1.28173
1.78254	1.3066
1.83968	1.33009
1.8981	1.35334
1.95619	1.3752
2.01397	1.39568
2.0727	1.41565
2.13079	1.43402
2.18952	1.45165
2.24825	1.46811
2.30762	1.4838
2.36635	1.4979
2.42603	1.51142
2.48635	1.52413
2.54635	1.53545
2.60667	1.54575
2.66698	1.55485
2.72794	1.56311
2.78825	1.56979
2.84889	1.57544
2.90984	1.58004
2.97143	1.58377
3.03175	1.5856
3.09238	1.58639
3.15302	1.58281
3.21587	1.58543
3.27619	1.5824
3.33651	1.57817
3.4	1.5742
3.46032	1.56752
3.52381	1.56105
3.5873	1.5533
3.64762	1.54294
3.71111	1.53269
3.7746	1.52117
3.8381	1.50837
3.90159	1.49431
3.9619	1.47779
4.0254	1.46122
4.08889	1.44338
4.14921	1.42318
4.21587	1.40389
4.27619	1.38121
4.33651	1.35733
4.4	1.3332
4.46349	1.3078
4.52698	1.28114
4.59048	1.2532
4.65079	1.22316
4.71429	1.19271
4.77778	1.161
4.8381	1.12728
4.89841	1.09235
4.95873	1.05621
5.01905	1.01887
5.07937	0.98032
5.13968	0.94056
5.2	0.8996
5.25714	0.85691
5.31429	0.81309
5.3746	0.76857
5.43175	0.72242
5.48889	0.67513
5.54603	0.6267
5.60317	0.57713
5.66032	0.52641
5.71746	0.47455
5.77143	0.42131
5.8254	0.367
5.88254	0.31177
5.93651	0.25527
5.99048	0.19769
6.04444	0.13902
6.09841	0.07928
6.14603	0.02458
