diagramm	
	
	
	
	--
	--
1.24901	1.11037
3.36834	2.94056
4.67303	4.03282
6.14877	5.2449
7.4813	6.30674
8.28958	6.90522
9.39539	7.73241
10.33413	8.40165
11.57518	9.29487
12.76054	10.11911
13.93795	10.91341
15.1074	11.67802
16.03819	12.23714
17.01671	12.81358
18.05091	13.41183
19.27605	14.12934
20.25457	14.64405
21.40811	15.26398
22.56961	15.86644
23.20605	16.08179
23.83453	16.27898
25.01989	16.83839
26.01432	17.24749
26.92124	17.57957
28.01114	18.01116
28.86237	18.26988
29.82498	18.58096
30.76372	18.85816
31.56722	19.03503
32.37072	19.19584
33.49244	19.52609
34.31981	19.66525
35.30628	19.87744
36.22116	20.0303
37.16786	20.18215
38.07478	20.29386
38.87033	20.32918
39.59427	20.31186
40.41368	20.36849
41.12967	20.35919
42.16388	20.44948
43.15831	20.5002
43.91408	20.42005
45.01193	20.48043
45.91885	20.43389
46.66667	20.3
47.70088	20.27287
48.82259	20.26137
50	20.25
51.07399	20.17423
51.75815	19.92689
53.07876	19.90454
54.20843	19.78608
55.06762	19.54901
56.14161	19.36886
57.31901	19.20187
58.51233	19.01651
59.58632	18.76969
60.85919	18.56205
61.69451	18.50835
61.34447	18.09662
63.15036	17.99785
64.26412	17.67263
64.94829	17.2113
66.38823	16.929
67.67701	16.58087
69.2681	16.278
70.96261	15.96659
72.42641	15.57168
73.86635	15.1426
74.87669	14.97534
