diagramm	current/voltage
	
	
0.00133	1.107
0.04397	1.099
0.15721	1.081
0.21708	1.071
0.28092	1.061
0.34063	1.051
0.39937	1.041
0.46349	1.031
0.52095	1.021
0.58444	1.011
0.64286	1.001
0.70508	0.991
0.76635	0.981
0.82921	0.971
0.88635	0.961
0.9527	0.951
1.01302	0.941
1.07587	0.931
1.13778	0.921
1.20349	0.911
1.26984	0.901
1.31143	0.891
1.39333	0.881
1.46032	0.871
1.52444	0.861
1.58984	0.851
1.66127	0.841
1.7254	0.831
1.79651	0.821
1.86571	0.811
1.9327	0.801
2.00476	0.791
2.07778	0.781
2.14476	0.771
2.22063	0.761
2.29206	0.751
2.36413	0.741
2.44	0.731
2.51302	0.721
2.58508	0.711
2.66921	0.701
2.74254	0.691
2.82127	0.681
2.89937	0.671
2.97524	0.661
3.0546	0.651
3.13206	0.641
3.2127	0.631
3.29524	0.621
3.3746	0.611
3.45714	0.601
3.54286	0.591
3.6254	0.581
3.70794	0.571
3.79683	0.561
3.88254	0.551
3.9746	0.541
4.06032	0.531
4.14921	0.521
4.24444	0.511
4.33333	0.503
4.34286	0.495
4.49206	0.485
4.58413	0.475
4.67937	0.465
4.77143	0.455
4.87302	0.445
4.96825	0.435
5.06667	0.425
5.16508	0.415
5.26349	0.405
5.36825	0.395
5.46667	0.385
5.57143	0.375
5.67937	0.365
5.78095	0.355
5.88254	0.345
5.9873	0.335
6.09841	0.325
6.20317	0.315
6.30794	0.305
6.36508	0.3
6.38413	0.295
6.53333	0.285
6.64127	0.275
6.75556	0.265
6.86667	0.255
6.9746	0.245
7.08889	0.235
7.20317	0.225
7.31746	0.215
7.43175	0.205
7.48889	0.2
