diagramm	current/voltage
	
	
1.80762E-5	1.072
0.0288	1.062
0.06032	1.052
0.09184	1.042
0.14578	1.025
0.17851	1.015
0.2106	1.005
0.24283	0.995
0.27517	0.985
0.30762	0.975
0.34032	0.965
0.37302	0.955
0.40603	0.945
0.43873	0.935
0.47238	0.925
0.50571	0.915
0.53905	0.905
0.5727	0.895
0.60635	0.885
0.64	0.875
0.67397	0.865
0.70794	0.855
0.74222	0.845
0.77651	0.835
0.81111	0.825
0.8454	0.815
0.88032	0.805
0.91492	0.795
0.95016	0.785
0.98508	0.775
1.02032	0.765
1.05587	0.755
1.09143	0.745
1.12698	0.735
1.16286	0.725
1.19873	0.715
1.23492	0.705
1.27111	0.695
1.29587	0.685
1.34032	0.675
1.37651	0.665
1.41302	0.655
1.44921	0.645
1.48667	0.635
1.52349	0.625
1.5619	0.615
1.59841	0.605
1.63651	0.595
1.67365	0.585
1.71238	0.575
1.75016	0.565
1.78857	0.555
1.82635	0.545
1.86571	0.535
1.90381	0.525
1.94254	0.515
1.98159	0.505
2.01968	0.495
2.05905	0.485
2.09873	0.475
2.13841	0.465
2.17683	0.455
2.21714	0.445
2.25619	0.435
2.29556	0.425
2.33492	0.415
2.37556	0.405
2.41492	0.395
2.45524	0.385
2.49524	0.375
2.53587	0.365
2.57492	0.355
2.61492	0.345
2.65429	0.335
2.69397	0.325
2.73302	0.315
2.77206	0.305
2.81175	0.295
2.85111	0.285
2.89048	0.275
2.92984	0.265
2.96857	0.255
3.00667	0.245
3.04476	0.235
3.08222	0.225
3.12032	0.215
3.1581	0.205
3.19683	0.195
3.23175	0.185
3.26984	0.175
3.30476	0.165
3.34286	0.155
3.38095	0.145
3.41587	0.135
3.45079	0.125
3.48889	0.115
3.52381	0.105
3.55873	0.095
3.59365	0.085
3.62857	0.075
3.66349	0.065
3.69841	0.055
3.73333	0.045
3.76508	0.035
3.8	0.025
3.83175	0.015
3.86667	0.005
3.88254	0
