diagramm	current/voltage
	
	
0.38067	0.692
0.51273	0.687
0.8743	0.677
1.0541	0.667
1.61257	0.657
2.23548	0.647
2.62371	0.637
3.16786	0.624
3.7494	0.614
4.16786	0.604
4.5712	0.594
5.43755	0.584
5.72395	0.574
6.0716	0.564
6.50517	0.554
6.28162	0.544
6.65314	0.534
7.09626	0.524
7.67701	0.514
8.36118	0.504
9.14081	0.495
9.45903	0.485
9.93636	0.475
10.26253	0.465
10.67621	0.455
11.17741	0.445
11.30469	0.435
11.66269	0.425
12.20366	0.415
12.25139	0.405
12.6969	0.395
11.38425	0.385
13.56404	0.375
14.48687	0.365
14.53461	0.355
15.29833	0.345
15.75975	0.335
16.38823	0.325
17.32697	0.315
17.47812	0.305
17.36675	0.3
17.72474	0.295
18.45664	0.285
19.21241	0.275
19.73747	0.265
20.0716	0.255
20.03182	0.245
20.81146	0.235
21.43198	0.225
22.23548	0.215
22.23548	0.205
23.0708	0.2
