diagramm	current/voltage
	
	
1.24901	0.889
3.36834	0.873
4.67303	0.863
6.14877	0.853
7.4813	0.843
8.28958	0.833
9.39539	0.823
10.33413	0.813
11.57518	0.803
12.76054	0.793
13.93795	0.783
15.1074	0.773
16.03819	0.763
17.01671	0.753
18.05091	0.743
19.27605	0.733
20.25457	0.723
21.40811	0.713
22.56961	0.703
23.20605	0.693
23.83453	0.683
25.01989	0.673
26.01432	0.663
26.92124	0.653
28.01114	0.643
28.86237	0.633
29.82498	0.623
30.76372	0.613
31.56722	0.603
32.37072	0.593
33.49244	0.583
34.31981	0.573
35.30628	0.563
36.22116	0.553
37.16786	0.543
38.07478	0.533
38.87033	0.523
39.59427	0.513
40.41368	0.504
41.12967	0.495
42.16388	0.485
43.15831	0.475
43.91408	0.465
45.01193	0.455
45.91885	0.445
46.66667	0.435
47.70088	0.425
48.82259	0.415
50	0.405
51.07399	0.395
51.75815	0.385
53.07876	0.375
54.20843	0.365
55.06762	0.355
56.14161	0.345
57.31901	0.335
58.51233	0.325
59.58632	0.315
60.85919	0.305
61.69451	0.3
61.34447	0.295
63.15036	0.285
64.26412	0.275
64.94829	0.265
66.38823	0.255
67.67701	0.245
69.2681	0.235
70.96261	0.225
72.42641	0.215
73.86635	0.205
74.87669	0.2
