File............:   - APR,20.2017

System..........:  
Temperature.....:  unknown
Time............:  20:11:30-20:13:34
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   122
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.000     -9.721e-03
2             1.1       0.005     -9.441e-03
3             2.1       0.015     -9.479e-03
4             3.1       0.025     -9.328e-03
5             4.1       0.035     -9.260e-03
6             5.1       0.045     -9.282e-03
7             6.1       0.055     -9.184e-03
8             7.1       0.065     -6.685e-03
9             8.1       0.075     -6.059e-03
10            9.1       0.085     -8.465e-03
11           10.1       0.095     -8.577e-03
12           11.1       0.105     -8.586e-03
13           12.1       0.115     -8.495e-03
14           13.1       0.125     -8.375e-03
15           14.1       0.135     -8.499e-03
16           15.1       0.145     -8.322e-03
17           16.1       0.155     -7.669e-03
18           17.1       0.165     -7.984e-03
19           18.1       0.175     -7.876e-03
20           19.1       0.185     -7.796e-03
21           20.1       0.195     -7.786e-03
22           21.1       0.205     -7.617e-03
23           22.1       0.215     -6.802e-03
24           23.1       0.225     -7.171e-03
25           24.1       0.235     -7.225e-03
26           25.1       0.245     -7.035e-03
27           26.1       0.255     -6.982e-03
28           27.1       0.265     -6.874e-03
29           28.1       0.275     -6.752e-03
30           29.1       0.285     -6.627e-03
31           30.1       0.295     -6.559e-03
32           31.1       0.305     -6.316e-03
33           32.1       0.315     -6.212e-03
34           33.1       0.325     -5.446e-03
35           34.1       0.335     -6.054e-03
36           35.1       0.345     -5.626e-03
37           36.1       0.355     -6.017e-03
38           37.1       0.365     -5.404e-03
39           38.1       0.375     -5.522e-03
40           39.1       0.385     -5.847e-03
41           40.1       0.395     -5.609e-03
42           41.1       0.405     -5.405e-03
43           42.1       0.415     -5.534e-03
44           43.1       0.425     -4.804e-03
45           44.1       0.435     -4.211e-03
46           45.1       0.445     -4.987e-03
47           46.1       0.455     -5.276e-03
48           47.1       0.465     -5.163e-03
49           48.1       0.475     -5.044e-03
50           49.1       0.485     -4.969e-03
51           50.1       0.495     -4.894e-03
52           51.1       0.500     -4.843e-03
53           52.4       0.505     -4.754e-03
54           53.4       0.515     -4.693e-03
55           54.4       0.525     -4.506e-03
56           55.4       0.535     -4.359e-03
57           56.4       0.545     -4.187e-03
58           57.4       0.555     -4.116e-03
59           58.4       0.565     -4.185e-03
60           59.4       0.575     -4.092e-03
61           60.4       0.585     -3.998e-03
62           61.9       0.593     -3.913e-03
63           63.1       0.590     -3.864e-03
64           64.1       0.580     -3.941e-03
65           65.1       0.570     -4.084e-03
66           66.1       0.560     -4.143e-03
67           67.1       0.550     -3.953e-03
68           68.1       0.540     -3.432e-03
69           69.1       0.530     -4.413e-03
70           70.1       0.520     -4.675e-03
71           71.1       0.510     -4.757e-03
72           72.1       0.500     -4.838e-03
73           73.1       0.490     -4.911e-03
74           74.1       0.480     -4.670e-03
75           75.1       0.470     -2.763e-03
76           76.1       0.460     -4.376e-03
77           77.1       0.450     -4.721e-03
78           78.1       0.440     -4.802e-03
79           79.1       0.430     -4.806e-03
80           80.1       0.420     -5.348e-03
81           81.1       0.410     -5.258e-03
82           82.1       0.400     -5.626e-03
83           83.1       0.390     -5.708e-03
84           84.1       0.380     -5.751e-03
85           85.1       0.370     -5.681e-03
86           86.1       0.360     -6.004e-03
87           87.1       0.350     -5.796e-03
88           88.1       0.340     -5.078e-03
89           89.1       0.330     -5.555e-03
90           90.1       0.320     -6.276e-03
91           91.1       0.310     -6.451e-03
92           92.1       0.300     -6.419e-03
93           93.1       0.290     -6.600e-03
94           94.1       0.280     -6.696e-03
95           95.1       0.270     -6.687e-03
96           96.1       0.260     -6.858e-03
97           97.1       0.250     -6.856e-03
98           98.1       0.240     -6.820e-03
99           99.1       0.230     -7.058e-03
100         100.1       0.220     -7.081e-03
101         101.1       0.210     -7.109e-03
102         102.1       0.200     -7.240e-03
103         103.1       0.190     -7.333e-03
104         104.1       0.180     -7.347e-03
105         105.1       0.170     -7.577e-03
106         106.1       0.160     -7.537e-03
107         107.1       0.150     -7.183e-03
108         108.1       0.140     -7.486e-03
109         109.1       0.130     -7.846e-03
110         110.1       0.120     -7.723e-03
111         111.1       0.110     -7.219e-03
112         112.1       0.100     -8.080e-03
113         113.1       0.090     -8.123e-03
114         114.1       0.080     -8.081e-03
115         115.1       0.070     -8.121e-03
116         116.1       0.060     -7.930e-03
117         117.1       0.050     -9.091e-03
118         118.1       0.040     -9.298e-03
119         119.1       0.030     -9.280e-03
120         120.1       0.020     -9.477e-03
121         121.1       0.010     -8.823e-03
122         122.7       0.003     -9.656e-03

