File............:   - APR,20.2017

System..........:  
Temperature.....:  unknown
Time............:  18:44:02-18:46:20
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   124
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0      -0.000     -2.812e-02
2             1.1       0.005     -2.761e-02
3             2.1       0.015     -2.766e-02
4             3.1       0.025     -2.737e-02
5             4.1       0.035     -2.710e-02
6             5.1       0.045     -2.682e-02
7             6.1       0.055     -2.654e-02
8             7.1       0.065     -2.625e-02
9             8.1       0.075     -2.598e-02
10            9.1       0.085     -2.570e-02
11           10.1       0.095     -2.542e-02
12           11.1       0.105     -2.516e-02
13           12.1       0.115     -2.486e-02
14           13.1       0.125     -2.459e-02
15           14.1       0.135     -2.431e-02
16           15.1       0.145     -2.403e-02
17           16.1       0.155     -2.376e-02
18           17.1       0.165     -2.349e-02
19           18.1       0.175     -2.320e-02
20           19.1       0.185     -2.293e-02
21           20.1       0.195     -2.266e-02
22           21.1       0.205     -2.238e-02
23           22.1       0.215     -2.209e-02
24           23.1       0.225     -2.182e-02
25           24.1       0.235     -2.154e-02
26           25.1       0.245     -2.127e-02
27           26.1       0.255     -2.100e-02
28           27.1       0.265     -2.071e-02
29           28.1       0.275     -2.044e-02
30           29.1       0.285     -2.016e-02
31           30.1       0.295     -1.989e-02
32           31.1       0.305     -1.961e-02
33           32.1       0.315     -1.934e-02
34           33.1       0.325     -1.906e-02
35           34.1       0.335     -1.879e-02
36           35.1       0.345     -1.851e-02
37           36.1       0.355     -1.824e-02
38           37.1       0.365     -1.797e-02
39           38.1       0.375     -1.769e-02
40           39.1       0.385     -1.742e-02
41           40.1       0.395     -1.715e-02
42           41.1       0.405     -1.688e-02
43           42.1       0.415     -1.660e-02
44           43.1       0.425     -1.633e-02
45           44.1       0.435     -1.605e-02
46           45.1       0.445     -1.578e-02
47           46.1       0.455     -1.551e-02
48           47.1       0.465     -1.523e-02
49           48.1       0.475     -1.496e-02
50           49.1       0.485     -1.469e-02
51           50.1       0.495     -1.442e-02
52           51.1       0.500     -1.428e-02
53           52.4       0.505     -1.406e-02
54           53.4       0.515     -1.388e-02
55           54.4       0.525     -1.361e-02
56           55.4       0.535     -1.334e-02
57           56.4       0.545     -1.308e-02
58           57.4       0.555     -1.281e-02
59           58.4       0.565     -1.255e-02
60           59.4       0.575     -1.229e-02
61           60.4       0.585     -1.203e-02
62           61.4       0.595     -1.177e-02
63           62.6       0.601     -1.158e-02
64           63.9       0.597     -1.164e-02
65           64.9       0.587     -1.197e-02
66           65.9       0.577     -1.222e-02
67           66.9       0.567     -1.248e-02
68           67.9       0.557     -1.274e-02
69           68.9       0.547     -1.301e-02
70           69.9       0.537     -1.327e-02
71           70.9       0.527     -1.353e-02
72           71.9       0.517     -1.380e-02
73           72.9       0.507     -1.407e-02
74           73.9       0.497     -1.435e-02
75           74.9       0.487     -1.462e-02
76           75.9       0.477     -1.489e-02
77           76.9       0.467     -1.516e-02
78           77.9       0.457     -1.543e-02
79           78.9       0.447     -1.570e-02
80           79.9       0.437     -1.597e-02
81           80.9       0.427     -1.625e-02
82           81.9       0.417     -1.652e-02
83           82.9       0.407     -1.679e-02
84           83.9       0.397     -1.706e-02
85           84.9       0.387     -1.734e-02
86           85.9       0.377     -1.761e-02
87           86.9       0.367     -1.788e-02
88           87.9       0.357     -1.816e-02
89           88.9       0.347     -1.844e-02
90           89.9       0.337     -1.872e-02
91           90.9       0.327     -1.899e-02
92           91.9       0.317     -1.927e-02
93           92.9       0.307     -1.955e-02
94           93.9       0.297     -1.982e-02
95           94.9       0.287     -2.010e-02
96           95.9       0.277     -2.038e-02
97           96.9       0.267     -2.066e-02
98           97.9       0.257     -2.093e-02
99           98.9       0.247     -2.120e-02
100          99.9       0.237     -2.147e-02
101         100.9       0.227     -2.175e-02
102         101.9       0.217     -2.202e-02
103         102.9       0.207     -2.228e-02
104         103.9       0.197     -2.256e-02
105         104.9       0.187     -2.283e-02
106         105.9       0.177     -2.311e-02
107         106.9       0.167     -2.337e-02
108         107.9       0.157     -2.365e-02
109         108.9       0.147     -2.392e-02
110         109.9       0.137     -2.419e-02
111         110.9       0.127     -2.446e-02
112         111.9       0.117     -2.473e-02
113         112.9       0.107     -2.500e-02
114         113.9       0.097     -2.527e-02
115         114.9       0.087     -2.554e-02
116         115.9       0.077     -2.581e-02
117         116.9       0.067     -2.609e-02
118         117.9       0.057     -2.635e-02
119         118.9       0.047     -2.662e-02
120         119.9       0.037     -2.690e-02
121         120.9       0.027     -2.718e-02
122         121.9       0.017     -2.746e-02
123         122.9       0.007     -2.772e-02
124         124.1       0.001     -2.791e-02

