File.......:   - APR,20.2017

System.....:  
Potential..:  -0.004V
Current....:  -27.366mA
Temperature:  unknown
Time.......:  18:56:05 - 18:57:49
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.0240e+01        7.8296e+00        0.998           0.0
   2      7.9499e+05       1.9167e+01        6.2439e+00        0.999           1.0
   3      6.3201e+05       1.8536e+01        4.8342e+00        0.999           1.4
   4      5.0244e+05       1.8076e+01        3.5785e+00        0.996           1.9
   5      3.9943e+05       1.7818e+01        2.1444e+00        0.998           2.6
   6      3.1754e+05       1.7860e+01        1.1425e+00        0.999           3.4
   7      2.5244e+05       1.7343e+01        7.1126e-01        0.992           3.9
   8      2.0069e+05       1.8202e+01       -4.0430e-01        0.999           4.4
   9      1.5955e+05       1.8614e+01       -1.0247e+00        0.999           4.9
  10      1.2684e+05       1.8922e+01       -1.6483e+00        0.998           5.4
  11      1.0083e+05       1.9533e+01       -1.8935e+00        1.000           5.9
  12      8.0162e+04       2.0035e+01       -2.2817e+00        1.000           6.4
  13      6.3727e+04       2.0537e+01       -2.5829e+00        0.999           7.0
  14      5.0663e+04       2.1081e+01       -2.8471e+00        1.000           7.5
  15      4.0276e+04       2.1642e+01       -3.0126e+00        1.000           8.0
  16      3.2019e+04       2.2189e+01       -3.1502e+00        1.000           8.6
  17      2.5455e+04       2.2731e+01       -3.2448e+00        1.000           9.1
  18      2.0236e+04       2.3278e+01       -3.2861e+00        1.000           9.6
  19      1.6088e+04       2.3824e+01       -3.3058e+00        1.000          10.1
  20      1.2789e+04       2.4344e+01       -3.3290e+00        1.000          10.6
  21      1.0167e+04       2.4842e+01       -3.3121e+00        1.000          11.1
  22      8.0830e+03       2.5339e+01       -3.2958e+00        1.000          11.6
  23      6.4259e+03       2.5825e+01       -3.2385e+00        1.000          12.1
  24      5.1085e+03       2.6272e+01       -3.2514e+00        1.000          12.6
  25      4.0612e+03       2.6721e+01       -3.2640e+00        1.000          13.2
  26      3.2286e+03       2.7196e+01       -3.4038e+00        1.000          13.7
  27      2.5667e+03       2.7648e+01       -3.4316e+00        1.000          14.2
  28      2.0405e+03       2.8148e+01       -3.4798e+00        1.000          14.7
  29      1.6222e+03       2.8630e+01       -3.6005e+00        1.000          15.2
  30      1.2896e+03       2.9218e+01       -3.6296e+00        1.000          15.7
  31      1.0252e+03       2.9799e+01       -3.6084e+00        1.000          16.2
  32      8.1504e+02       3.0379e+01       -3.6033e+00        1.000          16.7
  33      6.4794e+02       3.0970e+01       -3.5072e+00        1.000          17.2
  34      5.1511e+02       3.1548e+01       -3.3700e+00        1.000          17.7
  35      4.0950e+02       3.2106e+01       -3.1457e+00        1.000          18.2
  36      3.2555e+02       3.2585e+01       -2.9491e+00        1.000          18.7
  37      2.5881e+02       3.3022e+01       -2.7281e+00        1.000          19.2
  38      2.0575e+02       3.3423e+01       -2.5750e+00        1.000          19.7
  39      1.6357e+02       3.3804e+01       -2.3525e+00        1.000          20.2
  40      1.3004e+02       3.4085e+01       -2.1405e+00        1.000          20.7
  41      1.0338e+02       3.4354e+01       -1.9183e+00        1.000          21.2
  42      8.2183e+01       3.4597e+01       -1.7389e+00        1.000          21.8
  43      6.5630e+01       3.4803e+01       -1.5538e+00        1.000          22.5
  44      5.1793e+01       3.5299e+01       -1.4035e+00        1.000          24.0
  45      4.0333e+01       3.5506e+01       -1.2449e+00        1.000          25.8
  46      3.0941e+01       3.5687e+01       -1.0793e+00        1.000          27.2
  47      2.3336e+01       3.5862e+01       -9.1382e-01        1.000          28.8
  48      1.7264e+01       3.6038e+01       -8.0692e-01        1.000          30.6
  49      1.2492e+01       3.6145e+01       -6.0298e-01        1.000          32.7
  50      8.8124e+00       3.6190e+01       -4.8597e-01        1.000          35.1
  51      6.0391e+00       3.6274e+01       -3.0716e-01        1.000          38.1
  52      4.0045e+00       3.6368e+01       -2.1764e-01        1.000          41.9
  53      2.5599e+00       3.6130e+01       -9.9256e-02        0.999          46.8
  54      1.5737e+00       3.6436e+01       -8.3043e-02        1.000          54.5
  55      9.3109e-01       3.6495e+01       -8.7108e-02        1.000          64.2
  56      5.3348e-01       3.6460e+01       -1.1310e-01        0.999          77.5
  57      3.0000e-01       3.6554e+01        1.7818e-01        0.999          96.4

