File.......:   - APR,20.2017

System.....:  
Potential..:  -0.004V
Current....:  -26.96mA
Temperature:  unknown
Time.......:  19:02:53 - 19:04:37
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.0462e+01        7.7233e+00        0.998           0.0
   2      7.9499e+05       1.9384e+01        6.2104e+00        0.999           1.1
   3      6.3201e+05       1.8661e+01        4.6925e+00        0.997           1.5
   4      5.0244e+05       1.8397e+01        3.4408e+00        1.000           2.0
   5      3.9943e+05       1.8051e+01        2.0592e+00        0.998           2.8
   6      3.1754e+05       1.8095e+01        1.0785e+00        0.998           3.5
   7      2.5244e+05       1.8309e+01        2.8170e-01        0.999           4.0
   8      2.0069e+05       1.8551e+01       -5.0612e-01        0.999           4.5
   9      1.5955e+05       1.8943e+01       -1.0594e+00        0.998           5.0
  10      1.2684e+05       1.9333e+01       -1.6865e+00        0.998           5.5
  11      1.0083e+05       1.9924e+01       -2.0041e+00        1.000           6.0
  12      8.0162e+04       2.0430e+01       -2.3756e+00        1.000           6.5
  13      6.3727e+04       2.0955e+01       -2.6642e+00        1.000           7.1
  14      5.0663e+04       2.1512e+01       -2.8491e+00        1.000           7.6
  15      4.0276e+04       2.2084e+01       -3.0715e+00        0.999           8.1
  16      3.2019e+04       2.2655e+01       -3.1645e+00        1.000           8.7
  17      2.5455e+04       2.3183e+01       -3.2681e+00        1.000           9.2
  18      2.0236e+04       2.3738e+01       -3.3021e+00        1.000           9.7
  19      1.6088e+04       2.4274e+01       -3.3103e+00        1.000          10.2
  20      1.2789e+04       2.4789e+01       -3.3292e+00        1.000          10.7
  21      1.0167e+04       2.5280e+01       -3.3098e+00        1.000          11.2
  22      8.0830e+03       2.5764e+01       -3.2997e+00        1.000          11.7
  23      6.4259e+03       2.6225e+01       -3.2748e+00        1.000          12.3
  24      5.1085e+03       2.6687e+01       -3.2621e+00        1.000          12.7
  25      4.0612e+03       2.7135e+01       -3.2904e+00        1.000          13.3
  26      3.2286e+03       2.7565e+01       -3.4471e+00        1.000          13.8
  27      2.5667e+03       2.8046e+01       -3.4891e+00        1.000          14.3
  28      2.0405e+03       2.8532e+01       -3.5624e+00        1.000          14.8
  29      1.6222e+03       2.9062e+01       -3.7164e+00        1.000          15.3
  30      1.2896e+03       2.9656e+01       -3.7487e+00        1.000          15.8
  31      1.0252e+03       3.0233e+01       -3.7738e+00        1.000          16.3
  32      8.1504e+02       3.0842e+01       -3.7947e+00        1.000          16.8
  33      6.4794e+02       3.1488e+01       -3.7344e+00        1.000          17.3
  34      5.1511e+02       3.2080e+01       -3.6019e+00        1.000          17.8
  35      4.0950e+02       3.2677e+01       -3.3836e+00        1.000          18.3
  36      3.2555e+02       3.3221e+01       -3.2048e+00        1.000          18.8
  37      2.5881e+02       3.3719e+01       -3.0003e+00        1.000          19.3
  38      2.0575e+02       3.4139e+01       -2.8152e+00        1.000          19.8
  39      1.6357e+02       3.4550e+01       -2.5881e+00        1.000          20.3
  40      1.3004e+02       3.4921e+01       -2.3269e+00        1.000          20.8
  41      1.0338e+02       3.5224e+01       -2.1138e+00        1.000          21.3
  42      8.2183e+01       3.5484e+01       -1.8896e+00        1.000          21.9
  43      6.5630e+01       3.5726e+01       -1.6792e+00        1.000          22.6
  44      5.1793e+01       3.6338e+01       -1.6303e+00        1.000          24.1
  45      4.0333e+01       3.6427e+01       -1.3392e+00        1.000          25.9
  46      3.0941e+01       3.6662e+01       -1.1563e+00        1.000          27.3
  47      2.3336e+01       3.6793e+01       -9.5788e-01        1.000          28.9
  48      1.7264e+01       3.7005e+01       -8.1260e-01        1.000          30.7
  49      1.2492e+01       3.7090e+01       -6.4208e-01        1.000          32.8
  50      8.8124e+00       3.7098e+01       -4.2059e-01        1.000          35.2
  51      6.0391e+00       3.7183e+01       -2.8583e-01        1.000          38.2
  52      4.0045e+00       3.7224e+01       -1.7624e-01        1.000          42.1
  53      2.5599e+00       3.7206e+01       -1.1258e-01        1.000          46.9
  54      1.5737e+00       3.7208e+01       -1.4276e-01        1.000          54.6
  55      9.3109e-01       3.7254e+01       -1.1883e-01        1.000          64.3
  56      5.3348e-01       3.7227e+01       -1.4721e-01        1.000          77.7
  57      3.0000e-01       3.7271e+01        6.6897e-02        1.000          96.5

