File............:   - APR,24.2017

System..........:  
Temperature.....:  unknown
Time............:  20:19:42-20:21:43
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   118
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.159      1.555e-03
2             1.1       1.154      1.463e-03
3             2.1       1.144      1.318e-03
4             3.1       1.134      1.175e-03
5             4.1       1.124      1.003e-03
6             5.1       1.114      8.654e-04
7             6.1       1.104      6.950e-04
8             7.1       1.094      5.394e-04
9             8.1       1.084      3.847e-04
10            9.1       1.074      2.281e-04
11           10.1       1.064      6.966e-05
12           10.1       1.059      6.966e-05
13           11.4       1.054     -8.727e-05
14           12.4       1.044     -2.464e-04
15           13.9       1.029     -4.908e-04
16           14.9       1.019     -6.540e-04
17           15.9       1.009     -8.160e-04
18           16.9       0.999     -9.735e-04
19           17.9       0.989     -1.141e-03
20           18.9       0.979     -1.304e-03
21           19.9       0.969     -1.469e-03
22           20.9       0.959     -1.633e-03
23           21.9       0.949     -1.798e-03
24           22.9       0.939     -1.964e-03
25           23.9       0.929     -2.130e-03
26           24.9       0.919     -2.298e-03
27           25.9       0.909     -2.466e-03
28           26.9       0.899     -2.635e-03
29           27.9       0.889     -2.803e-03
30           28.9       0.879     -2.973e-03
31           29.9       0.869     -3.144e-03
32           30.9       0.859     -3.315e-03
33           31.9       0.849     -3.487e-03
34           32.9       0.839     -3.658e-03
35           33.9       0.829     -3.831e-03
36           34.9       0.819     -4.005e-03
37           36.0       0.809     -4.142e-03
38           37.0       0.799     -4.340e-03
39           38.0       0.789     -4.513e-03
40           39.0       0.779     -4.688e-03
41           40.0       0.769     -4.860e-03
42           41.0       0.759     -5.036e-03
43           42.0       0.749     -5.214e-03
44           43.0       0.739     -5.391e-03
45           44.0       0.729     -5.567e-03
46           45.0       0.719     -5.745e-03
47           46.0       0.709     -5.924e-03
48           47.0       0.699     -6.102e-03
49           48.0       0.689     -6.282e-03
50           49.0       0.679     -6.462e-03
51           50.0       0.669     -6.645e-03
52           51.0       0.659     -6.825e-03
53           52.0       0.649     -7.006e-03
54           53.0       0.639     -7.190e-03
55           54.0       0.629     -7.377e-03
56           55.0       0.619     -7.557e-03
57           56.0       0.609     -7.743e-03
58           57.0       0.599     -7.927e-03
59           58.0       0.589     -8.113e-03
60           59.0       0.579     -8.296e-03
61           60.0       0.569     -8.484e-03
62           61.0       0.559     -8.669e-03
63           62.0       0.549     -8.858e-03
64           63.0       0.539     -9.045e-03
65           64.0       0.529     -9.233e-03
66           65.0       0.519     -9.425e-03
67           66.0       0.509     -9.611e-03
68           67.0       0.499     -9.804e-03
69           68.0       0.489     -9.994e-03
70           69.0       0.479     -1.019e-02
71           70.0       0.469     -1.038e-02
72           71.0       0.459     -1.057e-02
73           72.0       0.449     -1.076e-02
74           73.0       0.439     -1.095e-02
75           74.0       0.429     -1.115e-02
76           75.0       0.419     -1.134e-02
77           76.0       0.409     -1.154e-02
78           77.0       0.399     -1.173e-02
79           78.0       0.389     -1.193e-02
80           79.0       0.379     -1.212e-02
81           80.0       0.369     -1.231e-02
82           81.0       0.359     -1.251e-02
83           82.0       0.349     -1.270e-02
84           83.0       0.339     -1.290e-02
85           84.0       0.329     -1.309e-02
86           85.0       0.319     -1.329e-02
87           86.0       0.309     -1.348e-02
88           87.0       0.299     -1.368e-02
89           88.0       0.289     -1.387e-02
90           89.0       0.279     -1.406e-02
91           90.0       0.269     -1.425e-02
92           91.0       0.259     -1.444e-02
93           92.0       0.249     -1.462e-02
94           93.0       0.239     -1.481e-02
95           94.0       0.229     -1.500e-02
96           95.0       0.219     -1.518e-02
97           96.0       0.209     -1.537e-02
98           97.0       0.199     -1.556e-02
99           98.0       0.189     -1.574e-02
100          99.0       0.179     -1.593e-02
101         100.0       0.169     -1.611e-02
102         101.0       0.159     -1.629e-02
103         102.0       0.149     -1.648e-02
104         103.0       0.139     -1.666e-02
105         104.0       0.129     -1.684e-02
106         105.0       0.119     -1.702e-02
107         106.0       0.109     -1.720e-02
108         107.0       0.099     -1.738e-02
109         108.0       0.089     -1.756e-02
110         109.0       0.079     -1.773e-02
111         110.0       0.069     -1.791e-02
112         111.0       0.059     -1.808e-02
113         112.0       0.049     -1.825e-02
114         113.0       0.039     -1.842e-02
115         114.0       0.029     -1.860e-02
116         115.0       0.019     -1.877e-02
117         116.0       0.009     -1.894e-02
118         117.3       0.002     -1.907e-02

