File.......:   - APR,29.2017

System.....:  
Potential..:  0.894V
Current....:  12.777mA
Temperature:  unknown
Time.......:  19:21:26 - 19:23:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.1865e+00        1.0847e+01        0.974           0.0
   2      7.9499e+05       3.7621e+00        6.9615e+00        0.888           1.8
   3      6.3201e+05       1.1204e+01        1.0101e+01        0.779           2.8
   4      5.0244e+05       8.1358e-01        5.4084e+00        0.895           4.1
   5      3.9943e+05       1.4922e-01        4.4707e+00        0.998           5.2
   6      3.1754e+05       1.5884e-01        3.4879e+00        0.998           5.8
   7      2.5244e+05       2.2591e-01        2.7705e+00        0.999           6.7
   8      2.0069e+05       1.6416e-01        2.1712e+00        0.999           8.1
   9      1.5955e+05       1.9222e-01        1.7123e+00        0.998           9.7
  10      1.2684e+05       1.6935e-01        1.3545e+00        0.998          11.4
  11      1.0083e+05       1.9314e-01        1.0575e+00        0.997          12.9
  12      8.0162e+04       1.8191e-01        8.4215e-01        0.997          14.1
  13      6.3727e+04       1.9527e-01        6.5501e-01        0.995          15.6
  14      5.0663e+04       1.9084e-01        5.1174e-01        0.995          17.1
  15      4.0276e+04       1.8771e-01        3.9708e-01        0.995          18.2
  16      3.2019e+04       1.8504e-01        3.0393e-01        0.995          19.3
  17      2.5455e+04       1.8516e-01        2.2904e-01        0.995          20.4
  18      2.0236e+04       1.8793e-01        1.6750e-01        0.997          21.5
  19      1.6088e+04       1.9285e-01        1.1723e-01        0.997          22.6
  20      1.2789e+04       1.9550e-01        7.7952e-02        0.966          23.6
  21      1.0167e+04       2.0271e-01        4.3446e-02        0.973          24.2
  22      8.0830e+03       2.1074e-01        1.4356e-02        0.983          24.7
  23      6.4259e+03       2.2016e-01       -1.0962e-02        0.992          25.1
  24      5.1085e+03       2.3174e-01       -3.2974e-02        0.992          25.5
  25      4.0612e+03       2.4383e-01       -5.1602e-02        0.992          25.9
  26      3.2286e+03       2.5630e-01       -7.0643e-02        0.985          26.3
  27      2.5667e+03       2.7050e-01       -8.7776e-02        0.983          26.7
  28      2.0405e+03       2.8653e-01       -1.0496e-01        0.983          27.1
  29      1.6222e+03       3.0438e-01       -1.2238e-01        0.982          27.6
  30      1.2896e+03       3.2582e-01       -1.3962e-01        0.982          28.0
  31      1.0252e+03       3.5053e-01       -1.5664e-01        0.982          28.4
  32      8.1504e+02       3.7775e-01       -1.7195e-01        0.984          28.8
  33      6.4794e+02       4.0899e-01       -1.8685e-01        0.983          29.2
  34      5.1511e+02       4.4213e-01       -1.9707e-01        0.984          29.6
  35      4.0950e+02       4.7903e-01       -2.0798e-01        0.986          30.0
  36      3.2555e+02       5.1527e-01       -2.1484e-01        0.989          30.5
  37      2.5881e+02       5.5039e-01       -2.1771e-01        0.989          30.9
  38      2.0575e+02       5.8635e-01       -2.2140e-01        0.992          31.3
  39      1.6357e+02       6.2097e-01       -2.2205e-01        0.994          31.7
  40      1.3004e+02       6.5716e-01       -2.2050e-01        0.994          32.1
  41      1.0338e+02       6.9125e-01       -2.1762e-01        0.993          32.5
  42      8.2183e+01       7.2536e-01       -2.2029e-01        0.991          33.0
  43      6.5630e+01       7.5527e-01       -2.1701e-01        0.990          33.6
  44      5.1793e+01       8.0858e-01       -2.2191e-01        0.988          35.7
  45      4.0333e+01       8.4785e-01       -2.2302e-01        0.987          38.9
  46      3.0941e+01       8.8824e-01       -2.1332e-01        0.983          41.8
  47      2.3336e+01       9.3925e-01       -2.1386e-01        0.979          44.8
  48      1.7264e+01       9.8354e-01       -2.0215e-01        0.976          48.1
  49      1.2492e+01       1.0285e+00       -1.8613e-01        0.973          51.7
  50      8.8124e+00       1.0707e+00       -1.6740e-01        0.968          55.8
  51      6.0391e+00       1.1168e+00       -1.4411e-01        0.968          60.6
  52      4.0045e+00       1.1253e+00       -1.0772e-01        0.964          66.5
  53      2.5599e+00       1.0794e+00       -5.5290e-02        0.958          73.7
  54      1.5737e+00       1.1825e+00       -4.2639e-02        0.963          86.5
  55      9.3109e-01       1.2009e+00       -3.0929e-02        0.967         102.0
  56      5.3348e-01       1.1579e+00        1.3039e-02        0.965         122.7
  57      3.0000e-01       1.1302e+00        4.9557e-02        0.969         141.5

