File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  19:33:46-19:37:03
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   191
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.068      1.111e-01
2             1.1       1.063      1.116e-01
3             2.1       1.053      1.039e-01
4             3.1       1.043      9.860e-02
5             4.1       1.033      9.173e-02
6             5.1       1.023      7.804e-02
7             6.1       1.013      6.989e-02
8             7.1       1.003      5.155e-02
9             8.1       0.993      3.975e-02
10            9.1       0.983      3.031e-02
11           10.1       0.973      1.375e-02
12           11.1       0.963      3.788e-03
13           12.1       0.953     -1.052e-02
14           13.1       0.943     -2.165e-02
15           15.1       0.924     -4.671e-02
16           16.1       0.914     -5.419e-02
17           17.1       0.904     -6.340e-02
18           18.1       0.894     -7.267e-02
19           19.1       0.884     -8.868e-02
20           20.1       0.874     -9.786e-02
21           21.1       0.864     -1.096e-01
22           22.1       0.854     -1.186e-01
23           23.1       0.844     -1.292e-01
24           24.1       0.834     -1.406e-01
25           25.1       0.824     -1.520e-01
26           26.1       0.814     -1.594e-01
27           27.1       0.804     -1.719e-01
28           28.1       0.794     -1.811e-01
29           29.1       0.784     -1.914e-01
30           30.1       0.774     -2.027e-01
31           31.1       0.764     -2.122e-01
32           32.1       0.754     -2.234e-01
33           33.1       0.744     -2.341e-01
34           34.1       0.734     -2.439e-01
35           35.1       0.724     -2.542e-01
36           36.1       0.714     -2.650e-01
37           37.1       0.704     -2.749e-01
38           38.1       0.694     -2.850e-01
39           39.1       0.684     -2.943e-01
40           40.1       0.674     -3.034e-01
41           41.1       0.664     -3.160e-01
42           42.1       0.654     -3.287e-01
43           43.1       0.644     -3.391e-01
44           44.1       0.634     -3.509e-01
45           45.1       0.624     -3.629e-01
46           46.1       0.614     -3.740e-01
47           47.1       0.604     -3.850e-01
48           48.1       0.594     -3.968e-01
49           49.1       0.584     -4.114e-01
50           50.1       0.574     -4.196e-01
51           51.1       0.564     -4.340e-01
52           52.1       0.554     -4.474e-01
53           53.1       0.544     -4.606e-01
54           54.1       0.534     -4.744e-01
55           55.1       0.524     -4.879e-01
56           56.1       0.514     -4.999e-01
57           57.1       0.504     -5.118e-01
58           58.1       0.494     -5.277e-01
59           59.1       0.484     -5.411e-01
60           60.1       0.474     -5.524e-01
61           61.1       0.464     -5.658e-01
62           62.1       0.454     -5.826e-01
63           63.1       0.444     -5.966e-01
64           64.1       0.434     -6.111e-01
65           65.1       0.424     -6.253e-01
66           66.1       0.414     -6.390e-01
67           67.1       0.404     -6.537e-01
68           68.1       0.394     -6.694e-01
69           69.1       0.384     -6.837e-01
70           70.1       0.374     -7.006e-01
71           71.1       0.364     -7.144e-01
72           72.1       0.354     -7.289e-01
73           73.1       0.344     -7.459e-01
74           74.1       0.334     -7.632e-01
75           75.1       0.324     -7.780e-01
76           76.1       0.314     -7.918e-01
77           77.1       0.304     -8.092e-01
78           78.1       0.294     -8.260e-01
79           79.1       0.284     -8.414e-01
80           80.1       0.274     -8.592e-01
81           81.1       0.264     -8.736e-01
82           82.1       0.254     -8.912e-01
83           83.1       0.244     -9.071e-01
84           84.1       0.234     -9.230e-01
85           85.1       0.224     -9.384e-01
86           86.1       0.214     -9.555e-01
87           87.1       0.204     -9.714e-01
88           88.1       0.194     -9.888e-01
89           89.1       0.184     -1.005e+00
90           90.1       0.174     -1.021e+00
91           91.1       0.164     -1.038e+00
92           92.1       0.154     -1.057e+00
93           93.1       0.144     -1.073e+00
94           94.1       0.134     -1.089e+00
95           95.1       0.124     -1.106e+00
96           96.1       0.114     -1.126e+00
97           97.1       0.104     -1.141e+00
98           98.1       0.094     -1.157e+00
99           99.1       0.084     -1.175e+00
100         100.1       0.074     -1.193e+00
101         101.1       0.064     -1.208e+00
102         102.1       0.054     -1.227e+00
103         103.1       0.044     -1.247e+00
104         104.1       0.034     -1.263e+00
105         105.1       0.024     -1.280e+00
106         106.1       0.014     -1.302e+00
107         107.1       0.004     -1.319e+00
108         108.1      -0.006     -1.340e+00
109         109.1      -0.016     -1.359e+00
110         110.1      -0.026     -1.379e+00
111         111.1      -0.036     -1.400e+00
112         112.1      -0.046     -1.422e+00
113         113.1      -0.056     -1.443e+00
114         114.1      -0.066     -1.462e+00
115         115.1      -0.076     -1.486e+00
116         116.1      -0.086     -1.510e+00
117         117.1      -0.096     -1.530e+00
118         118.1      -0.106     -1.553e+00
119         119.1      -0.116     -1.582e+00
120         120.1      -0.126     -1.607e+00
121         121.2      -0.131     -1.618e+00
122         122.4      -0.137     -1.623e+00
123         123.4      -0.146     -1.659e+00
124         124.4      -0.156     -1.683e+00
125         125.4      -0.166     -1.712e+00
126         126.4      -0.176     -1.736e+00
127         127.4      -0.186     -1.768e+00
128         128.4      -0.196     -1.797e+00
129         129.4      -0.206     -1.831e+00
130         130.4      -0.216     -1.861e+00
131         131.4      -0.226     -1.892e+00
132         132.4      -0.236     -1.917e+00
133         133.4      -0.246     -1.949e+00
134         134.4      -0.256     -1.980e+00
135         135.4      -0.266     -2.016e+00
136         136.4      -0.276     -2.050e+00
137         137.4      -0.286     -2.084e+00
138         138.4      -0.296     -2.118e+00
139         139.4      -0.306     -2.150e+00
140         140.4      -0.316     -2.186e+00
141         141.4      -0.326     -2.224e+00
142         142.4      -0.336     -2.262e+00
143         143.4      -0.346     -2.299e+00
144         144.4      -0.356     -2.337e+00
145         145.4      -0.366     -2.375e+00
146         146.4      -0.376     -2.418e+00
147         147.4      -0.386     -2.455e+00
148         148.4      -0.396     -2.486e+00
149         149.4      -0.406     -2.526e+00
150         149.4      -0.406     -2.526e+00
151         150.7      -0.401     -2.503e+00
152         151.7      -0.391     -2.485e+00
153         152.7      -0.381     -2.459e+00
154         153.7      -0.371     -2.433e+00
155         154.7      -0.361     -2.400e+00
156         155.7      -0.351     -2.371e+00
157         156.7      -0.341     -2.339e+00
158         157.7      -0.331     -2.306e+00
159         158.7      -0.321     -2.278e+00
160         159.7      -0.311     -2.249e+00
161         160.7      -0.301     -2.214e+00
162         161.7      -0.291     -2.184e+00
163         162.7      -0.281     -2.154e+00
164         163.7      -0.271     -2.119e+00
165         164.7      -0.261     -2.088e+00
166         165.7      -0.252     -2.058e+00
167         166.7      -0.241     -2.026e+00
168         167.7      -0.231     -1.995e+00
169         168.7      -0.221     -1.967e+00
170         169.7      -0.211     -1.937e+00
171         170.7      -0.201     -1.909e+00
172         171.7      -0.191     -1.881e+00
173         172.7      -0.181     -1.852e+00
174         173.7      -0.171     -1.821e+00
175         174.7      -0.161     -1.793e+00
176         175.7      -0.151     -1.770e+00
177         176.7      -0.141     -1.746e+00
178         177.7      -0.131     -1.717e+00
179         178.7      -0.121     -1.692e+00
180         179.7      -0.111     -1.669e+00
181         180.7      -0.101     -1.644e+00
182         181.7      -0.091     -1.621e+00
183         182.7      -0.081     -1.601e+00
184         183.7      -0.071     -1.578e+00
185         184.7      -0.061     -1.558e+00
186         185.7      -0.051     -1.539e+00
187         186.7      -0.041     -1.517e+00
188         187.7      -0.031     -1.499e+00
189         188.7      -0.021     -1.477e+00
190         189.7      -0.011     -1.459e+00
191         191.3      -0.003     -1.444e+00

