File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  18:29:55-18:32:34
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   153
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.175      4.412e-01
2             1.1       1.170      5.402e-01
3             2.1       1.160      7.262e-01
4             3.1       1.150      8.657e-01
5             4.1       1.140      9.691e-01
6             5.1       1.130      1.067e+00
7             6.1       1.120      1.049e+00
8             7.1       1.110      1.163e+00
9             8.1       1.100      1.028e+00
10            9.1       1.090      8.519e-01
11           10.1       1.080      8.037e-01
12           11.1       1.070      7.273e-01
13           12.1       1.060      6.144e-01
14           13.1       1.050      5.097e-01
15           14.1       1.040      4.513e-01
16           15.1       1.030      4.107e-01
17           16.1       1.020      4.028e-01
18           17.1       1.010      3.561e-01
19           18.1       1.000      2.966e-01
20           19.1       0.990      2.298e-01
21           20.1       0.980      1.319e-01
22           21.1       0.970      7.003e-02
23           22.1       0.960      5.886e-03
24           23.1       0.950     -2.705e-02
25           24.1       0.940     -4.262e-02
26           25.1       0.930     -5.243e-02
27           26.1       0.920     -7.140e-02
28           27.1       0.910     -8.515e-02
29           28.1       0.900     -1.046e-01
30           29.1       0.890     -1.182e-01
31           30.1       0.880     -1.328e-01
32           31.1       0.870     -1.485e-01
33           32.1       0.860     -1.660e-01
34           33.1       0.850     -1.804e-01
35           34.1       0.840     -1.955e-01
36           35.1       0.830     -2.106e-01
37           36.1       0.820     -2.259e-01
38           37.1       0.810     -2.387e-01
39           38.1       0.800     -2.554e-01
40           39.1       0.790     -2.716e-01
41           40.1       0.780     -2.876e-01
42           41.1       0.770     -3.038e-01
43           42.1       0.760     -3.182e-01
44           43.1       0.750     -3.380e-01
45           44.1       0.740     -3.537e-01
46           45.1       0.730     -3.702e-01
47           46.1       0.720     -3.855e-01
48           47.1       0.710     -4.024e-01
49           48.1       0.700     -4.185e-01
50           49.1       0.690     -4.346e-01
51           50.1       0.680     -4.524e-01
52           51.1       0.670     -4.690e-01
53           52.1       0.660     -4.865e-01
54           53.1       0.650     -5.007e-01
55           54.1       0.640     -5.182e-01
56           55.1       0.630     -5.385e-01
57           56.1       0.620     -5.541e-01
58           57.1       0.610     -5.719e-01
59           58.1       0.600     -5.922e-01
60           59.1       0.590     -6.106e-01
61           60.1       0.580     -6.301e-01
62           61.1       0.570     -6.461e-01
63           62.1       0.560     -6.644e-01
64           63.1       0.550     -6.846e-01
65           64.1       0.540     -7.021e-01
